#,Type,AssignmentTalk,Quest[0],Quest[1],Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
393216,ギルドリーヴ発行,1,65756,65756,0,0,False,False,False,False,False
393217,ギルドリーヴ発行,2,65756,65756,1,0,False,False,False,False,False
393218,ギルドリーヴ発行,3,65757,65757,1,0,False,False,False,False,False
393219,ギルドリーヴ発行,4,65979,65979,1,0,False,False,False,False,False
393220,ギルドリーヴ発行,5,65756,65756,1,0,False,False,False,False,False
393221,ギルドリーヴ発行,6,66229,66229,1,0,False,False,False,False,False
393222,ギルドリーヴ発行,7,66223,66223,1,0,False,False,False,False,False
393223,ギルドリーヴ発行,8,66223,66223,1,0,False,False,False,False,False
393224,ギルドリーヴ発行,9,66224,66224,1,0,False,False,False,False,False
393225,ギルドリーヴ発行,10,66229,66229,1,0,False,False,False,False,False
393226,ギルドリーヴ発行,11,66230,66230,1,0,False,False,False,False,False
393227,ギルドリーヴ発行,12,65756,65536,1,0,False,False,False,False,False
393228,ギルドリーヴ発行,13,66228,66228,1,0,False,False,False,False,False
393229,ギルドリーヴ発行,14,65550,65550,1,0,False,False,False,False,False
393230,ギルドリーヴ発行,15,65552,65552,1,0,False,False,False,False,False
393231,ギルドリーヴ発行,16,65553,65553,1,0,False,False,False,False,False
393232,ギルドリーヴ発行,17,65980,65980,1,0,False,False,False,False,False
393233,ギルドリーヴ発行,18,65551,65551,1,0,False,False,False,False,False
393234,ギルドリーヴ発行,19,66223,65536,1,0,False,False,False,False,False
393235,ギルドリーヴ発行,20,66229,65536,1,0,False,False,False,False,False
393236,ギルドリーヴ発行,21,66232,66232,1,0,False,False,False,False,False
393237,ギルドリーヴ発行,22,66231,66231,1,0,False,False,False,False,False
393238,ギルドリーヴ発行,23,65554,65554,1,0,False,False,False,False,False
393239,グランドカンパニーリーヴ発行,24,66229,65536,2,1,True,False,False,False,False
393240,グランドカンパニーリーヴ発行,25,66229,65536,2,5,True,False,False,False,False
393241,グランドカンパニーリーヴ発行,26,65756,65536,2,1,False,True,False,False,False
393242,グランドカンパニーリーヴ発行,27,65756,65536,2,5,False,True,False,False,False
393243,グランドカンパニーリーヴ発行,28,66223,65536,2,1,False,False,True,False,False
393244,グランドカンパニーリーヴ発行,29,66223,65536,2,5,False,False,True,False,False
393245,グランドカンパニーリーヴ発行,30,65756,65536,2,5,True,True,True,False,False
393246,グランドカンパニーリーヴ発行,31,65756,65536,2,5,True,True,True,False,False
393247,グランドカンパニーリーヴ発行,32,66223,65536,2,8,True,True,True,False,False
393248,神殿騎士団リーヴ発行,33,67642,67642,3,0,False,False,False,True,False
393249,ギルドリーヴ発行,34,68457,68457,4,0,False,False,False,False,True
393250,ミーン工芸館リーヴ発行,35,69138,69138,5,0,False,False,False,False,True
393251,グリーナーリーヴ発行,36,69706,69706,7,0,False,False,False,False,True
393252,トライヨラリーヴ発行,37,70539,70539,8,0,False,False,False,False,True
