#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34,Unknown35,Talk[0],Talk[1],Talk[2],Talk[3],Talk[4],Talk[5]
0,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,0
1,0,3,2,0,0,False,0,4,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,あれ持ってきてくれた？,ありがとう！,残念だよ・・,0,0,0
2,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,あれちょーだい,さんきゅー！,そっか・・,お、まだくれるの？,じゃあ、もう一度こえかけてくれよ！,もう十分、ほんとうにありがとう！
3,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,"リーヴを受けてくださった職人さんだね？
依頼の品は、用意してきてくれた？","ありがとう！
あなたが信頼できる人でよかった。
さあ、報酬だよ。","弱ったな……必要な品物だから、
リーヴの依頼を出しておいたんだけれど。",0,0,0
4,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,"あなたがリーヴを受注してくれた職人さん？
待っていたわ。品物の準備はできてるかしら？","品物をお届けくださり、感謝します。
今、報酬をお出ししますわ。","あら、残念。
依頼の品ができるのを、お待ちしておりますわ。",0,0,0
5,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,"連絡のあった匠の先生ですね？
お品の準備はよろしいでしょうか？",すばらしい品です。確かに拝領いたしました。,"……お察し致します。
何か事情がおありなのですね？
我々は先生を信じます。","ところで先生、まだお時間はありますか？
追加で依頼したい品があるのですが……
いかがでしょう？","先生にも事情というものがありましょう。
お手すきのときに、また声をおかけください。",この度は、誠にありがとうございました。
6,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,"首を長くして、待っていました。
依頼の品はできていますね？","ああ、よくできましたね。びっくりしました。
では、これが報酬となります。
また、何かありましたら頼みますよ。","早く、作ってください。
急ぎではない用件を、わざわざリーヴで
頼むようなことはしません。","追加注文をお願いしたいのだけど、いかがかしら。
Playerさんでしたら、
お茶の子さいさいでしょう？","では、また声をかけてください。
個人的なお誘いでしたらお断りですけれど。","まいどどうも。
私の役に立つ冒険者は、いつでも歓迎です。"
7,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,"ほう、我が隊が依頼したギルドリーヴを
受注してくれたようだな。君の協力に感謝する。
さっそく依頼の品を調達してきてくれ。","うむ、まさしくこれは我が隊が発注した品だ。
その手並み……なかなかのものだな。
君の尽力に対し、我が隊を代表して礼を言わせてくれ。","ところで依頼の品はどこかな？
……な、なんと用意できなかったと？
次こそは、しっかりと頼むぞ……。",0,0,0
8,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,"Player Playerだな。
話は聞いている、さっそくだが用件に入ろう。","よろしい、依頼どおりだ。
気に入ったぞ、Player Player。
我が商会は信用を重んじる、約束の報酬を渡そう。","手段は問わん。
なるたけ急いで、ブツを用意してくれたまえ。","なるほど、確かな腕を持っているようだな。
その腕を見込んで追加注文をしよう。
むろん、やってくれるのだろう？","……まあ、よい。
最低限の数は、確保できたのだからな。","気に入ったぞ、Player Player。
我が商会は、信用を重んじる。
この働きぶりは覚えておこう……。"
9,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,0,1,2,0,0,True,"アンタが、冒険者ギルドから来た人だね？
さっそくだが、依頼品を出してもらおうか。","ふむ、確かに依頼したとおりの品だ。
これなら問題ない、約束通りの報酬を渡そう。
また依頼を見つけたら、請け負ってくれ。","どうした、依頼品を忘れでもしたのか？
だったら取りに戻るんだね。",0,0,0
