#,Name0,Name1,Name2,PlaceName,Location,SortKey
0,無効,無効,無効,0,0,0
1,ワールド全体,world,ワールド全体,0,0,1
2,リムサ・ロミンサ,Limsa Lominsa,リムサ・ロミンサ,500,1,2
3,ラノシア,La Noscea,ラノシア,502,1,3
4,ウルヴズジェイル,The Wolves' Den,ウルヴズジェイル,501,1,4
5,グリダニア,Gridania,グリダニア,506,2,5
6,黒衣森,The Black Shroud,黒衣森,507,2,6
7,ウルダハ,Ul'dah,ウルダハ,504,3,7
8,ザナラーン,Thanalan,ザナラーン,505,3,8
9,ゴールドソーサー,The Gold Saucer,ゴールドソーサー,503,3,9
10,イシュガルド,Ishgard,イシュガルド,512,4,10
11,クルザス,Coerthas,クルザス,508,4,11
12,アバラシア,Abalathia's Spine,アバラシア,510,4,12
13,イディルシャイア,Idyllshire,イディルシャイア,4136,4,13
14,ドラヴァニア,Dravania,ドラヴァニア,511,4,14
15,ラールガーズリーチ,Rhalgr's Reach,ラールガーズリーチ,4137,5,15
16,ギラバニア,Gyr Abania,ギラバニア,514,5,16
17,クガネ,Kugane,クガネ,513,6,17
18,オサード,Othard,オサード,515,6,18
19,ラザハン,Radz-at-Han,ラザハン,3745,7,19
20,サベネア島,Thavnair,サベネア島,3741,7,20
21,ガレマルド,Garlemald,ガレマルド,4138,7,21
22,クリスタリウム,The Crystarium,クリスタリウム,516,8,22
23,ユールモア,Eulmore,ユールモア,517,8,23
24,ノルヴラント,Norvrandt,ノルヴラント,518,8,24
25,モードゥナ,Mor Dhona,モードゥナ,509,9,25
26,オールド・シャーレアン,Old Sharlayan,オールド・シャーレアン,3744,11,26
27,ラヴィリンソス,Labyrinthos,ラヴィリンソス,3740,11,27
28,星外宙域,The Sea of Stars,星外宙域,3742,9,28
29,古代世界,The World Unsundered,古代世界,3743,9,29
30,その他エリア,Elsewhere,その他エリア,519,9,35
31,トライヨラ,Tuliyollal,トライヨラ,4515,10,30
32,ヨカ・トラル,Yok Tural,ヨカ・トラル,4511,10,31
33,サカ・トラル,Xak Tural,サカ・トラル,4512,10,32
34,ソリューション・ナイン,Solution Nine,ソリューション・ナイン,4514,10,33
35,アンロスト・ワールド,Unlost World,アンロスト・ワールド,4513,9,34
