#,Description,Alias,ShortAlias,Command,ShortCommand,Unknown0,Param,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
0,,,,,,0,0,0,0,0,0,0
1,"/replay(/record)
コンテンツリプレイのメニューを開く。",/replay,,/record,,0,32,1,0,0,0,0
2,"/replayready(/recordready) サブコマンド
リプレイレディチェックの操作を行う。
>>サブコマンド
“秒数(5-30)”
　…リプレイレディチェックを実行し、全員が「はい」を押したら指定した秒数で戦闘開始カウントを実行する。リプレイ記録の確認完了後に使用した場合は、基本の「レディチェック＋戦闘開始カウント」として機能する。
※サブコマンド省略
　…リプレイレディチェックのメニューを開く。",/replayready,,/recordready,,0,0,2,1,0,0,0
3,"/pvpteamcmd
PvPチームのメニューを開く。",,,/pvpteamcmd,,0,0,1,0,0,0,0
4,"/chocobobag(/saddlebag)
チョコボかばんのメニューを開く。",/chocobobag,,/saddlebag,,0,0,1,0,0,0,0
5,"/magiaright
マギアボードを時計回りに回転する。
",,,/magiaright,,0,0,1,0,0,0,0
6,"/magialeft
マギアボードを反時計回りに回転する。
",,,/magialeft,,0,0,1,0,0,0,0
7,"/cwlinkshellcmd(/cwlcmd)
クロスワールドリンクシェルのメニューを開く。",,,/cwlinkshellcmd,/cwlcmd,0,0,1,0,0,0,0
8,"/quickchat(/qchat) クイックチャット 代名詞
クイックチャットを送信する。
※クリスタルコンフリクト内でのみ送信可能。
実行例
/quickchat 号令：攻撃
　…クイックチャット「号令：攻撃」を送信する。
/quickchat 攻撃：ターゲット <t>
　…ターゲット中のキャラクターを対象としてクイックチャット「攻撃：ターゲット」を送信する。",,,/quickchat,/qchat,0,1021,3,1,17,0,0
9,"/bluespellbook サブコマンド
青魔法のアクティブアクションの設定を行う。
>>サブコマンド
set 青魔法名 on
　…指定した青魔法をアクティブアクションに登録する。
set 青魔法名 off
　…指定した青魔法をアクティブアクションから解除する。
preset アクティブセット番号(1-5)
　…アクティブセットを指定した番号に置き換える。
clear
　…現在のアクティブセットのアクションを全解除する。
※サブコマンド省略
　…青魔道書を開く。

実行例
/bluespellbook set 水鉄砲
　…青魔法「水鉄砲」をアクティブアクションに登録／解除する。
/bluespellbook preset 2
　…アクティブアクションをアクティブセット2に置き換える。",,,/bluespellbook,,0,36,4,3,2,18,2
10,"/magiaattack 代名詞
マギアボードの属性を選択対象の「反属性」に切り替える。代名詞は省略可能。

実行例
/magiaattack <t>
　…マギアボードをターゲット対象の反属性に切り替える。",,,/magiaattack,,0,0,2,1,2,0,0
11,"/magiadefense 代名詞
マギアボードの属性を選択対象と「同属性」に切り替える。代名詞は省略可能。

実行例
/magiadefense <t>
　…マギアボードをターゲット対象の同属性に切り替える。",,,/magiadefense,,0,0,2,1,2,0,0
12,"/magiaauto サブコマンド
マギアボードの自動調整の設定を行う。自動調整が有効になっている場合、ターゲット選択を行った際、自動的にマギアボードの属性を切り替える。
>>サブコマンド
attack(atk)
　…自動調整を「攻撃タイプ」にする。
defense(def)
　…自動調整を「防御タイプ」にする。
off
　…自動調整を解除する。
※サブコマンド省略
　…設定を順番に切り替える。

実行例
/magiaauto attack
　…マギアボードを「攻撃タイプ」に自動調整する。",,,/magiaauto,,0,0,2,1,2,0,0
13,"/cwlinkshell1(/cwl1) 文章
クロスワールドリンクシェル：チャンネル1に参加中のPCに距離、エリアを問わず文章を送信する。
/cwlinkshell1のみを入力した場合は、デフォルトの会話モードをクロスワールドリンクシェル：チャンネル1に切り替え、アクティブにする。

実行例
/cwlinkshell1 こんにちは。
　…クロスワールドリンクシェル：チャンネル1に「こんにちは。」という発言をする。
/cwlinkshell1
　…デフォルトの会話モードをCWLS-1に変更する。",,,/cwlinkshell1,/cwl1,0,1021,1,0,0,0,0
14,"/cwlinkshell2(/cwl2) 文章
クロスワールドリンクシェル：チャンネル2に参加中のPCに距離、エリアを問わず文章を送信する。
/cwlinkshell2のみを入力した場合は、デフォルトの会話モードをクロスワールドリンクシェル：チャンネル2に切り替え、アクティブにする。

実行例
/cwlinkshell2 こんにちは。
　…クロスワールドリンクシェル：チャンネル2に「こんにちは。」という発言をする。
/cwlinkshell2
　…デフォルトの会話モードをCWLS-2に変更する。",,,/cwlinkshell2,/cwl2,0,1021,1,0,0,0,0
15,"/cwlinkshell3(/cwl3) 文章
クロスワールドリンクシェル：チャンネル3に参加中のPCに距離、エリアを問わず文章を送信する。
/cwlinkshell3のみを入力した場合は、デフォルトの会話モードをクロスワールドリンクシェル：チャンネル3に切り替え、アクティブにする。

実行例
/cwlinkshell3 こんにちは。
　…クロスワールドリンクシェル：チャンネル3に「こんにちは。」という発言をする。
/cwlinkshell3
　…デフォルトの会話モードをCWLS-3に変更する。",,,/cwlinkshell3,/cwl3,0,1021,1,0,0,0,0
16,"/cwlinkshell4(/cwl4) 文章
クロスワールドリンクシェル：チャンネル4に参加中のPCに距離、エリアを問わず文章を送信する。
/cwlinkshell4のみを入力した場合は、デフォルトの会話モードをクロスワールドリンクシェル：チャンネル4に切り替え、アクティブにする。

実行例
/cwlinkshell4 こんにちは。
　…クロスワールドリンクシェル：チャンネル4に「こんにちは。」という発言をする。
/cwlinkshell4
　…デフォルトの会話モードをCWLS-4に変更する。",,,/cwlinkshell4,/cwl4,0,1021,1,0,0,0,0
17,"/cwlinkshell5(/cwl5) 文章
クロスワールドリンクシェル：チャンネル5に参加中のPCに距離、エリアを問わず文章を送信する。
/cwlinkshell5のみを入力した場合は、デフォルトの会話モードをクロスワールドリンクシェル：チャンネル5に切り替え、アクティブにする。

実行例
/cwlinkshell5 こんにちは。
　…クロスワールドリンクシェル：チャンネル5に「こんにちは。」という発言をする。
/cwlinkshell5
　…デフォルトの会話モードをCWLS-5に変更する。",,,/cwlinkshell5,/cwl5,0,1021,1,0,0,0,0
18,"/cwlinkshell6(/cwl6) 文章
クロスワールドリンクシェル：チャンネル6に参加中のPCに距離、エリアを問わず文章を送信する。
/cwlinkshell6のみを入力した場合は、デフォルトの会話モードをクロスワールドリンクシェル：チャンネル6に切り替え、アクティブにする。

実行例
/cwlinkshell6 こんにちは。
　…クロスワールドリンクシェル：チャンネル6に「こんにちは。」という発言をする。
/cwlinkshell6
　…デフォルトの会話モードをCWLS-6に変更する。",,,/cwlinkshell6,/cwl6,0,1021,1,0,0,0,0
19,"/cwlinkshell7(/cwl7) 文章
クロスワールドリンクシェル：チャンネル7に参加中のPCに距離、エリアを問わず文章を送信する。
/cwlinkshell7のみを入力した場合は、デフォルトの会話モードをクロスワールドリンクシェル：チャンネル7に切り替え、アクティブにする。

実行例
/cwlinkshell7 こんにちは。
　…クロスワールドリンクシェル：チャンネル7に「こんにちは。」という発言をする。
/cwlinkshell7
　…デフォルトの会話モードをCWLS-7に変更する。",,,/cwlinkshell7,/cwl7,0,1021,1,0,0,0,0
20,"/cwlinkshell8(/cwl8) 文章
クロスワールドリンクシェル：チャンネル8に参加中のPCに距離、エリアを問わず文章を送信する。
/cwlinkshell8のみを入力した場合は、デフォルトの会話モードをクロスワールドリンクシェル：チャンネル8に切り替え、アクティブにする。

実行例
/cwlinkshell8 こんにちは。
　…クロスワールドリンクシェル：チャンネル8に「こんにちは。」という発言をする。
/cwlinkshell8
　…デフォルトの会話モードをCWLS-8に変更する。",,,/cwlinkshell8,/cwl8,0,1021,1,0,0,0,0
21,"/graphicpresets(/gpresets) プリセット番号
グラフィック設定を指定したプリセットに切り替える。

>>プリセット番号(1-5)
1:Standard (Mac)
2:Middle (Mac)
3:High (Mac)
4:Extra-High (Mac)
5:Maximum (Mac)

実行例
/graphicpresets 1
　…グラフィック設定を「Standard (Mac)」に変更する。
/graphicpresets 3
　…グラフィック設定を「High (Mac)」に変更する。",,,/graphicpresets,/gpresets,0,993,2,0,0,0,0
22,"/fellowship(/fs)
フェローシップリストのメニューを開く。",,,/fellowship,/fs,0,32,1,0,0,0,0
23,"/fellowshipfinder(/fsfinder)
フェローシップ募集のメニューを開く。",,,/fellowshipfinder,/fsfinder,0,32,1,0,0,0,0
24,"/collection(/coll)
だいじなもののメニューを開く。",,,/collection,/coll,0,32,1,0,0,0,0
25,"/newgame+(/ng+)
つよくてニューゲームのメニューを開く。",,,/newgame+,/ng+,0,32,1,0,0,0,0
26,"/dice 会話モード 上限値
0～999の数字の1つをランダムに抽選して、現在アクティブな会話モード、もしくは指定した会話モードに発言する。
>>指定可能な会話モード
party(p)
alliance(al)
freecompany(fc)
pvpteam
linkshell[1-8](l1-l8)
cwlinkshell[1-8](cwl1-cwl8)
会話モード指定を省略した場合、アクティブな会話モードにダイスメッセージを発言する。
※マクロへの設定時は会話モードの省略はできない。

>>上限値(2-999)
ランダムな数字を抽選する際の上限値を指定する。上限値が指定された場合、値の範囲は「1～上限値」の範囲になる。省略した場合は「0～999」の範囲での抽選となる。

実行例
/dice
　…アクティブな会話モードにダイスメッセージを発言する。
/dice 16
　…アクティブな会話モードに1～16の間でランダムな数字のダイスメッセージを発言する。
/dice cwl1
　…クロスワールドリンクシェル1にダイスメッセージを発言する。
/dice cwl1 16
　…クロスワールドリンクシェル1に1～16の間でランダムな数字のダイスメッセージを発言する。",,,/dice,,1000,36,2,1,2,0,0
27,"/nameplatetype 対象 設定番号
PCの「ネームプレートの名前の表示タイプ」を設定する。
>>対象
all
　…すべてのPC
self
　…自分
party
　…パーティメンバー
alliance
　…アライアンスメンバー
other
　…他人
friend
　…フレンド
feast
　…クリスタルコンフリクトの敵

>>設定番号(1-4)
1:フルネーム
2:姓のみイニシャル
3:名のみイニシャル
4:姓名ともにイニシャル

実行例
/nameplatetype all 4
　…「すべてのPC」の名前の表示タイプを「姓名ともにイニシャル」に設定する。",,,/nameplatetype,,0,36,3,1,2,0,0
28,"/nameplatedisp 対象 設定番号
PCの「ネームプレートの表示設定」を設定する。
>>対象
all
　…すべてのPC
self
　…自分
party
　…パーティメンバー
alliance
　…アライアンスメンバー
other
　…他人
friend
　…フレンド
feast
　…クリスタルコンフリクトの敵

>>設定番号(1-5)
1:常に表示
2:戦闘時
5:非戦闘時
3:ターゲット時
4:表示しない

実行例
/nameplatedisp all 4
　…「すべてのPC」のネームプレートの表示設定を「表示しない」に設定する。",,,/nameplatedisp,,0,36,3,1,2,0,0
29,"/fashion “ファッションアクセサリー名”
指定したファッションアクセサリーを実行する。

実行例
/fashion パラソル
　…ファッションアクセサリー「パラソル」を実行する。",,,/fashion,,0,36,2,1,20,0,0
30,"/fashionlist(/fashionguide)
ファッションアクセサリーのメニューを開く。",/fashionlist,,/fashionguide,,0,32,1,0,0,0,0
31,"/officialsite(/site)
公式Webサイトのメニューを開く。",,,/officialsite,/site,0,32,1,0,0,0,0
32,"//setGearset
リアルイベント用コマンド。
アーマリーチェスト内のアイテムをもとに、自動的にバトルジョブのギアセットを生成する。",,,//setGearset,,0,32,1,0,0,0,0
33,"/petmirage(/egimirage) ペットの名前 見た目
次以降に召喚するペットの見た目を変更する。
ただし、PvPコンテンツ内では無効。
>>ペットの名前
カーバンクル
ガルーダ・エギ
タイタン・エギ
イフリート・エギ
フェアリー・エオス
>>見た目
カーバンクル
カーバンクル・エメラルド
カーバンクル・トパーズ
カーバンクル・ルビー
イフリート・エギ
タイタン・エギ
ガルーダ・エギ
フェアリー・セレネ
※設定ペット名省略(clear)
　…ペットの見た目を元に戻す。
※サブコマンド省略
　…ペットの見た目の設定リストを出力する。

実行例
/petmirage ガルーダ・エギ カーバンクル・ルビー
　…ガルーダ・エギの見た目をカーバンクル・ルビーに変更する。
/petmirage ガルーダ・エギ
　…ガルーダ・エギの見た目を元に戻す。
/petmirage
　…ペットの見た目の設定リストを出力する。",/petmirage,,/petmirage,,0,36,3,2,7,15,0
34,"/petsize ペットの名前 サイズ
特定のペットの表示サイズを変更する。
ただし、PvPコンテンツ内では無効。
また、自分のみ対象で他人には反映されない。

>>ペットの名前
デミ・バハムート
デミ・フェニックス
イフリート・ルビー
タイタン・トパーズ
ガルーダ・エメラルド
ソルバハムート
all

>>サイズ
large
　…表示サイズを『大』に変更する。
medium
　…表示サイズを『中』に変更する。
small
　…表示サイズを『小』に変更する。
※サイズ省略
　…設定を『小・中・大』の順に切り替える。対象がallの場合はエラーを返す。

実行例
/petsize デミ・バハムート medium
　…デミ・バハムートの表示サイズを『中』に変更する。
/petsize all small
　…すべてのペットの表示サイズを『小』に変更する。",,,/petsize,,0,36,3,2,7,2,0
35,"/ridepillion 代名詞 座席番号
選択したパーティメンバーのマウントに相乗りする。

>>座席番号(1-7)
指定した番号の座席に相乗りをする。既に埋まっていた場合は空いている座席に座る。省略した場合は座席1への相乗りを試みる。

実行例
/ridepillion <2> 1
　…識別番号2のパーティメンバーが乗るマウントの座席1に座る。",,,/ridepillion,,0,36,3,0,0,0,0
36,"/patchnote
公式Webサイト『Lodestone』内のパッチノートのページを開く。
※ブラウザを起動します。",,,/patchnote,,1000,32,1,0,0,0,0
