#,Name,Icon,StartAnimation,LoopAnimation,EndAnimation,CastTime
0,,1,0,0,0,0
1,実行,19603,80,81,82,2
2,実行,19603,80,81,82,2
3,実行,19603,80,81,82,5
4,実行,19603,80,81,82,10
5,実行,19603,80,81,82,15
6,実行,19603,80,81,82,2
7,実行,19603,80,81,82,5
8,実行,19603,80,81,82,10
9,実行,19603,80,81,82,15
10,待機,19604,175,176,177,2
11,待機,19604,175,176,177,2
12,待機,19604,175,176,177,5
13,待機,19604,175,176,177,10
14,実行,19603,80,81,82,2
15,実行,19603,80,81,82,2
16,実行,19603,80,81,82,5
17,実行,19603,80,81,82,10
18,実行,19603,80,81,82,2
19,交感,19605,169,170,171,5
20,探索,19603,80,81,82,1
21,探索,19603,80,81,82,2
22,探索,19603,80,81,82,5
23,探索,19603,172,173,174,1
24,探索,19603,172,173,174,2
25,探索,19603,172,173,174,5
26,救助,19603,184,185,186,2
27,ホイッスル,19604,178,179,180,2
28,見張り,19604,175,176,177,10
29,記録,19603,172,173,174,1
30,指笛,19603,178,179,180,2
31,実行,19603,181,182,183,2
32,実行,19603,181,182,183,5
33,実行,19603,181,182,183,10
34,救助,19603,184,185,186,2
35,救助,19603,184,185,186,5
36,救助,19603,184,185,186,10
37,実行,19603,178,179,180,2
38,救助,19603,172,173,174,2
39,救助,19603,172,173,174,5
40,救助,19603,172,173,174,10
41,見渡す,19604,175,176,177,10
42,縄をほどく,19603,181,182,183,10
43,鎮める,19603,172,173,174,10
44,鎮める,19603,184,185,186,10
45,実行,19603,172,173,174,2
46,実行,19603,172,173,174,5
47,実行,19603,172,173,174,10
48,イタズラをする,19603,181,182,183,5
49,バルブを締める,19603,181,182,183,5
50,見渡す,19604,175,176,177,5
51,調整弁を開ける,19603,181,182,183,5
52,実行,19603,80,81,82,1
53,探索,19603,181,182,183,2
54,探索,19603,181,182,183,5
55,探索,19603,181,182,183,10
56,見張り,19604,175,176,177,5
57,占拠,19603,172,173,174,2
58,占拠,19603,172,173,174,5
59,占拠,19603,172,173,174,10
60,交感,19603,172,173,174,5
61,実行,19603,0,0,0,2
62,探索,19603,80,81,82,8
63,実行,19603,0,0,0,5
64,実行,19603,0,0,0,0
65,青燐水取得,19603,80,81,82,3
66,占拠,19603,172,173,174,5
67,搭乗,19603,172,173,174,2
68,見渡す,19603,175,176,177,2
69,実行,19603,172,173,174,1
70,剥ぎ取り,19603,181,182,183,5
71,召喚,19603,172,173,174,2
72,介抱,19603,184,185,186,5
73,治癒魔法,19673,0,5704,5705,5
74,拾う,19603,80,81,82,3
75,物資回収,19603,80,81,82,4
76,物資加工,19603,0,7347,151,7
77,資材組立,19603,0,7346,151,10
78,資材投入,19603,172,173,174,10
79,契約,19603,80,81,82,6
80,投棄,19603,0,4189,12632,3
81,破砕,19603,0,7364,151,10
82,投入,19603,0,7365,151,7
83,清掃,19603,0,7366,151,10
84,物資回収,19603,184,185,186,4
85,整地,19603,0,7399,151,10
86,像に触れる,19603,172,173,174,2
87,施工,19603,0,7394,151,10
88,資材投入,19603,181,182,183,7
89,物資回収,19603,80,81,82,10
90,縫製,19603,0,7421,150,10
91,運搬,19603,80,81,82,3
92,納入,19603,0,4189,12632,2
93,確認,19603,80,81,82,5
94,騎乗,19603,172,173,174,2
95,渡す,19603,0,4189,12632,3
96,爆薬を仕掛ける,19603,181,182,183,5
97,いただきます,19603,0,8436,0,9
98,いただきます,19603,0,8436,0,3
99,燃料注入,19603,0,208,12632,3
100,感知,19603,0,155,0,5
101,落ち着かせる,19603,172,173,174,5
102,エーテルを分け与える,19603,172,173,174,5
103,指笛,19603,178,179,180,3
104,救助,19603,181,182,183,5
105,探索,19603,181,182,183,3
106,介抱,19603,172,173,174,5
107,エーテルを流す,19603,169,170,171,5
108,なだめる,19603,11987,11988,11989,5
109,運搬,19603,0,0,0,1
110,納品,19603,172,173,174,3
111,ドリル垂直作業,19603,0,12261,12481,6
112,ドリル水平作業,19603,0,12260,12474,6
113,吸引,19603,0,12259,12474,6
114,溶接,19603,0,12258,12474,6
115,資材入手,19603,172,173,12473,4
116,資材加工,19603,181,182,12480,5
117,運搬,19603,80,81,82,6
118,集積,19603,0,4189,12474,3
119,回収,19603,181,182,12470,4
120,エネルギー充填,19603,172,173,12471,6
121,取付,19603,181,182,12472,4
122,施工,19603,0,7394,12474,6
123,食材入手,19603,181,182,183,1
124,実行,19612,181,182,183,2
125,溶接,19603,0,12425,12474,6
126,ガラス冷却,19603,0,12424,12468,5
127,冷却剤補給,19603,172,173,174,5
128,ガラス冷却,19603,0,12467,12469,5
129,ドリル垂直作業,19603,0,12261,12482,6
130,剥ぎ取り,19603,12483,12484,12485,3
131,,0,0,0,0,0
132,ピクトバルーン,19730,12520,12521,12522,3
133,ピクトノッケン,19730,12523,12524,12525,3
134,掘削,19603,0,12534,151,5
135,活性化,19603,0,12537,12538,5
136,運搬,19603,80,81,12535,6
137,運搬準備,19603,181,182,12539,4
138,運搬準備,19603,181,182,12542,4
139,エーテル伝導,19603,12557,12558,12541,5
140,エーテル伝導,19603,12559,12560,12544,5
141,ドリル垂直作業,19603,0,12261,12545,6
142,活性剤補給,19603,172,173,174,5
143,,0,0,0,0,0
144,,0,0,0,0,0
