#,Name,Description,Icon,Action,UnlockLink,Unknown0,Recast,UIPriority,Unknown2,Unknown1
0,,,0,0,0,0,0,0,False,False
1,オートアタック,一定間隔で自動的に通常攻撃をし続ける。,101,0,0,1,0,7,False,False
2,ジャンプ,ジャンプすることで少しくらいの段差は乗り越えることができる。,102,0,0,1,0,11,False,False
3,リミットブレイク,"リミットゲージを消費して、強力なリミットブレイクを発動する。
発動するリミットブレイクは、クラスのロールと実行した際のリミットブレイクレベルによって異なる。
**盾役：**パーティメンバー全員にダメージ軽減を付与する。
（範囲：50m）
**近接攻撃役：**敵単体に大ダメージを与える。
**遠隔攻撃役：**前方直線範囲内の敵に大ダメージを与える。
（範囲：30m）
**魔法攻撃役：**地面を対象に、範囲内の敵に大ダメージを与える。（範囲：8m／10m／15m）
**回復役：**パーティメンバー全員のHPを回復する。
さらにレベル3では蘇生する。
この際、蘇生対象が衰弱状態ではない場合、衰弱を付与せずに蘇生する。蘇生対象が衰弱状態の場合、衰弱の効果時間をリセットして蘇生する。（範囲：50m）",103,0,0,1,0,4,False,False
4,スプリント,"自身の移動速度を上昇させる。
**戦闘中効果時間：**10秒
**非戦闘中効果時間：**20秒
※PvPコンテンツ内では実行することはできない。",104,3,0,1,56,1,False,False
5,分解,アイテムを解体し、再利用できる素材を取り出す。,120,0,95,2,0,51,False,True
6,修理,"装備品の耐久度を回復させる。
触媒として装備レベルに応じたダークマターが必要。",106,0,0,2,0,31,False,True
7,テレポ,ギルを消費して、訪れたことのあるエーテライトまで転移する。,111,5,4,1,0,2,False,True
8,デジョン,ホームポイント登録した場所まで転移する。,112,6,1,1,57,3,False,True
9,マウント・ルーレット,ランダムにマウントを呼び出す。,118,0,0,1,0,21,False,False
10,ミニオン・ルーレット,ランダムにミニオンを呼び出す。,117,0,0,1,0,23,False,False
11,,,0,0,0,0,0,0,False,False
12,マテリア装着,装備品に思念結晶体マテリアを装着し、強化する。,107,0,11,2,0,33,False,True
13,マテリア装着II,"装備品に思念結晶体マテリアを装着し、強化する。
失敗の危険性を伴うが、マテリア穴の個数を超えた装着も可能。",108,0,12,2,0,34,False,True
14,マテリア精製,物質に宿った思念のエーテルを抽出し、結晶（マテリア）化する。,109,0,13,2,0,32,False,True
15,染色,カララントを消費して、装備品の色を変更する。,110,0,14,2,0,41,False,True
16,ターゲット・順送り,一番近い敵から順送りにターゲットする。,113,0,0,3,0,12,False,True
17,ターゲット・逆送り,一番近い敵から逆送りにターゲットする。,114,0,0,3,0,13,False,True
18,設置,手に持っているアイテムをその場に置く。,19612,0,0,1,0,0,False,False
19,ディサイファー,古ぼけた地図を解読する。,115,1694,25,1,0,61,False,False
20,ディグ,"宝の地図に記された宝箱があるかどうか、周囲を探る。
**範囲：**半径30ｍ",116,1695,25,1,67,62,False,False
21,精選,採集した収集品を選りすぐり、新たなアイテムを発見する。,121,0,256,2,0,52,False,True
22,武具投影,ミラージュプリズムを消費して、装備品の外見を変更する。,119,0,15,2,0,42,False,True
23,降りる,マウントから降りる。,19628,0,0,1,0,0,False,False
24,フライングマウント・ルーレット,ランダムに飛行可能なマウントを呼び出す。,122,0,0,1,0,0,False,False
25,ミラージュプレート,複数の装備品を一括して武具投影する。,125,0,15,2,0,43,False,True
26,コンテンツアクション1,ダンジョンや蛮神戦などのコンテンツに応じたアクションを実行する。,123,0,0,1,0,1,True,False
27,コンテンツアクション2,ダンジョンや蛮神戦などのコンテンツに応じたアクションを実行する。,124,0,0,1,0,2,True,False
28,しまう,ファッションアクセサリーをしまう。,19688,0,0,1,0,0,False,False
29,EXホットバー・アクション並び替え,EXホットバーに設定されているアクションの並びを変更する。,19692,0,0,1,0,0,False,True
30,EXホットバー・アクション並び替え,EXホットバーに設定されているアクションの並びを変更する。,19692,0,0,1,0,0,False,True
31,サポートアクション1,コンテンツに応じたアクションを実行する。,126,0,537,1,0,3,True,False
32,サポートアクション2,コンテンツに応じたアクションを実行する。,127,0,537,1,0,4,True,False
33,サポートアクション3,コンテンツに応じたアクションを実行する。,128,0,537,1,0,5,True,False
34,サポートアクション4,コンテンツに応じたアクションを実行する。,129,0,537,1,0,6,True,False
35,サポートアクション5,コンテンツに応じたアクションを実行する。,130,0,537,1,0,7,True,False
36,ターゲット・攻撃,"攻撃1～8が設定された対象をターゲットする。
ターゲット対象が複数存在する場合は一番小さい番号をターゲットする。",133,0,0,3,0,14,False,True
37,ターゲット・足止め,"足止め1～3が設定された対象をターゲットする。
ターゲット対象が複数存在する場合は一番小さい番号をターゲットする。",134,0,0,3,0,15,False,True
38,ターゲット・禁止,"禁止1～2が設定された対象をターゲットする。
ターゲット対象が複数存在する場合は一番小さい番号をターゲットする。",135,0,0,3,0,16,False,True
39,ターゲット・汎用シカク,汎用シカクが設定された対象をターゲットする。,136,0,0,3,0,17,False,True
40,ターゲット・汎用マル,汎用マルが設定された対象をターゲットする。,137,0,0,3,0,18,False,True
41,ターゲット・汎用プラス,汎用プラスが設定された対象をターゲットする。,138,0,0,3,0,19,False,True
42,ターゲット・汎用サンカク,汎用サンカクが設定された対象をターゲットする。,139,0,0,3,0,20,False,True
43,ストラテジーボード・次送り,ストラテジーボードを、次のボードに切り替える。,140,0,0,3,0,71,False,True
44,ストラテジーボード・前送り,ストラテジーボードを、前のボードに切り替える。,141,0,0,3,0,72,False,True
