#,Name,Icon,SortKey
0,未設定,61762,0
1,ダンジョン,61801,20
2,討伐・討滅戦,61804,21
3,レイド,61802,22
4,絶レイド,61832,23
5,ディープダンジョン,61824,30
6,特殊フィールド探索,61837,31
7,PvP,61806,40
8,青魔道士,61836,51
9,トレジャーハント,61808,52
10,モブハント,61819,53
11,製作,61816,100
12,採掘・園芸,61755,101
13,釣り,61756,102
14,メインクエスト,61757,10
15,ゴールドソーサー,61820,54
16,コンテンツルーレット,61807,50
17,レベリング,61752,150
18,ロールプレイ,61751,151
19,ハードコア,61754,153
20,カジュアル,61753,152
21,ビギナー,61823,154
22,メンター,61760,155
23,ギル稼ぎ,61758,200
24,グループポーズ,61764,205
25,ミラージュプリズム,61759,204
26,楽器演奏,61763,203
27,チャット,61765,206
28,ハウジング,61761,202
29,プレイヤーイベント,61766,207
30,アチーブメント収集,61767,201
31,特殊ダンジョン探索,61846,32
32,ドマ式麻雀,61768,55
33,無人島開拓,61847,56
