#,PlaceName,TargetLocations[0],TargetLocations[1],TargetLocations[2],TargetLocations[3],TargetLocations[4],TargetLocations[5],TargetLocations[6],TargetLocations[7]
1179648,イベント君１行き,1,0,0,0,0,0,0,0
1179649,イベント君２行き,0,0,0,0,0,0,0,0
1179650,グリダニア,16,2,4,18,8,12,0,0
1179651,ホウソーン家の山塞,6,0,0,0,0,0,0,0
1179652,酒房「バスカロンドラザーズ」,21,24,0,0,0,0,0,0
1179653,クォーリーミル,10,25,23,0,0,0,0,0
1179654,キャンプ・トランキル,14,20,22,108,0,0,0,0
1179655,ハーストミル,17,27,0,0,0,0,0,0
1179656,フォールゴウド,19,26,94,0,0,0,0,0
1179657,ベントブランチ牧場,3,0,0,0,0,0,0,0
1179658,ウルダハ,42,32,44,30,48,52,38,28
1179659,ホライズン,33,36,34,0,0,0,0,0
1179660,べスパーべイ,31,37,0,0,0,0,0,0
1179661,シルバーバザー,29,35,0,0,0,0,0,0
1179662,ブラックブラッシュ停留所,43,0,0,0,0,0,0,0
1179663,キャンプ・ドライボーン,46,56,110,0,0,0,0,0
1179664,リトルアラミゴ,50,58,0,0,0,0,0,0
1179665,忘れられたオアシス,54,59,0,0,0,0,0,0
1179666,キャンプ・ブルーフォグ,40,60,0,0,0,0,0,0
1179667,ゴールドバザー,57,0,0,0,0,0,0,0
1179668,青燐精製所,61,0,0,0,0,0,0,0
1179669,リムサ・ロミンサ,62,88,64,86,68,72,76,82
1179670,サマーフォード庄,63,0,0,0,0,0,0,0
1179671,スウィフトパーチ入植地,66,93,0,0,0,0,0,0
1179672,エールポート,70,92,0,0,0,0,0,0
1179673,ワインポート,74,0,0,0,0,0,0,0
1179674,キャンプ・ブロンズレイク,79,0,0,0,0,0,0,0
1179675,モラビー造船廠,87,90,0,0,0,0,0,0
1179676,レッドルースター農場,89,91,0,0,0,0,0,0
1179677,コスタ・デル・ソル,84,0,0,0,0,0,0,0
1179678,（空き）,0,0,0,0,0,0,0,0
1179679,アドネール占星台,98,0,0,0,0,0,0,0
1179680,キャンプ・ドラゴンヘッド,99,101,102,96,0,0,0,0
1179681,ホワイトブリム前哨地,100,0,0,0,0,0,0,0
1179682,レヴナンツトール,104,106,0,0,0,0,0,0
1179683,聖コイナク財団の調査地,107,0,0,0,0,0,0,0
1179684,イシュガルド：下層,140,0,0,0,0,0,0,0
1179685,ファルコンネスト,141,112,114,0,0,0,0,0
1179686,聖フィネア連隊の露営地,113,118,0,0,0,0,0,0
1179687,テイルフェザー,116,120,122,124,0,0,0,0
1179688,不浄の三塔,123,128,0,0,0,0,0,0
1179689,ショートストップ野営地,126,130,0,0,0,0,0,0
1179690,モグモグホーム,132,134,0,0,0,0,0,0
1179691,アサー天空廊,135,136,0,0,0,0,0,0
1179692,白亜の宮殿,137,133,0,0,0,0,0,0
1179693,オク・ズンド,138,0,0,0,0,0,0,0
1179694,キャンプ・クラウドトップ,139,0,0,0,0,0,0,0
1179695,ラールガーズリーチ,145,148,151,152,0,0,0,0
1179696,カストルム・オリエンス,146,155,0,0,0,0,0,0
1179697,ピーリングストーンズ,149,156,157,0,0,0,0,0
1179698,アラガーナ,143,161,163,0,0,0,0,0
1179699,アラギリ,153,159,162,166,0,0,0,0
1179700,ポルタ・プレトリア,165,168,169,0,0,0,0,0
1179701,アラミガン・クォーター,170,0,0,0,0,0,0,0
1179702,クガネ,171,174,0,0,0,0,0,0
1179703,オノコロ島,172,177,179,195,0,0,0,0
1179704,碧のタマミズ,175,178,183,0,0,0,0,0
1179705,ナマイ村,181,185,187,0,0,0,0,0
1179706,烈士庵,188,189,201,0,0,0,0,0
1179707,再会の市,191,193,197,206,0,0,0,0
1179708,モル・イロー,198,203,0,0,0,0,0,0
1179709,明けの玉座,199,205,204,0,0,0,0,0
1179710,トメラの村,207,212,213,0,0,0,0,0
1179711,ライト村,208,209,216,0,0,0,0,0
1179712,スティルタイド,210,211,219,0,0,0,0,0
1179713,ユールモア,215,218,221,0,0,0,0,0
1179714,プラ・エンニ茸窟,222,224,0,0,0,0,0,0
1179715,ヴォレクドルフ,223,227,0,0,0,0,0,0
1179716,リダ・ラーン,225,226,236,251,0,0,0,0
1179717,ファノヴの里,229,0,0,0,0,0,0,0
1179718,スリザーバウ,228,240,255,0,0,0,0,0
1179719,トゥワイン,230,247,262,267,0,0,0,0
1179720,モルド・スーク,231,265,0,0,0,0,0,0
1179721,クリスタリウム,244,259,0,0,0,0,0,0
1179722,オスタル厳命城,233,249,253,257,260,0,0,0
1179723,ジョッブ砦,232,234,238,242,245,0,0,0
1179724,旅立ちの宿,264,266,0,0,0,0,0,0
1179725,ラザハン,288,291,294,0,0,0,0,0
1179726,イェドリマン,280,283,286,0,0,0,0,0
1179727,デミールの遺烈郷,281,285,289,0,0,0,0,0
1179728,パーラカの里,282,284,292,0,0,0,0,0
1179729,キャンプ・ブロークングラス,295,0,0,0,0,0,0,0
1179730,テルティウム駅,296,0,0,0,0,0,0,0
1179731,アルティフィスホール,305,308,311,0,0,0,0,0
1179732,アルケイオン保管院,297,301,303,0,0,0,0,0
1179733,リトルシャーレアン,298,299,306,0,0,0,0,0
1179734,アポリア本部,302,300,309,0,0,0,0,0
1179735,トライヨラ,312,315,0,0,0,0,0,0
1179736,ワチュン・ペロ,313,318,0,0,0,0,0,0
1179737,ウォーラーの残響,319,0,0,0,0,0,0,0
1179738,オック・ハヌ,316,320,322,0,0,0,0,0
1179739,朋友の灯火,321,324,0,0,0,0,0,0
1179740,アースンシャイア,323,325,0,0,0,0,0,0
