#,Name,Description,Icon,Image
0,,,0,0
1,使い魔の主,"　かつて王宮の掃除役を務めていた「シルキー」が、まさか母上の使い魔であったとはな。生前の母上をよく知るパパシャンなら、どういう経緯があったのか知っているやもしれぬと、少し話を聞いてみることにした。むろん探索については気づかれないよう、それとなく、な。
　パパシャンが言うには、母上は大層な綺麗好きであり、王宮に入られてからも、ご自身の手で掃除をしていたらしい。これを見て慌てたのが侍女たちだ。王妃の手を汚してはならぬと、掃除道具を隠すことまでしたという。これに対して母上は、自らの手で掃除できぬならと知都出身の魔道士を招いて術を学び、共に巨大な清掃用使い魔を作り上げたのだとか。汚れありと見るや、銀冑団の近衛騎士すら追い立てて掃除を始める様は、なかなかに観物であったが、いつの間にやら王宮から姿を消していたとのこと。
　おそらく、共和派との対立が深まる中で、思い出の地を訪れる時間を取ることも難しくなり、保守を任せたといったところだろうか。しかし、母上も大胆なことをするものだ。清掃用に使い魔を作ることもそうだが、あれほどの力を持たせるとは……奔放にも程があろう！",70501,70401
2,誇り高き戦士の流儀,"　今後の探索に役立つかと思い、わらわは王宮の書庫でシラディハに関する記録を紐解いてみることにした。だが、王宮で保管されている記録ゆえ、すでに承知している情報が出てくるばかり。しいて目についたものといえば、ゾンビー掃討の折、アマルジャ族と共闘したウルダハの兵が記した報告書ぐらいか。そこには、アマルジャの勇士とウルダハの兵とでは、戦い方に相違があり、連携をとることに難儀している旨が書かれておった。
　当時、シラディハ水道にあふれていたゾンビーは数が多く、強さにはばらつきがあったという。件の兵は、手ごろな個体から相手取り、まずは総数を減らすことに尽力すべきだと考えておったが、アマルジャ族は見るからに強力そうな個体へと戦いを挑んでいたそうじゃ。そこで、なにゆえそのような戦い方をするのか、アマルジャ族に尋ねてみたらしい。曰く、強い敵から相手取ることが己の力を示す最上の戦法だと考えており、弱い敵から倒すのは自信のなさの表れとみなすのだと。
　結局、彼らは互いの思想を尊重しつつ、各々の好む戦法を採ったという。すなわち、ウルダハの兵は弱い個体から狙ったということだ。果たしてこの情報が役立つ場面があるかはわからぬが、記憶にとどめておくことにしよう。",70502,70402
3,陽だまりの中で,"　王族である父上と、小さな商家の生まれである母上が出会われたのは、商人たちとの交流を目的とした、王宮主催の晩餐会だったという。たちどころに恋に落ちてしまわれたというのだから、なんともロマンティックな話よ。そんなふたりが婚前に逢瀬を重ねた場所は、人目を気にせずにすむ「秘密の花園」であったと聞いたことがある。そこは、地下深くに埋没しながらも、陽の光が差し込む花園であったと……そう、まさに此度の探索で訪れた場所のことであろう。
　おふたりの婚約が発表された折、父上が母上にプロポーズをなさった場所はどこなのか、いろいろと噂が飛び交っていたそうだ。その騒ぎに乗じて、商売に利用する不届き者が後を絶たなかったとも伝わるが、ウルダハ商人の商魂たくましさは今も昔も変わらぬということだろう。真相は終ぞ明らかにならなかったそうだが、此度の場所を訪れてみて、どうりで見つからぬわけだと腑に落ちた。
　ザナラーンの乾いた砂に埋もれてなお、花々が芽吹く陽だまりの中で、若き日の父上と母上が仲睦まじくされている姿が目に浮かんでは、自然と笑みがこぼれる。おふたりのことを笑顔で思い起こせるようになるまで、ずいぶんと時間がかかってしまったものよ……。",70503,70403
4,鍵と約束,"　銀細工の鍵は、5歳の誕生日に父上と母上からいただいたのだが、どこで使うのかは教えてくださらなかった。貴方が素敵なレディに成長したら、この鍵に守られている「思い出の場所」へ連れていってあげるとだけ、母上はおっしゃっていた。そして父上は、ウルダハにとっての「思い出」もまた、そこに眠っているのだと語られていたが、幼いわらわにとっては、「すぐに開けぬ贈り物」で焦らされているように感じられてな。当時はふてくされもしたが、今となっては、それもまた大切な思い出となっている。
　その後ほどなくして、父上と母上は、ザル神の御許へと旅立たれてしまった。前触れもなく両親と引き離されたわらわは、さまざまな思惑の渦中で王位を継承し、悲しみと不安に苛まれる日々を過ごすことになる。ときに熱く、ときに冷たい砂に足を取られながら歩み続けるうち、わらわは約束のことも、鍵のことも、そして思い出の場所のことも、すっかりと忘れてしまったのじゃ。
　5歳になったばかりの未熟な娘に、なぜこの鍵を贈られたのか。まもなくして訪れる「事故」を予感されていたのか、それとも……。おふたりの想いは、もはや知る術もないが、今この手に鍵が遺されていることに、きっと意味があるのだろう。",70504,70404
5,父上の悲願,"　シラディハ水道でのゾンビー掃討の折、共闘に応じたアマルジャ族によってザハラク戦陣が設営された。あれが本営ならば、此度の探索で発見した拠点跡は前哨基地といったところか。父上と母上からいただいた鍵で秘匿されていたとなると、父上の遺された日記にあった「アマルジャとの共闘の証」と、何か関係がありそうだ。
　生前、父上は「獣人排斥令」の公布に反対されていたという。一方で獣人排斥によって利権を確保しようとしていた共和派は、砂蠍衆による後押しを利用することで、王の意に反して新法の公布を強行。これに対して父は、世論を動かして抗おうとしたらしい。容易に捏造できる文献や記録ではなく、物的な「アマルジャとの共闘の証」を示すことで、人々に融和を訴えかけようとされたのだ。だが、その計画は、父上の「事故死」によって、実現することなく終わってしまった。
　その「証」が何であるのか、今もどこかに存在しているのか、わらわにもわからぬ。しかし、あの拠点跡にもしも手掛かりがあるとしたら……。親孝行のひとつもして差し上げられなかったが、アマルジャ族との融和の機運が熟した今、父上に代わって、悲願を果たすことはできぬだろうか。かの地で「証」の行方が、わかればよいのだが。",70505,70405
6,ウルダハが負うべき罪,"　棺に納められていたアマルジャの勇士が、ゾンビーと化しておるとは。おそらく、ゾンビーとの戦いで受けた傷により、肉体を蝕まれたのであろう。
　人を死霊と化す禁忌の秘薬「ゾンビパウダー」。かつてウルダハは、自国の呪術士が作り上げたこの非道な秘薬を、シラディハとの戦争に利用した。しかも、時の王ササガンIII世は、シラディハ側が自国民を不死の兵とするために開発したものだと虚偽を流布した上で使ったのだ。その罪を巡って、のちにササガンIII世はソーン家から告発を受け、第一期ウル朝は終焉を迎えるわけだが……その嘘偽りは、今もなお通説となり根付いている。
　ウル朝の権威を保ちたい王族の意図、呪術士と強く結びついたナル・ザル教団の思惑、様々な想いが歴史を嘘で塗り固めてきた。自らが棲まう都が、非道な行いによって破壊された都の上に築かれたものであるという事実は、多くのウルダハの民にとっても認めがたいのであろう。しかし、過去をふりかえらねば、正しく明日へと歩むことなどできまい。あのアマルジャ族の姿を思い出しては、ウルの名を継いだ女王として責任を感じずにはいられぬ。イシュガルドのように、たとえ苦しむことになっても、歴史を書き戻す時が来ているのではないだろうか。",70506,70406
7,祈りとミルラ,"　シラディハ水道での一件に関して、アマルジャ族に尋ねたいことがあったのだが、彼らとの定例会議の折に、議題として提示するわけにはいかなかった。わらわがこっそりと王宮を抜け出して調査を行っていたことが露見すれば、協力してくれたあの者にも迷惑がかかってしまう。
　それゆえ、会議を終えたあとのひととき、出席していた酋長と他愛ない「雑談」を交えることにした。ウルダハ領内において発見された棺から、ゾンビーと化したアマルジャの勇士が現れたことを説明し、その者をどう弔うのが正しいのか、アマルジャ族の流儀を知りたいのだと、教えを乞うたのだ。すると酋長は、何であれ、勇士の眠りを妨げぬことが重要であると語ってくれた。蓋を開けて、中を確かめるようなことはせず、まずは棺へ向かって祈ることが肝要であると。「猛き御霊に一礼し、黙祷を捧げて、その武勲によってもたらされた勝利を喜び、敬意をもって膝をつくべし」……これが、戦場で散った同胞に捧ぐ、弔いの手順だという。そして、最後にミルラの香を焚いてやれば、御霊は浄化されるそうだ。
　こうして話を聞くたび、アマルジャ族について知るべきことはいまだ多いと痛感させられる。彼らの文化や慣習に触れて、理解を深めていかなければな。",70507,70407
8,ウルダハとシラディハ,"　ベラフディアから分裂し、対立を深めていったウルダハとシラディハ。その結末は歴史に語られる通り、ゾンビパウダーによるシラディハの滅亡によって幕を閉じた。のちに、ウルダハはシラディハの都があった場所へと遷都したゆえ、現在の都周辺や地下深くには、かの国の遺構が残されておる。上下水道を整備した折にも遺構を利用したため「シラディハ水道」と名付けられたそうだが……両国の対立が水源を巡る争いで激化したことを思えば、なんとも皮肉めいたものを感じずにはいられぬ。
　遺構を利用した水道ともなれば、別の遺構へ繋がっていたとて不思議ではないが、まさかシラディハの王宮らしき場所へと続いていようとはな。地上に露出していたなら、ザナラーンの熱い日差しと砂含みの風に晒されて、風化が進んでいたことだろう。しかし、地下深くに埋没していたおかげで、まるで時が止まったかのように保存されていた。
　あれほどまで状態のよい遺構は、そう簡単には見つからないだろう。それゆえ、史学者たちにとっては、重要な調査対象となるはずだ。ただ、あの入り組んだ水道に惑わされては、あの遺構へとたどり着くのは難しかろう。まずは道のりを整えてやらねばな。",70508,70408
9,国旗に掲げるもの,"　シラディハの国旗を目にしたとき、ウルダハとシラディハの初代国王が双子であったことが改めて思い起こさせられた。しかし、両国の国旗が似通っているのは、なにもそれが理由というわけではない。ベラフディアの時代、審理の天秤には聖火と葡萄が並んでおった。のちに、ウルダハは力を象徴する聖火を、シラディハは知恵を象徴する葡萄を受け継ぎ、富を示す宝石と力を示す大兜によって、それぞれ天秤の均衡を図ったという。そうして、両国がベラフディアと類似した国旗を掲げたのは、自国こそが正当な後継者であると主張するためでもあったのだ。
　双方とも「力」を国旗に掲げてはいるが、ウルダハの力は「魔法」であり、シラディハの力は「武術」と、その性質は大きく異なっておる。我が国のコロセウムに集う剣闘士たちの在りようは、かの国の掲げる「力」に近しいものやもしれぬな。
　今にして思えば、最後に待ち構えていた無骨なガーディアンは、かの国らしい様相であった。頭部を守る大兜に施されていたのは、繊細な葡萄の装飾。そして、シラディハの天秤と同じ白銀色の体は、薄暗い地底にあってなお、眩く輝いておった。だが、とうにシラディハは滅びておるというのに、仕える主を失ってなお王宮を守り続けていたとは、物悲しいものよのう。",70509,70409
