#,Text,Label,Unknown0,Param,Platform,Category,BacklightColor,Required
0,,,0,255,255,0,0,False
1,,,0,0,0,0,0,False
2,,,0,0,0,0,0,False
3,,,0,0,0,0,0,False
4,,,0,0,0,0,0,False
5,,,0,0,0,0,0,False
6,,,0,0,0,0,0,False
7,,,0,0,0,0,0,False
8,,,0,0,0,0,0,False
9,,,0,0,0,0,0,False
10,,,0,0,0,0,0,False
11,ステアリング移動,MOVE_AND_STEER,1,255,255,1,0,False
12,前進 / 前へ進む,MOVE_FORE,2,255,255,1,3,False
13,後退 / 後ろへ進む,MOVE_BACK,3,255,255,1,3,False
14,左ターン / 左へ進む,MOVE_LEFT,4,255,255,1,3,False
15,右ターン / 右へ進む,MOVE_RIGHT,5,255,255,1,3,False
16,左ストライフ移動,MOVE_STRIFE_L,6,255,255,1,3,False
17,右ストライフ移動,MOVE_STRIFE_R,7,255,255,1,3,False
18,ジャンプ,JUMP,8,255,255,1,3,False
19,ウォーキング切り替え,WALK,9,255,255,1,3,False
20,オートラン切り替え,AUTORUN_KEY,10,255,255,1,3,False
21,武器の納刀/抜刀,SWARD,11,255,255,1,3,False
22,ロックオン,CAMERA_FOCUS,12,255,255,1,6,False
23,飛行／潜水操作：下降,MOVE_DESCENT,13,255,255,1,3,False
24,飛行／潜水操作：高度維持,MOVE_RETENTION,14,255,255,1,3,False
25,飛行／潜水操作：ピッチ角上昇,MOVE_ANGLE_RISING,15,255,255,1,3,False
26,飛行／潜水操作：ピッチ角下降,MOVE_ANGLE_DESCENT,16,255,255,1,3,False
27,,,0,0,0,0,0,False
28,,,0,0,0,0,0,False
29,,,0,0,0,0,0,False
30,,,0,0,0,0,0,False
31,,,0,0,0,0,0,False
32,,,0,0,0,0,0,False
33,,,0,0,0,0,0,False
34,,,0,0,0,0,0,False
35,,,0,0,0,0,0,False
36,,,0,0,0,0,0,False
37,,,0,0,0,0,0,False
38,,,0,0,0,0,0,False
39,,,0,0,0,0,0,False
40,,,0,0,0,0,0,False
41,,,0,0,0,0,0,False
42,,,0,0,0,0,0,False
43,,,0,0,0,0,0,False
44,,,0,0,0,0,0,False
45,,,0,0,0,0,0,False
46,,,0,0,0,0,0,False
47,,,0,0,0,0,0,False
48,,,0,0,0,0,0,False
49,,,0,0,0,0,0,False
50,,,0,0,0,0,0,False
51,カメラ上移動,CAMERA_UP,17,255,255,1,6,False
52,カメラ下移動,CAMERA_DOWN,18,255,255,1,6,False
