#,TextLong,TextShort,TextCommentary,Quest,Section,Unknown0,Unknown1
3604480,,,,0,0,0,False
3604481,,,,0,0,0,False
3604482,ドマ式麻雀解説,MAHJONG,ドマ式麻雀解説,68737,2,0,True
3604483,ライバルウィングズ,RIVAL WINGS,ライバルウィングズ解説,0,3,0,True
3604484,ハウジングについて聞く,HOUSING,ハウジング解説,0,4,0,True
3604485,つよくてニューゲーム,NEW GAME+,つよくてニューゲーム解説,0,2,0,True
3604486,フロントライン,FRONTLINE,フロントライン解説,0,7,0,True
3604487,オーシャンフィッシング,OCEAN FISHING,オーシャンフィッシング解説,0,8,0,True
3604488,ソーチョーの幻想盤,FAUX HOLLOWS,ソーチョーの幻想盤解説,0,9,0,True
3604489,南方ボズヤ戦線,THE BOZJAN SOUTHERN FRONT,南方ボズヤ戦線解説,0,10,0,True
3604490,レジスタンスランク,RESISTANCE RANK,レジスタンスランク解説,0,11,0,True
3604491,ロストアクション,LOST ACTION,ロストアクション解説,0,13,0,True
3604492,ボズヤクラスター,BOZJA CLUSTER,ボズヤクラスター解説,0,12,0,True
3604493,トリプルトライアドトーナメント解説,CARD TOURNAMENT,トリプルトライアドトーナメント解説,0,14,0,True
3604494,,,,0,15,0,True
3604495,,,,0,16,0,True
3604496,レジスタンス勲章,RESISTANCE HONORS,レジスタンス勲章解説,0,17,0,True
3604497,ザトゥノル高原戦線,ZADNOR,ザトゥノル高原解説,0,18,0,True
3604498,PvP,PvP,PvP解説,0,19,0,True
3604499,クリスタルコンフリクト,CRYSTALLINE CONFLICT,クリスタルコンフリクト解説,0,20,0,True
3604500,ディープダンジョンの説明,DEEP DUNGEON,ディープダンジョンの説明,0,25,2,True
3604501,ディープダンジョンの説明,DEEP DUNGEON,ディープダンジョンの説明,0,26,2,True
3604502,ディープダンジョンの説明,DEEP DUNGEON,ディープダンジョンの説明,0,27,2,True
3604503,話を聞く,BLUNDERVILLE,ブランダーヴィルの説明,0,31,0,True
3604504,初心者の館,BATTLE,バトルの解説,0,33,0,True
3604505,ディープダンジョンの説明,DEEP DUNGEON,ディープダンジョンの説明,0,37,2,True
3604506,,,,0,36,0,True
3604507,「蜃気楼の島 クレセントアイル：南征編」について詳しく聞く,OCCULT CRESCENT,クレセントアイル解説,0,35,0,True
3604508,「スプリグ・クリーニング」について聞く,SPRIG CLEANING,スプリグ・クリーニング解説,0,39,0,True
