#,ExpToNext,Capacity,SurveillanceBonus,RetrievalBonus,SpeedBonus,RangeBonus,FavorBonus
0,0,0,0,0,0,0,0
1,6180,20,0,0,0,0,0
2,12504,21,0,0,0,0,0
3,18972,22,0,0,0,0,0
4,25581,23,0,0,0,0,0
5,32331,24,0,0,0,0,0
6,39221,25,0,0,0,0,0
7,46251,26,0,0,0,0,0
8,53418,27,0,0,0,0,0
9,60721,28,0,0,0,0,0
10,68161,29,0,0,0,0,0
11,75735,30,0,0,0,0,0
12,83443,31,0,0,0,0,0
13,91283,32,0,0,0,0,0
14,99256,33,0,0,0,0,0
15,107359,34,0,0,0,0,0
16,115591,35,0,0,0,0,0
17,123953,36,0,0,0,0,0
18,132442,37,0,0,0,0,0
19,141058,38,0,0,0,0,0
20,149799,39,0,0,0,0,0
21,158666,40,0,0,0,0,0
22,167656,41,0,0,0,0,0
23,176770,42,0,0,0,0,0
24,186005,43,0,0,0,0,0
25,195361,44,0,0,0,0,0
26,204838,45,0,0,0,0,0
27,214434,46,0,0,0,0,0
28,224148,47,0,0,0,0,0
29,233979,48,0,0,0,0,0
30,243927,49,0,0,0,0,0
31,253991,50,0,0,0,0,0
32,264169,51,0,0,0,0,0
33,274462,52,0,0,0,0,0
34,284867,53,0,0,0,0,0
35,295384,54,0,0,0,0,0
36,306012,55,0,0,0,0,0
37,316751,56,0,0,0,0,0
38,327599,57,0,0,0,0,0
39,338556,58,0,0,0,0,0
40,349621,59,0,0,0,0,0
41,360793,60,0,0,0,0,0
42,372071,61,0,0,0,0,0
43,383454,62,0,0,0,0,0
44,394941,63,0,0,0,0,0
45,406533,64,0,0,0,0,0
46,418227,65,0,0,0,0,0
47,430023,66,0,0,0,0,0
48,441921,67,0,0,0,0,0
49,453919,68,0,0,0,0,0
50,466016,80,0,0,0,0,0
51,551237,80,2,1,0,0,0
52,566099,80,2,3,0,1,0
53,582554,80,2,3,1,2,1
54,1497759,80,3,4,1,3,1
55,600864,80,3,7,3,3,1
56,621107,80,4,7,3,5,1
57,643477,80,4,7,3,7,2
58,668186,80,4,8,3,8,3
59,2078961,80,5,8,4,9,3
60,695566,80,5,10,5,10,5
61,725781,80,7,10,6,10,6
62,759114,80,7,10,8,12,7
63,795877,80,8,11,8,12,9
64,2509232,80,8,12,10,14,9
65,840559,80,10,15,10,15,10
66,889710,80,13,17,11,15,10
67,943775,80,13,19,13,17,10
68,1003248,80,16,19,15,17,12
69,3009743,80,16,23,15,19,13
70,1075209,80,20,25,15,20,15
71,1154367,80,23,29,15,20,15
72,1241440,80,26,29,17,22,15
73,1337221,80,26,33,18,22,17
74,4011663,80,26,35,20,23,19
75,1453116,80,30,40,20,23,20
76,1580600,80,30,45,20,23,24
77,1720833,80,34,45,21,26,25
78,1875089,80,36,45,23,29,27
79,5625266,80,38,45,25,33,28
80,2061738,80,40,50,25,35,30
81,2267053,80,40,50,30,37,32
82,2492899,80,42,50,32,40,34
83,2741330,80,43,53,32,44,35
84,8223989,80,44,53,32,49,38
85,3041931,80,48,58,33,49,39
86,3372592,80,50,58,36,49,43
87,3736319,80,50,60,36,53,46
88,4136419,80,50,64,36,56,48
89,12409258,80,50,64,40,60,49
90,4620540,80,55,70,40,60,50
91,5153074,80,57,70,41,62,51
92,5738860,80,57,70,43,64,52
93,6383225,80,58,72,43,66,54
94,19149676,80,58,74,45,68,54
95,7162907,80,60,80,45,70,55
96,8020557,80,61,82,46,72,55
97,8963972,80,61,84,46,74,55
98,10001729,80,63,84,48,76,57
99,30005186,80,63,88,48,78,58
100,11257414,80,65,90,50,80,60
101,12638668,80,66,92,52,82,60
102,14158047,80,67,92,54,84,60
103,15829365,80,68,94,56,86,62
104,47488094,80,68,96,58,88,64
105,17851658,80,70,100,60,90,65
106,17649406,80,72,100,61,91,66
107,18090643,80,72,100,63,92,67
108,18542909,80,73,101,63,93,69
109,47516207,80,73,102,65,94,69
110,19481645,80,75,105,65,95,70
111,19968687,80,76,106,66,96,70
112,20467907,80,76,107,66,97,70
113,20979605,80,78,107,68,98,72
114,53760240,80,78,109,68,99,73
115,22041699,80,80,110,70,100,75
116,22592742,80,81,111,71,101,75
117,23157563,80,82,111,72,102,75
118,23736502,80,83,112,73,103,77
119,60824790,80,83,113,74,104,79
120,24938164,80,85,115,75,105,80
121,25561619,80,87,115,76,106,81
122,26200660,80,87,115,78,107,82
123,26855677,80,88,116,78,108,84
124,68817675,80,88,117,80,109,84
125,28215249,80,90,120,80,110,85
126,28920632,80,91,121,81,111,85
127,29643649,80,91,122,81,112,85
128,30384742,80,93,122,83,113,87
129,77860906,80,93,124,83,114,88
130,31922973,80,95,125,85,115,90
131,32721049,80,96,126,86,116,90
132,33539076,80,97,126,87,117,90
133,34377553,80,98,127,88,118,92
134,88092482,80,98,128,89,119,94
135,36117919,80,100,130,90,120,95
136,37020870,80,102,130,91,121,96
137,37946392,80,102,130,93,122,97
138,38895053,80,103,131,93,123,99
139,99668577,80,103,132,95,124,99
140,40864117,80,105,135,95,125,100
141,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0
