#,Unknown0,Unknown1,Unknown2,Unknown3
0,0,0,0,0
1,46866,0,1,6
2,46871,2074,1,1
3,46868,0,1,7
4,46870,4880,0,2
5,46886,0,0,2
6,46898,1225,1,1
7,46892,0,2,10
8,46906,5140,5,1
9,46909,5356,0,2
10,46912,0,0,2
11,46920,0,5,1
12,46924,0,1,8
13,46935,5140,3,1
14,46928,1225,6,1
15,46929,0,2,6
16,46930,0,0,2
17,48247,5382,3,1
18,48223,0,0,2
19,48218,0,0,4
20,48219,0,1,7
21,48222,0,1,9
22,48137,0,2,6
23,48138,0,5,1
24,48189,0,0,2
25,48193,0,1,6
26,48203,1225,6,1
27,48175,0,0,2
28,48168,0,1,9
29,48555,0,0,2
30,48556,0,1,9
31,48561,5389,1,9
32,48186,0,1,6
33,48155,0,1,6
34,48157,0,1,7
35,48242,5423,1,1
36,48229,0,1,8
37,48227,5381,0,2
38,48143,5421,1,9
39,48153,5421,1,9
40,46919,0,1,9
41,48588,0,1,8
42,48589,0,1,9
43,48582,2413,6,1
44,48581,0,1,6
45,48579,0,6,6
46,48477,0,0,2
47,48479,0,1,9
48,48485,5356,1,9
49,50532,5434,1,1
50,48510,4891,1,9
51,48512,0,0,2
52,48563,0,5,1
53,48575,5424,1,8
54,48497,0,0,2
55,48499,0,0,3
56,48489,5356,3,1
57,48607,0,0,9
58,48620,5388,5,2
59,50540,0,1,9
60,48790,0,1,9
61,48802,0,1,9
62,48801,0,5,2
63,48791,0,2,6
64,48792,0,1,6
65,48793,2528,1,1
66,48794,0,1,6
67,48796,5141,1,0
68,49253,5465,1,1
69,49254,0,5,1
70,49250,5145,1,1
71,49252,0,1,9
72,49260,5146,5,1
73,49261,1283,1,9
74,48727,5178,0,2
75,48720,0,1,8
76,48691,0,0,2
77,48685,421,0,2
78,48689,0,3,1
79,48473,0,0,2
80,50693,0,1,9
81,48668,5020,1,1
82,48657,0,1,9
83,48736,0,1,6
84,48737,0,1,6
85,48738,5140,1,9
86,48742,5336,1,2
87,48747,0,0,2
88,48740,1283,1,9
89,48735,0,0,2
90,49213,0,3,1
91,49212,0,0,2
92,49210,0,1,6
93,49211,0,1,9
94,49214,4891,1,9
95,49231,5389,1,9
96,49209,616,1,9
97,48810,5183,5,6
98,48814,5183,0,2
99,48821,5183,1,9
100,49272,0,1,9
101,49265,0,2,6
102,49271,0,6,1
103,48781,5383,5,6
104,48786,390,6,1
105,49315,5500,1,6
106,48785,5356,0,2
107,48782,0,6,1
108,48673,5382,0,2
109,50758,0,1,9
110,48679,0,1,6
111,48680,2551,5,1
112,48783,0,1,6
113,50750,5141,5,1
114,50544,5382,5,1
115,49453,0,0,9
116,49470,5388,5,2
117,50541,0,1,9
118,50793,0,3,1
119,48621,0,3,1
120,48704,0,0,2
121,48708,5177,2,6
122,48621,0,3,1
123,48757,0,1,8
124,48768,0,0,2
125,49378,3908,0,2
126,49359,0,1,0
127,49367,5382,0,2
128,49368,0,6,1
129,49375,0,1,9
130,49373,0,1,9
131,48568,3134,5,1
132,49193,0,0,2
133,49189,5382,5,1
134,49194,0,0,2
135,49200,5021,5,6
136,49208,5388,1,9
137,49196,5140,1,6
138,49316,5498,5,7
139,49238,0,1,9
140,49240,0,0,2
141,49241,126,5,1
142,49242,0,1,9
143,49243,0,5,6
144,49246,0,5,6
145,49247,0,2,6
146,49248,0,0,2
147,49249,0,0,3
148,49278,4537,0,2
149,49298,3129,1,1
150,49286,4167,1,6
151,49297,0,1,6
152,49381,0,0,2
153,49383,0,1,6
154,49385,5337,1,9
155,49384,5336,1,9
156,49399,0,5,1
157,49400,0,0,1
158,49395,0,0,2
159,49394,1225,1,1
160,49196,5140,0,9
161,49287,0,6,1
162,49370,5382,0,2
163,49344,0,0,9
164,49353,0,0,9
165,49410,0,1,9
166,49415,0,1,8
167,49408,0,0,2
168,49411,5382,1,10
169,49418,0,0,0
170,49429,0,0,9
171,49435,5495,3,1
172,49434,5421,0,9
173,50943,0,2,6
174,49387,0,0,0
175,48621,0,3,1
176,48626,0,3,1
177,49397,2550,6,6
178,50747,0,3,1
179,0,0,0,0
180,0,0,0,0
