#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14
0,,,,,,0,0,0,0,0,0,False,True,True,True
1,離脱,ボタンを押して飛び降りろ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,1,88,4,0,0,0,False,True,True,True
2,離脱,連打して抜け出せ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,23,0,0,False,True,True,True
3,鍔迫り合い,連打して耐えろ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,3,88,25,30,3,0,True,False,True,True
4,,,,,,4,0,0,0,0,0,False,False,True,True
5,離脱,連打して抜け出せ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,35,0,0,False,True,True,True
6,脱出,連打して抜け出せ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,10,0,0,False,True,True,True
7,乗り攻防,連打して押さえつけろ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,3,88,25,20,2,0,True,False,True,True
8,離脱,連打して抜け出せ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,15,45,0,0,True,False,True,True
9,風の牢獄,全力で脱出せよ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,15,45,0,0,False,False,True,True
10,光の解放,内なる光の力を解き放て！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,23,0,0,False,False,True,False
11,光の解放,内なる光の力を解き放て！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,5,23,0,0,False,False,True,False
12,鍔迫り合い,連打して耐えろ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,3,88,60,30,3,0,True,False,True,True
13,鍔迫り合い,連打して耐えろ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,3,88,25,30,3,0,True,False,True,True
14,反逆の意志,力の限り抗え！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,15,30,3,0,False,False,True,False
15,鎖死毒への抵抗,鎖死毒の激痛に抗って立ち上がれ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,15,15,0,0,False,False,True,False
16,意識の維持,連打して意識を保て！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,10,30,3,0,False,True,True,False
17,死闘,連打して押し返せ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,20,90,0,0,False,True,True,False
18,マンダヴィルステップ,ボタンを押して技を繰り出せ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,10,10,0,0,False,True,True,False
19,離脱,連打して抜け出せ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,28,10,0,0,False,False,True,False
20,守護,連打してクライヴを守り抜け！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,3,25,15,0,False,True,True,False
21,対抗,連打して攻撃に抗え！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,3,25,15,0,False,True,True,False
22,鍔迫り合い,連打して耐えろ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,5,88,10,30,3,0,False,False,True,False
23,離脱,連打して抜け出し、クイーキを助けろ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,22,17,0,0,False,False,True,False
24,離脱,連打して攻撃を切り抜けろ！,SE_Bt_Etc_QTE_Ready,SE_Bt_Etc_QTE_Success,SE_Bt_Etc_QTE_Fail,2,88,20,45,0,0,False,False,True,False
25,,,,,,0,0,0,0,0,0,False,False,False,False
