#,Name,Abbreviation,NameFemale,CanQueueForDuty,NameEnglish,ItemSoulCrystal,UnlockQuest,RelicQuest,Prerequisite,Unknown_70_1,Unknown_70_2,Unknown9,ItemStartingWeaponMainHand,ItemStartingWeaponOffHand,ModifierHitPoints,ModifierManaPoints,ModifierStrength,ModifierVitality,ModifierDexterity,ModifierIntelligence,ModifierMind,ModifierPiety,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,LimitBreak1,LimitBreak2,LimitBreak3,ClassJobCategory,Unknown8,JobIndex,PvPBaseParamValue,PvPActionSortRow,PvPInitialSelectActionTrait,ClassJobParent,Role,StartingTown,PrimaryStat,UIPriority,StartingLevel,PartyBonus,JobType,ExpArrayIndex,BattleClassIndex,DohDolJobIndex,MonsterNote,IsLimitedJob,Unknown10
0,,,,False,Adventurer,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,127,False,False
1,剣術士,GLA,剣,True,Gladiator,0,0,0,0,1,0,0,1601,0,130,100,95,100,90,50,95,100,100,100,100,100,100,100,197,198,199,30,1,0,0,0,0,1,1,3,1,2,1,1,0,1,0,-1,0,False,True
2,格闘士,PGL,格,True,Pugilist,0,0,0,0,2,0,0,1680,0,105,100,100,95,100,45,85,100,100,100,100,100,100,100,200,201,202,30,2,0,0,0,0,2,2,3,1,22,1,3,0,0,1,-1,1,False,False
3,斧術士,MRD,斧,True,Marauder,0,0,0,0,3,0,0,1749,0,135,100,100,100,90,30,50,100,100,100,100,100,100,100,197,198,4240,30,3,0,0,0,0,3,1,1,1,4,1,1,0,2,2,-1,2,False,False
4,槍術士,LNC,槍,True,Lancer,0,0,0,0,4,0,0,1819,0,110,100,105,100,95,40,60,100,100,100,100,100,100,100,200,201,4242,30,4,0,0,0,0,4,2,2,1,24,1,3,0,4,3,-1,3,False,False
5,弓術士,ARC,弓,True,Archer,0,0,0,0,5,0,0,1889,0,100,100,85,95,105,80,75,100,100,100,100,100,100,100,4238,4239,4244,30,5,0,0,0,0,5,3,2,2,32,1,4,0,3,4,-1,4,False,False
6,幻術士,CNJ,幻,True,Conjurer,0,0,0,0,6,0,0,1995,0,100,100,50,95,100,100,105,100,100,100,100,100,100,100,206,207,208,31,6,0,0,0,0,6,4,2,5,12,1,2,2,6,5,-1,5,False,True
7,呪術士,THM,呪,True,Thaumaturge,0,0,0,0,7,0,0,2055,0,100,100,40,95,95,105,70,100,100,100,100,100,100,100,203,204,205,31,7,0,0,0,0,7,3,3,4,42,1,5,0,5,6,-1,6,False,True
8,木工師,CRP,木,False,Carpenter,10337,0,0,0,0,0,0,0,0,100,100,90,105,100,90,90,100,100,100,100,100,100,100,0,0,0,33,0,0,0,0,0,8,0,0,0,101,1,7,0,7,-1,0,127,False,False
9,鍛冶師,BSM,鍛,False,Blacksmith,10338,0,0,0,0,0,0,0,0,100,100,105,90,90,90,100,100,100,100,100,100,100,100,0,0,0,33,0,0,0,0,0,9,0,0,0,102,1,7,0,8,-1,1,127,False,False
