#,Thumbnail,ActivationStage,Unknown2,LogEntry
0.0,0,0,0,0
1.0,70701,0,3655,1
1.1,70702,4,3656,2
1.2,70703,8,3657,3
1.3,70704,14,3658,4
1.4,70705,18,3659,5
1.5,70706,21,3660,6
1.6,70707,24,3661,7
1.7,70708,30,3662,8
1.8,70709,33,3663,9
1.9,70710,37,3664,10
1.10,70711,43,3665,11
1.11,70712,49,3666,12
1.12,70713,55,3667,13
1.13,70714,58,3668,14
1.14,70715,62,3669,15
1.15,70716,62,3670,16
2.0,70717,0,3735,17
2.1,70718,67,3736,18
2.2,70719,71,3737,19
2.3,70720,75,3738,20
2.4,70721,81,3739,21
2.5,70722,85,3740,22
2.6,70723,88,3741,23
2.7,70724,94,3742,24
2.8,70725,97,3743,25
2.9,70726,101,3744,26
2.10,70727,105,3745,27
2.11,70728,109,3746,28
2.12,70729,115,3747,29
2.13,70730,123,3748,30
2.14,70731,126,3749,31
2.15,70732,130,3750,32
2.16,70733,130,3771,33
3.0,70734,0,3859,34
3.1,70735,135,3860,35
3.2,70736,138,3861,36
3.3,70737,144,3862,37
3.4,70738,148,3863,38
3.5,70739,151,3864,39
3.6,70740,155,3865,40
3.7,70741,159,3866,41
3.8,70742,163,3867,42
3.9,70743,167,3868,43
3.10,70744,171,3869,44
3.11,70745,175,3870,45
3.12,70746,179,3871,46
3.13,70747,182,3872,47
3.14,70748,186,3873,48
3.15,70749,190,3874,49
3.16,70750,190,3890,50
