#,Unknown0,Unknown1,Unknown2
0,,0,False
1,第1節：チュートリアル,349,False
2,第2節：チョコチョコチョコチョコボ,349,False
3,第3節：序盤にありそうな戦い,349,False
4,第4節：小さな巨獣,350,True
5,第5節：蛮族たちの反乱,349,False
6,第6節：恐怖、タラタラの墓所,351,True
7,第7節：ライバルたちの共闘,349,False
8,第8節：暁は光と闇とを分かつ,349,False
9,第9節：爆破、カパカパベル銅山,352,True
10,第10節：マンドラ帝国の逆襲,349,False
11,第11節：女王陛下万歳！,349,False
12,第12節：デモンズブロック崩し,353,True
13,第13節：筆頭機工師ガーロンド,349,False
14,第14節：ナッツの味にはもう飽きた,349,False
15,第15節：極小オーディン討滅戦,354,True
16,第16節：チョコボ大行進,349,False
17,第17節：融解、スノークローク小氷壁,349,False
18,第18節：小さなモブハント,349,False
19,第19節：極小ギルガメッシュ討滅戦,355,True
20,第20節：汝にクリスタルの導きあれ,349,False
21,第21節：賢人ルイゾワの試練,349,False
22,第22節：薄闇の世界,349,False
23,第23節：大迷惑バハムート邂逅編,356,True
24,第24節：大迷惑バハムート真成編,357,True
25,,349,False
26,,349,False
27,,349,False
28,,349,False
29,,349,False
30,,349,False
31,,349,False
32,,349,False
33,,349,False
