#,Masculine,Feminine,Hp,Mp,STR,VIT,DEX,INT,MND,PIE
0,,,0,0,0,0,0,0,0,0
1,ミッドランダー ,ミッドランダー ,0,0,2,0,-1,3,-1,0
2,ハイランダー,ハイランダー,0,0,3,2,0,-2,0,0
3,フォレスター,フォレスター,0,0,0,-1,3,2,-1,0
4,シェーダー,シェーダー,0,0,0,-1,0,3,1,0
5,プレーンフォーク,プレーンフォーク,0,0,-1,-1,3,2,0,0
6,デューンフォーク,デューンフォーク,0,0,-1,-2,1,2,3,0
7,サンシーカー,サンシーカー,0,0,2,0,3,-1,-1,0
8,ムーンキーパー,ムーンキーパー,0,0,-1,-2,2,1,3,0
9,ゼーヴォルフ,ゼーヴォルフ,0,0,2,3,-1,-2,1,0
10,ローエンガルデ,ローエンガルデ,0,0,0,3,-2,0,2,0
11,アウラ・レン,アウラ・レン,0,0,-1,-1,2,0,3,0
12,アウラ・ゼラ,アウラ・ゼラ,0,0,3,2,0,0,-2,0
13,ヘリオン,ヘリオン,0,0,3,3,-3,-3,3,0
14,ロスト,ロスト,0,0,3,3,-3,-3,3,0
15,ラヴァ・ヴィエラ,ラヴァ・ヴィエラ,0,0,0,-2,3,1,1,0
16,ヴィナ・ヴィエラ,ヴィナ・ヴィエラ,0,0,-1,-1,0,3,2,0
