#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0,,0,0,0,False
1,アラガントームストーン:伝承を詩学に交換,5,1,50,False
2,アラガントームストーン:聖典を詩学に交換,4,1,50,False
3,アラガントームストーン:真理を万物に交換,4,2,25,False
4,アラガントームストーン:万物を虚構に交換,4,2,25,False
5,アラガントームストーン:虚構を詩学に交換,5,1,50,False
6,アラガントームストーン:創世を詩学に交換,4,1,50,False
7,アラガントームストーン:魔典を幻想に交換,4,2,25,False
8,アラガントームストーン:幻想を奇譚に交換,4,2,25,False
9,アラガントームストーン:奇譚を詩学に交換,5,1,50,False
10,アラガントームストーン:黙示を詩学に交換,4,1,50,False
11,アラガントームストーン:経典を天文に交換,4,2,25,False
12,アラガントームストーン:天文を因果に交換,4,2,25,False
13,アラガントームストーン:因果を詩学に交換,5,1,50,False
14,アラガントームストーン:神曲を詩学に交換,4,1,50,False
15,アラガントームストーン:美学を天道に交換,4,2,25,False
16,アラガントームストーン:天道を数理に交換,4,2,25,True
