#,Unknown0,Unknown1,Unknown2,Unknown3
0,,,,
1,アカククリを獲った事で、魚影の気配を感じた・・・・ ,アカククリを獲った事で、魚影の気配が強まった・・・！,アカククリを獲った事で、魚影の気配がかなり強まった・・・！,どこかに魚影が出現したようだ・・・！！
2,魚蜥蜴を獲った事で、魚影の気配を感じた・・・・ ,魚蜥蜴を獲った事で、魚影の気配が強まった・・・！,魚蜥蜴を獲った事で、魚影の気配がかなり強まった・・・！,どこかに魚影が出現したようだ・・・！！
3,オヤニラミを獲った事で、魚影の気配を感じた・・・・ ,オヤニラミを獲った事で、魚影の気配が強まった・・・！,オヤニラミを獲った事で、魚影の気配がかなり強まった・・・！,どこかに魚影が出現したようだ・・・！！
4,マーシナリークラブを獲った事で、魚影の気配を感じた・・・・ ,マーシナリークラブを獲った事で、魚影の気配が強まった・・・！,マーシナリークラブを獲った事で、魚影の気配がかなり強まった・・・！,どこかに魚影が出現したようだ・・・！！
5,イチモンジを獲った事で、魚影の気配を感じた・・・・ ,イチモンジを獲った事で、魚影の気配が強まった・・・！,イチモンジを獲った事で、魚影の気配がかなり強まった・・・！,どこかに魚影が出現したようだ・・・！！
6,ノーブルフィッシュを獲った事で、魚影の気配を感じた・・・・ ,ノーブルフィッシュを獲った事で、魚影の気配が強まった・・・！,ノーブルフィッシュを獲った事で、魚影の気配がかなり強まった・・・！,どこかに魚影が出現したようだ・・・！！
7,ソールディアルビーを獲った事で、魚影の気配を感じた・・・・ ,ソールディアルビーを獲った事で、魚影の気配が強まった・・・！,ソールディアルビーを獲った事で、魚影の気配がかなり強まった・・・！,どこかに魚影が出現したようだ・・・！！
8,大樹の鱗を獲った事で、魚影の気配を感じた・・・・ ,大樹の鱗を獲った事で、魚影の気配が強まった・・・！,大樹の鱗を獲った事で、魚影の気配がかなり強まった・・・！,どこかに魚影が出現したようだ・・・！！
9,トラザメを獲った事で、魚影の気配を感じた・・・・ ,トラザメを獲った事で、魚影の気配が強まった・・・！,トラザメを獲った事で、魚影の気配がかなり強まった・・・！,どこかに魚影が出現したようだ・・・！！
10,マホロバハタを獲った事で、魚影の気配を感じた・・・・ ,マホロバハタを獲った事で、魚影の気配が強まった・・・！,マホロバハタを獲った事で、魚影の気配がかなり強まった・・・！,どこかに魚影が出現したようだ・・・！！
11,リガカフィッシュを獲った事で、魚影の気配を感じた・・・・ ,リガカフィッシュを獲った事で、魚影の気配が強まった・・・！,リガカフィッシュを獲った事で、魚影の気配がかなり強まった・・・！,どこかに魚影が出現したようだ・・・！！
12,ゴールデンディスカスを獲った事で、魚影の気配を感じた・・・・ ,ゴールデンディスカスを獲った事で、魚影の気配が強まった・・・！,ゴールデンディスカスを獲った事で、魚影の気配がかなり強まった・・・！,どこかに魚影が出現したようだ・・・！！
