#,Unknown0,Unknown1,Unknown2,Unknown3,Pet,Action,Location,Unknown7,Unknown8,Unknown9,LocationKey,Unknown11[0],Unknown11[1],Unknown11[2],Unknown11[3],Unknown11[4],Unknown11[5],Unknown11[6],Unknown11[7],Unknown11[8],Unknown11[9],Unknown11[10],Unknown11[11],Unknown11[12],Unknown11[13],Unknown11[14],Unknown11[15]
0,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False
1,イルサバード大陸原産の肉食獣。かつてはランディス地方に大きな生息圏が存在したが、ガレマール帝国の統治下で急激に個体数を減らし、今では幻と呼ばれるほど。同地では、仲間への愛情深き獣として知られている。,物理斬属性ダメージ,敵に6回攻撃物理斬属性ダメージ,242001,47,45187,0,1,42,3,0,100,91,100,79,100,False,False,False,False,False,False,False,False,False,False,False
2,世界各地に分布する、発達した門歯を持つゲッ歯類。基本的には果樹園や穀倉を荒らす害獣だが、地神ノフィカのしもべとして庶民に親しまれており、絵画や木彫り細工のモチーフとしてもよく用いられているようだ。,魔法火属性ダメージ,味方にヘイスト,242002,48,48643,54,1,35,3,1,91,100,91,91,91,False,False,False,False,False,False,False,False,False,False,False
3,大氷雪時代に家畜化された羊。品種改良が重ねられた結果、綿花のように丸々と毛を蓄えるようになっており、家畜として確固たる地位を築いている。首にベルを下げていたなら、それは牧場から逃げ出した個体だろう。,物理打属性ダメージ,敵に睡眠＋味方に睡眠耐性向上,242003,49,45188,30,1,21,4,1,82,82,82,82,82,False,False,False,False,False,False,False,True,False,False,False
4,ガス嚢で身体を浮かせ、大きなヒレで掻くようにして進むことで、水辺に進出した陸魚。河川に棲む魚を捕らえるために、細長い口吻を持つ。縄張り意識が強いため、漁場と定めた場所からは決して逃げ出さない。,魔法水属性ダメージ,味方に被魔法ダメージ軽減＋麻痺耐性向上,242004,50,48648,30,5,45,2,1,100,100,100,100,100,False,False,False,False,False,False,False,False,False,False,False
5,森林地帯に棲息する猿。ボスを中心に数十頭からなるコロニーを築く、社会性を持ち合わせている。非常に賢いため、作物を狙われる農家からするとやっかいな相手である一方、飼い慣らせば心強い友となるだろう。,物理打属性ダメージ,敵に魔法無属性ダメージ＋麻痺,242005,52,49696,57,1,18,3,1,97,97,97,97,76,False,False,True,False,False,False,False,False,False,False,False
6,マズラヤ島を原産地とする、飛翔力のない大型鳥。食用に向き、特に胸肉が美味だが、毒性の分泌物を噴出するため、飼育の際には毒腺を切除する必要がある。各地に広がる過程で、羽毛の色が異なる品種が派生した。,魔法土属性ダメージ＋暗闇,味方に土属性耐性アップ＋暗闇耐性向上,242006,53,48647,31,3,5,2,1,91,91,100,100,100,False,False,False,False,True,False,False,False,False,False,False
7,自らの殻を形成する鉱石を求めて這い回る奇妙な魔物。棲息する場所ごとに産出する鉱物の種類も異なるため、殻の色や硬度にも自然と差が生じる。なお、触手には強い毒があるため、絶対に食べてはいけない。,魔法雷属性ダメージ,味方に被物理ダメージ軽減＋毒耐性向上,242007,54,48645,42,7,43,1,1,100,100,91,100,100,False,False,False,True,False,False,False,False,False,False,False
8,社会生活を営む巨大節足動物。ダイアマイトは成熟した雄を示し、繁殖を担う少数の雌個体を護る役割を担う。なお、粘着性の糸を放つことができるが、これは餌となる獲物を捕らえつつ、保存することにも用いられる。,物理突属性ダメージ＋毒,敵に魔法無属性ダメージ＋ノックバック＋バインド,242008,55,45187,54,2,27,1,1,100,100,100,100,100,False,False,False,False,False,True,False,False,True,False,False
9,ラノシア沿岸やベロジナ・ハズーバ水系などに棲息する大型の蟹。分厚い甲殻で守られた内部には、ぎっちりと身が詰まっており、美味なる食材として知られている。その甲殻を鍋代わりにした料理も有名だ。,魔法水属性ダメージ,敵に魔法水属性ダメージ＋水属性耐性低下,242009,56,49695,30,5,8,2,1,97,97,97,97,97,False,False,False,False,False,False,False,False,False,False,False
10,交易を通じて西方のトラル大陸から伝播した大型蜂。大柄で繁殖力も旺盛なため、在来種を駆逐してしまうのではと危惧されている。毒液が仕込まれた針を発射する能力を持つため、駆除には細心の注意が必要。,物理突属性ダメージ＋毒,敵に物理突属性ダメージ＋実行後強制帰還,242010,57,45187,43,2,37,1,1,97,97,97,97,97,False,False,False,False,False,True,False,False,False,False,False
11,エオルゼア全域に分布する肉食の怪鳥。腐肉を漁るため、神話には不浄なる誘惑者として登場することが多い。戦死者が出ることを期待して軍隊を追尾することがあるため、特に兵士からは忌み嫌われる傾向がある。,魔法風属性ダメージ,敵に魔法風属性ダメージ＋ディスペル,242011,58,48646,42,3,5,2,1,100,100,91,91,91,False,False,False,False,False,False,False,False,False,False,False
12,第七霊災後に、忽然と姿を現した植物状生物。知性らしきものがあるらしく、個体同士の相互伝達手段を持つようだが、詳細は不明。近年、異なる種の野菜同士が結託して行動を共にする姿もたびたび確認されている。,物理打属性ダメージ,敵に魔法無属性ダメージ＋ヘヴィ,242012,59,45188,30,4,36,2,1,91,91,100,100,100,False,False,False,False,False,True,False,False,False,True,False
13,夜霧に乗じて姿を現す、強大な死霊。頭部や胴体に顔状の文様を有するなど、同じ死屍綱のハウントと共通点が多い。墓地や戦場といった場所に現れるため、人々の恐怖心を具現化した存在だと考える者もいるようだ。,魔法雷属性ダメージ,味方にＨＰ吸収効果,242013,60,49692,54,8,6,5,1,100,100,100,100,100,False,False,False,False,False,False,False,False,False,False,False
14,虫を捕らえるために樹木の間を飛び渡る、有翼のトカゲ。気性が荒く、縄張りへの侵入者には自分より大きくても果敢に立ち向かう。グリダニアでは実力の伴わない者への侮蔑表現に、この名が用いられることも。,魔法火属性ダメージ,敵に物理斬属性ダメージ＋ノックバック,242014,61,45187,30,6,47,2,1,100,88,91,100,100,False,False,False,False,False,False,False,False,False,False,False
15,世界各地に分布する中型の甲殻類。肉には独特の臭みがあるため、食用に用いられることは少ない。時折、幼生時代に身を隠すため用いた物品を成長後も持ち続け、鉄兜などを被ったような外見の個体も見かけられる。,魔法水属性ダメージ,自身にヘイスト,242015,62,48648,42,5,12,2,1,94,94,94,94,94,False,False,False,False,False,False,False,False,False,False,False
16,南洋諸島の熱帯雨林に棲息する、獰猛な大蟷螂。プレーンフォーク族の集団移住に乗じてラノシアへと進出、在来の野生生物と迂闊な人々を餌食とすることで、急速に個体数を増やし、完全に定着してしまったようだ。,物理斬属性ダメージ,敵に魔法無属性ダメージ＋被物理ダメージ増加,242016,63,45186,33,2,27,1,1,94,94,94,94,94,False,False,False,False,False,False,False,False,False,False,False
17,屍肉や腐汁、あるいは不浄な廃液に、土地のエーテルが作用して生じる半魔法生命体。その発生は偶発的なケースが多いが、一部の悪趣味な錬金術や魔法の使い手によって意図的に生成されることも確認されている。,魔法無属性ダメージ＋マスターＨＰ吸収,敵に魔法無属性ダメージ＋バインド,242017,64,49689,3,8,40,5,2,97,1,97,97,97,False,False,False,False,False,False,False,False,True,False,False
18,板金鎧を依代にしたゴーレムの一種。古代の魔道士の傀儡というのが一般的な見方だが、魂の断片が宿った亡霊だとする言説や、異界の魂が宿った妖異とする説も存在。そのいずれも可能性としてはあり得るだろう。,物理斬属性ダメージ,味方に与物理ダメージ上昇,242018,65,45186,7,7,15,2,2,97,97,97,97,97,False,False,False,True,False,False,False,False,False,False,False
19,洞穴や樹洞といった薄暗い場所に営巣する有翼獣。日中は巣に身を潜め、夜になると外へと飛び立つ。羽虫や果実、血液など種によって主食が異なるが、その糞は古くから燃料や肥料などに利用されてきた。,魔法無属性ダメージ＋マスターＨＰ吸収,敵に魔法無属性ダメージ＋命中率ダウン＋味方の弱体効果解除,242019,66,49689,31,3,16,2,1,94,94,94,94,94,False,False,False,False,True,False,False,False,False,False,False
