#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0,0,0,0,0,0
1,0,0,0,0,26
2,0,0,0,0,3
3,0,0,0,0,10
4,0,0,0,0,10
5,0,0,0,0,13
6,0,0,0,0,16
7,0,0,0,0,18
8,0,0,0,0,20
9,0,0,0,0,20
10,0,0,0,0,7
11,0,0,0,0,4
12,0,0,0,0,23
13,0,0,0,0,7
14,0,0,0,0,3
15,10,5,0,0,2
16,0,0,0,0,8
17,0,0,0,0,14
18,0,0,0,0,21
19,0,0,0,0,3
20,0,0,0,0,23
21,0,0,0,0,23
22,0,2,0,0,23
23,0,3,0,0,23
24,0,3,0,0,23
25,0,4,0,0,23
26,0,5,0,0,23
27,0,0,1,0,23
28,0,0,2,0,23
29,0,0,3,0,23
30,0,0,0,1,23
31,0,0,0,2,23
32,0,0,0,3,23
33,0,0,0,0,25
34,0,0,0,0,4
35,0,0,0,0,21
36,4,0,0,0,0
37,0,0,0,0,5
38,0,0,0,0,26
39,0,2,0,0,0
40,0,0,0,0,7
41,0,0,0,0,10
42,0,0,3,0,0
43,0,0,0,0,16
44,0,0,0,0,18
45,0,0,0,3,0
46,0,0,0,0,25
47,5,0,0,0,0
48,0,0,0,0,23
49,0,0,0,0,13
50,0,0,0,0,20
51,0,0,0,0,7
52,0,0,0,0,3
53,0,0,0,0,3
54,0,0,0,0,7
55,0,0,0,0,35
56,0,0,0,0,23
57,0,0,0,0,23
58,0,6,0,0,0
59,0,6,0,0,23
60,0,6,0,0,23
61,0,0,0,0,42
62,0,0,0,0,45
