#,Unknown0,ClassPlural,VoiceLine,ClassSingular
0,,,0,
1,ALPHINAUD,学士,8202013,Academician
2,ALISAIE,赤魔道士,8202034,Red Mage
3,THANCRED,ガンブレイカー,8202055,Gunbreaker
4,MINFILIA,光の巫女,8202073,Oracle of Light
5,URIANGER,占星術師,8202092,Astrologian
6,Y'SHTOLA,魔女,8202109,Sorceress
7,RYNE,光の巫女,8202073,Oracle of Light
8,LYNA,衛兵団長,8202143,Guard Captain
9,CRYSTAL EXARCH,オールラウンダー,8202130,All-Rounder
10,G'RAHA TIA,オールラウンダー,8202346,All-Rounder
11,ALPHINAUD,賢者,8203013,Sage
12,ESTINIEN,竜騎士,8203064,Dragoon
13,URIANGER,秘石術士,8202092,Lithomancer
14,VENAS,オールラウンダー,8203122,All-Rounder
15,EMET-SELCH,第三の座,8203219,The Third Seat
16,HYTHLODAEUS,ソウルシーア,8203239,Soulseer
17,EAGER MARAUDER,斧術士,0,Marauder
18,EAGER LANCER,槍術士,0,Lancer
19,EAGER THAUMATURGE,呪術士,0,Thaumaturge
20,EAGER CONJURER,幻術士,0,Conjurer
21,SCION MARAUDER,斧術士,0,Marauder
22,SCION LANCER,槍術士,0,Lancer
23,SCION THAUMATURGE,呪術士,0,Thaumaturge
24,SCION CONJURER,幻術士,0,Conjurer
25,STORM MARAUDER,斧術士,0,Marauder
26,SERPENT LANCER,槍術士,0,Lancer
27,FLAME THAUMATURGE,呪術士,0,Thaumaturge
28,SERPENT CONJURER,幻術士,0,Conjurer
29,VARSHAHN,太守,8203440,Satrap
30,YSAYLE,氷の巫女,0,Oracle of Frost
31,TEMPLE KNIGHT,神殿騎士,0,Temple Knight
32,TEMPLE BANNERET,槍騎兵,0,Temple Banneret
33,TEMPLE CHIRURGEON,治療師,0,Temple Chirurgeon
34,HAURCHEFANT,正騎士,0,Chivalric Knight
35,PERO ROGGO,ポロッゴ,0,Poroggo
36,AYMERIC,総長,0,Lord Commander
37,HOUSE FORTEMPS KNIGHT,騎士,0,Knight
38,HOUSE FORTEMPS BANNERET,槍騎兵,0,Banneret
39,HOUSE FORTEMPS ARCHER,射手,0,Archer
40,THANCRED,賢人,0,Archon
41,ZERO,メモリア使い,8203467,Memoriate
42,Y'SHTOLA,賢人,0,Archon
43,CARVALLAIN,斧術士,0,Marauder
44,LYSE,格闘士,0,Pugilist
45,GOSETSU,侍,0,Samurai
46,HIEN,侍,0,Samurai
47,MOL YOUTH,シャーマン,0,Shaman
48,YUGIRI,忍者,0,Ninja
49,DOMAN LIBERATOR,侍,0,Samurai
50,DOMAN SHAMAN,巫士,0,Fushi
51,RESISTANCE FIGHTER,剣術士,0,Gladiator
52,RESISTANCE PIKEDANCER,パイク兵,0,Pikedancer
53,ARENVALD,剣術士,0,Gladiator
54,LYSE,格闘士,0,Pugilist
55,RAUBAHN,剣闘士,0,Champion Gladiator
56,J'MOLDVA,槍術士,0,Lancer
57,WUK LAMAT,勇士,8205048,Intrepid
58,ZORAAL JA,ヴァイパー,8205115,Viper
59,KOANA,革新者,8205098,Innovator
60,KRILE,ピクトマンサー,8205029,Pictomancer
61,SPHENE,命術士,8206020,Zoemancer
