#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
0,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy
1,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy
2,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy
3,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy
4,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy
5,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy
6,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy
7,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy
8,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy
9,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy,Lominsan Puppy,Gridanian Puppy,Ul'dahn Puppy
10,Lominsan Howler,Gridanian Howler,Ul'dahn Howler,Lominsan Howler,Gridanian Howler,Ul'dahn Howler
11,Lominsan Howler,Gridanian Howler,Ul'dahn Howler,Lominsan Howler,Gridanian Howler,Ul'dahn Howler
12,Lominsan Howler,Gridanian Howler,Ul'dahn Howler,Lominsan Howler,Gridanian Howler,Ul'dahn Howler
13,Lominsan Howler,Gridanian Howler,Ul'dahn Howler,Lominsan Howler,Gridanian Howler,Ul'dahn Howler
14,Lominsan Howler,Gridanian Howler,Ul'dahn Howler,Lominsan Howler,Gridanian Howler,Ul'dahn Howler
15,Lominsan Howler,Gridanian Howler,Ul'dahn Howler,Lominsan Howler,Gridanian Howler,Ul'dahn Howler
16,Lominsan Howler,Gridanian Howler,Ul'dahn Howler,Lominsan Howler,Gridanian Howler,Ul'dahn Howler
17,Lominsan Howler,Gridanian Howler,Ul'dahn Howler,Lominsan Howler,Gridanian Howler,Ul'dahn Howler
18,Lominsan Howler,Gridanian Howler,Ul'dahn Howler,Lominsan Howler,Gridanian Howler,Ul'dahn Howler
