#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,ベリークリーム・ハートケーキ,4,10,16,22,0,0,0,0,4,4,4,4,0,0,0,0
2,ベリークリーム・ハートケーキ,4,7,8,13,14,22,0,0,4,2,2,2,2,4,0,0
3,ベリークリーム・モーグリケーキ,4,8,11,14,15,19,0,0,4,2,2,2,2,4,0,0
4,ベリークリーム・モーグリケーキ,4,11,10,17,16,19,0,0,4,2,2,2,2,4,0,0
5,ベリークリーム・エッグチョコケーキ,4,9,7,15,17,20,0,0,4,2,2,2,2,4,0,0
6,ベリークリーム・エッグチョコケーキ,4,10,11,16,13,20,0,0,4,2,2,2,2,4,0,0
7,ベリークリーム・チョコボケーキ,4,7,11,13,15,23,0,0,4,2,2,2,2,4,0,0
8,ベリークリーム・チョコボケーキ,4,8,9,14,16,23,0,0,4,2,2,2,2,4,0,0
9,ベリークリーム・サボテンダーケーキ,4,11,9,17,14,21,0,0,4,2,2,2,2,4,0,0
10,ベリークリーム・サボテンダーケーキ,4,9,10,15,16,21,0,0,4,2,2,2,2,4,0,0
11,ホイップクリーム・ハートケーキ,1,7,8,16,14,22,0,0,4,2,2,2,2,4,0,0
12,ホイップクリーム・ハートケーキ,1,8,11,13,14,22,0,0,4,2,2,2,2,4,0,0
13,ホイップクリーム・モーグリケーキ,1,7,13,19,0,0,0,0,4,4,4,4,0,0,0,0
14,ホイップクリーム・モーグリケーキ,1,11,10,14,17,19,0,0,4,2,2,2,2,4,0,0
15,ホイップクリーム・エッグチョコケーキ,1,9,7,17,13,20,0,0,4,2,2,2,2,4,0,0
16,ホイップクリーム・エッグチョコケーキ,1,10,11,15,16,20,0,0,4,2,2,2,2,4,0,0
17,ホイップクリーム・チョコボケーキ,1,7,11,13,16,23,0,0,4,2,2,2,2,4,0,0
18,ホイップクリーム・チョコボケーキ,1,8,9,14,17,23,0,0,4,2,2,2,2,4,0,0
19,ホイップクリーム・サボテンダーケーキ,1,11,9,17,15,21,0,0,4,2,2,2,2,4,0,0
