#,Unknown0,Unknown1,Unknown2,Unknown5,Unknown6,Unknown3,Unknown4
0,0,0,0,0,0,0,0
1,12321305,2014593,3,0,0,4,0
2,12551687,2015368,1,0,0,3,1
3,12551688,2015368,1,0,0,3,1
4,12551689,2015368,1,0,0,3,1
5,12551690,2015368,1,0,0,3,1
6,12551691,2015368,1,0,0,3,1
7,12551692,2015368,1,0,0,3,1
8,12551979,2015369,3,0,0,4,0
9,12551980,2015369,3,0,0,4,0
10,12551981,2015369,3,0,0,4,0
11,12552229,2014717,1,19,0,7,0
12,12552230,2014717,1,20,0,7,0
13,12552231,2014717,1,21,0,7,0
14,12553490,2015370,1,0,0,3,10
15,12553491,2015370,1,0,0,3,10
16,12553493,2015370,1,0,0,3,10
17,12553494,2015370,1,0,0,3,10
18,12553495,2015370,1,0,0,3,10
19,12553514,2015370,1,0,0,3,10
20,12553515,2015370,1,0,0,3,10
21,12553516,2015370,1,0,0,3,10
22,12553517,2015370,1,0,0,3,10
23,12553518,2015370,1,0,0,3,10
24,12553519,2015370,1,0,0,3,10
25,12553520,2015370,1,0,0,3,10
26,12553521,2015370,1,0,0,3,10
27,12553522,2015370,1,0,0,3,10
28,12553523,2015370,1,0,0,3,10
29,12553528,2015370,1,0,0,3,10
30,12553530,2015370,1,0,0,3,10
31,12553531,2015370,1,0,0,3,10
32,12553532,2015370,1,0,0,3,10
33,12553533,2015370,1,0,0,3,10
34,12553534,2015370,1,0,0,3,10
35,12553535,2015370,1,0,0,3,10
36,12553537,2015370,1,0,0,3,10
37,12633964,2015368,1,0,0,3,1
38,12633965,2015368,1,0,0,3,1
39,12633966,2015368,1,0,0,3,1
40,12711786,2015368,1,0,0,3,1
41,12711773,2015369,3,0,0,4,0
42,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0
47,11675107,2014717,1,10,0,7,0
48,11675108,2014717,1,11,0,7,0
49,11675109,2014717,1,12,0,7,0
50,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0
53,0,2014721,3,0,0,4,0
54,0,2014721,3,0,0,4,0
55,0,2014721,3,0,0,4,0
56,11682080,2014720,1,0,0,3,3
57,11682081,2014720,1,0,0,3,3
58,11682082,2014720,1,0,0,3,3
59,11682083,2014720,1,0,0,3,3
60,11682084,2014720,1,0,0,3,3
61,11682085,2014720,1,0,0,3,3
62,11682086,2014720,1,0,0,3,3
63,11682087,2014720,1,0,0,3,3
64,11682088,2014720,1,0,0,3,3
65,11682089,2014720,1,0,0,3,3
66,11682090,2014720,1,0,0,3,3
67,11682091,2014720,1,0,0,3,3
68,11682096,2014720,1,0,0,3,3
69,11682097,2014720,1,0,0,3,3
70,11682098,2014720,1,0,0,3,3
71,11682099,2014720,1,0,0,3,3
72,11682100,2014720,1,0,0,3,3
73,11682101,2014720,1,0,0,3,3
74,11682102,2014720,1,0,0,3,3
75,11682103,2014720,1,0,0,3,3
76,11682104,2014720,1,0,0,3,3
77,11682105,2014720,1,0,0,3,3
78,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0
81,11715687,2014717,1,13,0,7,0
82,11715688,2014717,1,14,0,7,0
83,11715689,2014717,1,15,0,7,0
84,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0
87,0,2014723,3,0,0,4,0
88,0,2014723,3,0,0,4,0
89,0,2014723,3,0,0,4,0
90,0,2014723,3,0,0,4,0
91,11715693,2014722,1,0,0,3,1
92,11715694,2014722,1,0,0,3,1
93,11715695,2014722,1,0,0,3,1
94,11715696,2014722,1,0,0,3,1
95,11715697,2014722,1,0,0,3,1
96,11715698,2014722,1,0,0,3,1
97,11715699,2014722,1,0,0,3,1
98,11715700,2014722,1,0,0,3,1
99,11715701,2014722,1,0,0,3,1
100,11715702,2014722,1,0,0,3,1
101,11715703,2014722,1,0,0,3,1
102,11715704,2014722,1,0,0,3,1
103,11715705,2014722,1,0,0,3,1
104,11715706,2014722,1,0,0,3,1
105,11715707,2014722,1,0,0,3,1
106,11716854,2014722,1,0,0,3,1
107,11716855,2014722,1,0,0,3,1
108,11716856,2014722,1,0,0,3,1
109,11716857,2014722,1,0,0,3,1
110,11716858,2014722,1,0,0,3,1
111,11716859,2014722,1,0,0,3,1
112,11716860,2014722,1,0,0,3,1
113,11716861,2014722,1,0,0,3,1
114,11716862,2014722,1,0,0,3,1
115,11716863,2014722,1,0,0,3,1
116,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0
122,11944524,2014942,2,0,0,4,0
123,11944525,2014942,2,0,0,4,0
124,11944526,2014942,2,0,0,4,0
125,11944527,2014942,2,0,0,4,0
126,11944528,2014942,2,0,0,4,0
127,11944529,2014942,2,0,0,4,0
