#,NameAction,Icon,Addon,Unknown0,QuickChatTransient
0,削除されたクイックチャット,783,0,0,0
1,よろしくお願いします！,9901,11030,1,1
2,お疲れ様でした！,9902,11031,2,2
3,ありがとう！,9903,11032,3,3
4,ナイス！,9904,11033,4,5
5,報告：PvPアディショナルアクション1,9927,11034,0,6
6,報告：リミットブレイク,9906,11035,6,23
7,狙う：オフェンスボックス,9907,11036,0,10
8,狙う：ディフェンスボックス,9908,11037,0,11
9,狙う：アドレナリンボックス,9909,11038,0,12
10,狙う：ウルフハートボックス,9910,11039,0,13
11,攻撃：タンク,9911,11040,0,14
12,攻撃：ヒーラー,9912,11041,0,15
13,攻撃：メレー,9913,11042,0,16
14,攻撃：レンジ,9914,11043,0,17
15,足止め：タンク,9915,11044,0,19
16,足止め：ヒーラー,9916,11045,0,20
17,足止め：メレー,9917,11046,0,21
18,足止め：レンジ,9918,11047,0,22
19,メダル：拾います,9919,11048,0,24
20,メダル：拾ってください,9920,11049,0,25
21,号令：攻撃,9921,11050,21,53
22,号令：撤退,9922,11051,22,55
23,報告：MP,9923,11052,23,22
24,報告：TP,9924,11053,0,9
25,攻撃：ターゲット,9925,11054,25,50
26,妨害：ターゲット,9926,11055,26,51
27,報告：PvPアディショナルアクション2,9928,11056,0,7
28,号令：集中攻撃開始,9935,11057,0,28
29,号令：集中攻撃中止,9936,11058,0,29
30,ごめんなさい,9965,11713,30,4
31,行動：前進,9966,11714,31,40
32,行動：後退,9967,11715,32,41
33,タクティカルクリスタル：運びます！,9968,11716,33,56
34,タクティカルクリスタル：運んでください！,9969,11717,34,57
35,援護：ターゲット,9964,11718,35,52
36,行動：リミットブレイク実行,9970,14904,36,24
37,号令：集合,9971,14905,37,54
38,報告：浄化,9905,11034,0,20
39,報告：防御,9972,11034,39,21
