#,Message,ChoicesText[0],ChoicesText[1],ChoicesText[2],ChoicesText[3],ChoicesText[4],ChoicesText[5],ChoicesText[6],ChoicesText[7],ChoicesText[8],ChoicesText[9],NextTalk,ActionTimeline,ChoicesTalk[0],ChoicesTalk[1],ChoicesTalk[2],ChoicesTalk[3],ChoicesTalk[4],ChoicesTalk[5],ChoicesTalk[6],ChoicesTalk[7],ChoicesTalk[8],ChoicesTalk[9],Unknown23,Unknown24,Unknown25,Unknown26,Unknown27
0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
1,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
2,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
4,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
5,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
6,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
7,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
8,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
9,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
10,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
11,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
12,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
13,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
14,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
15,必要MGP：0MGP,やる,やる(無料券),キャンセル,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,False,False
16,"挑戦にはUNKNOWNMGPが必要です。
よろしいですか？
[所持MGP：0]
[残り挑戦回数：UNKNOWN回]",はい,いいえ,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,2,0,2,False,False
17,"どうやら、MGPが足りないようですね……。
まずは、「MGP交換窓口」を覗いてみてはいかがでしょう？",,,,,,,,,,,44,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
18,"おや、お客様は、先ほども挑戦してらっしゃいましたね……。
「ミニ・くじテンダー」を気に入っていただき光栄ですが、
おひとり様につき、挑戦は3回までとなっております……。",,,,,,,,,,,45,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
19,"第UNKNOWN回「ミニ・くじテンダー」を開催中です！
今日という日の運試しに、いかがでしょうか？",,,,,,,,,,,16,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
20,"ああっ、あなた、大変でございます！
迷子になっているヒナチョコボを見つけたのですが、
意地悪なゴブリン族が、近づくのを阻んでくるのです。",,,,,,,,,,,21,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
21,"爆弾がドンドン落ちてくるせいで、私では助けにいけず……。
どうか、「マウント・コレル」の頂上まで登って、
あの子を助けだしてあげてください！",,,,,,,,,,,158,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
22,"勇敢に挑み、そして落ちていく姿……とても感動的でした！
しかし、ヒナチョコボはまだ頂上で震えています……。
あの子を助けだしてはいただけませんか？",,,,,,,,,,,23,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
23,もう一度、挑戦しますか？,はい,いいえ,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,2,0,2,False,False
24,"ヒナチョコボを救助していただき、ありがとうございます！
もし、あの子がまた迷子になってしまったら……
そのときは、よろしくお願いいたしますね！",,,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
25,"お手数なのですが、この「繊細な壺」を、
奴らの視界に入らないよう届けてくれませんか？
かなり壊れやすいから、そ～～っと運んでくださいね！",,,,,,,,,,,140,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
26,"お手数なのですが、この「繊細な壺」を、
奴らの視界に入らないよう届けてくれませんか？
かなり壊れやすいから、そ～～っと運んでくださいね！",,,,,,,,,,,143,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
27,"お姉ちゃん、大変よ！
迷子になっているヒナチョコボを見つけたんだけど、
意地悪なゴブリン族が、近づくのを邪魔してくるの！",,,,,,,,,,,28,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
28,"爆弾がドンドン落ちてくるせいで、私じゃ助けに行けないわ。
どうか、「ジャボテンダー」の頂上まで登って、
あの子を助けだしてあげて！",,,,,,,,,,,159,0,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
29,"お姉ちゃんの頑張ってる姿、ちゃんとこの目で見ていたわ！
でも、ヒナチョコボは、まだてっぺんよ……。
お願い、もうちょっとだけ頑張って！",,,,,,,,,,,30,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
30,もう一度、挑戦しますか？,はい,いいえ,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,2,0,2,False,False
31,"ヒナチョコボを助けてくれてありがとう！
もし、あの子がまた迷子になっちゃったら……
お姉ちゃんの力を貸してくれると嬉しいな！",,,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
32,"あら、お荷物がいっぱいのようですね……。
景品を受け取る前に、一度整理をなさってはいかがでしょう。",,,,,,,,,,,0,764,0,0,0,0,0,0,0,0,0,0,1,0,2,False,False
