#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
0,0,0,0,0,0,0,0,0
1,7,0,0,0,1000,4500,20,23
2,1,0,0,0,1200,5400,24,27
3,8,0,0,0,1600,7200,32,34
4,11,0,0,0,2000,9000,41,43
5,10,0,45,110,2500,11250,50,50
6,13,0,0,0,2200,9900,44,46
7,17,0,48,110,2500,11250,50,50
8,18,0,48,110,2500,11250,50,50
9,5,0,0,0,2400,10800,47,49
10,20,0,55,110,2500,11250,50,50
11,37,0,105,0,2800,12600,53,54
12,30,0,90,0,2500,11250,50,50
13,34,0,115,0,3000,13500,57,58
14,35,0,145,210,3500,15750,60,60
15,40,0,170,240,3500,15750,60,60
