#,Speed,Scale,Action6,BNpcCustomize,NpcEquip,BNpcName,Action0,Action1,Action2,Action3,Action4,Action5,RPParameter,RemoveAction,StartVFX,EndVFX,Action7,Model,Unknown0,Unknown1,RPParameter2,Unknown3,Unknown4,ExHotbarEnableConfig,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,IsPvP,IsEvent,PlayerCamera,Unknown14,Unknown15,Unknown16,Unknown17
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,76,0,639,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2,0,1,0,0,0,0,2443,0,0,0,0,0,0,0,76,76,0,738,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,76,0,868,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,76,0,344,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,76,0,869,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
6,0,1,0,0,0,0,3139,0,0,0,0,0,0,0,76,76,0,836,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
7,0,1,0,465,248,0,2360,0,0,0,0,0,0,0,76,76,0,0,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False
8,0,1,0,466,249,0,2360,0,0,0,0,0,0,0,76,76,0,0,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False
9,0,1,0,467,250,0,2360,0,0,0,0,0,0,0,76,76,0,0,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False
10,0,1,0,468,251,0,2360,0,0,0,0,0,0,0,76,76,0,0,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False
11,0,1,0,469,252,0,2360,0,0,0,0,0,0,0,76,76,0,0,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False
12,0.9,1,0,0,0,0,2360,0,0,0,0,0,0,0,76,76,0,921,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
13,0.9,1,0,0,0,0,2360,0,0,0,0,0,0,0,76,76,0,920,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
14,0.6,1,0,0,0,0,2360,0,0,0,0,0,0,0,76,76,0,923,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
15,0.5,0.6,0,0,0,0,2360,0,0,0,0,0,0,0,76,76,0,924,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
16,0.3,1,0,0,0,0,2360,0,0,0,0,0,0,0,76,76,0,922,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,76,76,0,652,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,76,76,0,1022,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
19,0,2,0,0,0,0,3504,0,0,0,0,0,0,0,76,76,0,1023,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
20,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
21,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
22,0,1,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
23,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
24,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
25,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
27,0,1,0,0,656,0,0,0,0,0,0,0,0,0,76,76,0,89,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
28,0,1,873,522,959,0,0,0,0,0,0,0,0,0,76,76,0,0,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
29,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
30,0,2,0,0,771,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
31,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
32,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
33,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1087,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
34,0,1,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1348,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
36,0,1,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1349,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
37,0,1,0,0,0,0,5475,5476,0,0,0,0,0,0,76,76,0,1455,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
38,1.1,1,0,0,0,0,5477,5476,0,0,0,0,0,0,76,76,0,1456,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
39,0,3.5,5530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1363,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
40,0.7,2.7,871,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,1531,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
41,0,1,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
42,0,1,0,0,0,0,6273,0,0,0,0,0,0,0,76,76,0,1643,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
43,1.1,1,0,0,427,0,6274,0,0,0,0,0,0,0,76,76,0,1644,1,0,0,-1,0,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1762,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
45,0,1,872,0,0,0,0,0,0,0,0,0,0,0,76,76,3397,1659,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
46,0,1,870,0,0,0,0,0,0,0,0,0,0,0,76,76,3469,1660,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,76,0,1760,1,0,0,-1,0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
