#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13
0,2,5,0.6,4,2,5,8,7,30,30,45,45,0,0
1,2,5,0.6,4,2,5,8,7,30,30,45,45,101,1
2,2,5,0.6,4,2,5,8,7,30,30,40,40,201,1
3,2,5,0.6,4,2,5,8,7,30,30,45,45,301,1
4,2,5,0.6,4,2,5,8,7,30,30,40,40,401,1
5,2,5,0.6,4,2,5,8,7,30,30,40,40,501,1
6,2,5,0.6,4,2,5,8,7,30,30,45,45,601,1
7,2,5,0.6,4,2,5,8,7,30,30,45,45,701,1
8,2,5,0.6,4,2,5,8,7,30,30,40,40,801,1
9,2,5,0.6,4,2,5,8,7,30,30,40,45,901,1
10,2,5,0.6,4,2,5,8,7,30,30,45,40,1001,1
11,2,5,0.6,4,2,5,8,7,30,30,30,43,1101,1
12,2,5,0.6,4,2,5,8,7,30,30,30,43,1201,1
13,2,5,0.6,4,2,5,8,7,30,30,45,45,1301,1
14,2,5,0.6,4,2,5,8,7,30,30,45,45,1401,1
15,1.3,5,0.6,4,2,5,0,0,30,40,40,40,104,1
16,1.3,5,0.6,4,2,5,0,0,30,40,40,40,204,1
17,1.3,5,0.6,4,2,5,0,0,30,40,40,40,504,1
18,1.3,5,0.6,4,2,5,0,0,30,40,40,40,604,1
19,1.3,5,0.6,4,2,5,0,0,30,40,40,40,804,1
20,1.3,5,0.6,4,2,5,0,0,30,40,40,40,9104,1
21,1.3,5,0.6,4,2,5,0,0,30,40,40,40,9204,1
22,2,5,0.6,4,2,5,8,7,30,30,40,45,1501,1
23,2,5,0.6,4,2,5,8,7,30,30,40,40,1801,1
24,2,5,0.6,4,2,5,8,7,30,30,45,45,1701,1
25,2,5,0.6,4,2,5,8,7,30,30,45,45,1601,1
26,2,5,0.6,4,2,5,8,7,30,30,45,45,1071,2
27,2,5,0.6,4,2,5,8,7,30,30,45,45,1072,2
28,2,9,0.6,4,2,9,8,7,30,30,45,45,1068,2
29,2,6,0.6,4,2,5,8,7,30,30,45,45,1070,2
30,2,5,0.6,4,2,5,8,7,30,30,45,45,1073,2
31,2,5,0,0,2,5,8,0,30,30,45,45,966,3
32,1.5,5,0,0,2,5,0,0,30,30,45,45,320,3
