#,Name,Description,Icon,Value,ChocoboRaceAbilityType
0,,,0,0,0
1,Choco-sprint,"Permet de sprinter pendant une durée limitée.
Durée d'effet : 1 seconde",70001,1,1
2,Choco-sprint II,"Permet de sprinter pendant une durée limitée.
Durée d'effet : 2 secondes",70002,2,1
3,Choco-sprint III,"Permet de sprinter pendant une durée limitée.
Durée d'effet : 3 secondes",70003,3,1
4,Choco-soin,Restaure 6% de l'énergie du chocobo.,70004,6,2
5,Choco-soin II,Restaure 9% de l'énergie du chocobo.,70005,9,2
6,Choco-soin III,Restaure 12% de l'énergie du chocobo.,70006,12,2
7,Choco-guérison,Retire une altération d'état avec une chance de réussite de 75%.,70007,75,3
8,Choco-guérison II,Retire une altération d'état avec une chance de réussite de 90%.,70008,90,3
9,Choco-guérison III,Retire une altération d'état avec une chance de réussite de 100%.,70009,100,3
10,Choco-légèreté,Rend 80 points d'énergie à un chocobo victime de Pesanteur et soigne cet état.,70010,80,4
11,Choco-légèreté II,Rend 130 points d'énergie à un chocobo victime de Pesanteur et soigne cet état.,70011,130,4
12,Choco-légèreté III,Rend 180 points d'énergie à un chocobo victime de Pesanteur et soigne cet état.,70012,180,4
13,Choco-sérénité,Rend 100 points d'énergie à un chocobo victime de Fébrilité et soigne cet état.,70013,100,5
14,Choco-sérénité II,Rend 150 points d'énergie à un chocobo victime de Fébrilité et soigne cet état.,70014,150,5
15,Choco-sérénité III,Rend 200 points d'énergie à un chocobo victime de Fébrilité et soigne cet état.,70015,200,5
16,Chocoboomerang,"Renvoie à l'expéditeur une attaque affaiblissante visant le chocobo.
Durée d'effet : 10 secondes",70016,10,6
17,Chocoboomerang II,"Renvoie à l'expéditeur une attaque affaiblissante visant le chocobo.
Durée d'effet : 15 secondes",70017,15,6
18,Chocoboomerang III,"Renvoie à l'expéditeur une attaque affaiblissante visant le chocobo.
Durée d'effet : 20 secondes",70018,20,6
19,Choco-larcin,Permet de voler un objet au chocobo classé juste avant soi avec une chance de réussite de 50%.,70019,50,7
20,Choco-larcin II,Permet de voler un objet au chocobo classé juste avant soi avec une chance de réussite de 70%.,70020,70,7
21,Choco-larcin III,Permet de voler un objet au chocobo classé juste avant soi avec une chance de réussite de 90%.,70021,90,7
22,Choco-silence,"Génère un champ de force autour du chocobo qui empêche pour un temps les adversaires d'utiliser des aptitudes.
Durée d'effet : 35 secondes",70022,35,8
23,Choco-silence II,"Génère un champ de force autour du chocobo qui empêche pour un temps les adversaires d'utiliser des aptitudes.
Durée d'effet : 40 secondes",70023,40,8
24,Choco-silence III,"Génère un champ de force autour du chocobo qui empêche pour un temps les adversaires d'utiliser des aptitudes.
Durée d'effet : 45 secondes",70024,45,8
25,Choco-choc,"Génère un champ magnétique autour du chocobo qui empêche pour un temps les adversaires d'utiliser des objets.
Durée d'effet : 25 secondes",70025,25,9
26,Choco-choc II,"Génère un champ magnétique autour du chocobo qui empêche pour un temps les adversaires d'utiliser des objets.
Durée d'effet : 30 secondes",70026,30,9
27,Choco-choc III,"Génère un champ magnétique autour du chocobo qui empêche pour un temps les adversaires d'utiliser des objets.
Durée d'effet : 35 secondes",70027,35,9
28,Endurance améliorée,Réduit de 9% la perte d'énergie pendant l'accélération.,70028,9,10
29,Endurance améliorée II,Réduit de 12% la perte d'énergie pendant l'accélération.,70029,12,10
30,Endurance améliorée III,Réduit de 15% la perte d'énergie pendant l'accélération.,70030,15,10
31,Résistance à Pesanteur,Octroie 60% de chances de résister à l'altération d'état Pesanteur.,70031,60,11
32,Résistance à Pesanteur II,Octroie 70% de chances de résister à l'altération d'état Pesanteur.,70032,70,11
33,Résistance à Pesanteur III,Octroie 80% de chances de résister à l'altération d'état Pesanteur.,70033,80,11
34,Résistance à Pesanteur IV,Octroie 90% de chances de résister à l'altération d'état Pesanteur.,70034,90,11
35,Résistance à Pesanteur V,Octroie 100% de chances de résister à l'altération d'état Pesanteur.,70035,100,11
36,Résistance à Fébrilité,Octroie 60% de chances de résister à l'altération d'état Fébrilité.,70036,60,12
37,Résistance à Fébrilité II,Octroie 70% de chances de résister à l'altération d'état Fébrilité.,70037,70,12
38,Résistance à Fébrilité III,Octroie 80% de chances de résister à l'altération d'état Fébrilité.,70038,80,12
39,Résistance à Fébrilité IV,Octroie 90% de chances de résister à l'altération d'état Fébrilité.,70039,90,12
40,Résistance à Fébrilité V,Octroie 100% de chances de résister à l'altération d'état Fébrilité.,70040,100,12
41,Récupération améliorée,Augmente de 50% le potentiel des soins.,70041,50,13
42,Récupération améliorée II,Augmente de 65% le potentiel des soins.,70042,65,13
43,Récupération améliorée III,Augmente de 80% le potentiel des soins.,70043,80,13
44,Gain d'expérience accru,Augmente de 10% l'expérience gagnée.,70044,10,14
45,Gain d'expérience accru II,Augmente de 20% l'expérience gagnée.,70045,20,14
46,Gain d'expérience accru III,Augmente de 30% l'expérience gagnée.,70046,30,14
47,Sprint de départ,Permet de démarrer la course à vitesse maximale.,70047,1,15
48,Choco-aspiration,"Génère un champ de force autour du chocobo, absorbant 15 points d'énergie par seconde aux adversaires à l'intérieur.",70048,15,16
49,Choco-aspiration II,"Génère un champ de force autour du chocobo, absorbant 25 points d'énergie par seconde aux adversaires à l'intérieur.",70049,25,16
50,Choco-aspiration III,"Génère un champ de force autour du chocobo, absorbant 35 points d'énergie par seconde aux adversaires à l'intérieur.",70050,35,16
51,Change-objet,Remplace l'objet possédé par un autre.,70051,0,17
52,Choco-mime,"Procure un effet similaire à celui de la prochaine aptitude ou du prochain objet qu'utilise l'adversaire placé devant.
Durée d'effet : 7 secondes",70052,7,18
53,Choco-mime II,"Procure un effet similaire à celui de la prochaine aptitude ou du prochain objet qu'utilise l'adversaire placé devant.
Durée d'effet : 11 secondes",70053,11,18
54,Choco-mime III,"Procure un effet similaire à celui de la prochaine aptitude ou du prochain objet qu'utilise l'adversaire placé devant.
Durée d'effet : 15 secondes",70054,15,18
