#,Name,Description,Icon,Action,Pet,MasterOrder,DisableOrder,Unknown0
0,,,405,0,0,False,True,False
1,Renvoyer,Renvoie le familier.,530,0,0,False,True,False
2,Suivre,Ordonne au familier de vous suivre.,529,0,0,False,True,False
3,Se placer,Ordonne au familier de se placer à l'endroit désigné.,527,0,0,False,True,False
4,Attendre,Ordonne au familier de rester où il est.,528,0,0,False,True,False
5,Défendre,Ordonne au familier de n'attaquer que lorsque vous attaquez ou lorsque vous êtes attaquée.,531,0,0,False,True,False
6,Passif,Ordonne au familier de n'attaquer que lorsque vous en donnez l'ordre.,532,0,0,False,True,False
7,Libre arbitre,Ordonne au familier d'attaquer librement.,786,0,0,True,False,False
8,Obéir,"Ordonne au familier d'attaquer, mais il n'accomplit pas certaines actions sans votre ordre.",786,0,0,True,False,False
9,Coup de vent,"Effectue une attaque magique de vent sur la cible.
**Puissance :** 90",786,637,1,True,False,False
10,Éjection,"Effectue une attaque magique de vent sur la cible.
**Puissance :** 80
**Effet additionnel :** projette la cible 15 yalms en arrière
En mode **Obéir**, requiert l'ordre du maître.",786,638,1,True,False,False
11,Rafale descendante,"Effectue une attaque magique de vent sur la cible et les ennemis autour.
**Puissance :** 80
En mode **Obéir**, requiert l'ordre du maître.",786,639,1,True,False,False
12,Émeraude scintillante,"Augmente de 10% les dégâts magiques subis par la cible.
**Durée :** 15s
En mode **Obéir**, requiert l'ordre du maître.",786,640,1,True,False,False
13,Griffes,"Effectue une attaque magique de terre sur la cible.
**Puissance :** 70
**Effet additionnel :** augmente l'inimitié envers le familier.",786,633,2,True,False,False
14,Topaze scintillante,"Effectue une attaque magique de terre sur les ennemis alentour.
**Puissance :** 60
**Effet additionnel :** augmente l'inimitié envers le familier.
En mode **Obéir**, requiert l'ordre du maître.",786,634,2,True,False,False
15,Pelotonnement,"Réduit de 20% les dégâts subis par le familier.
**Durée :** 20s
En mode **Obéir**, requiert l'ordre du maître.",786,635,2,True,False,False
16,Charge,"Effectue une attaque magique de terre sur la cible.
**Puissance :** 60
**Effet additionnel :** inflige Étourdissement.
**Durée :** 2s
En mode **Obéir**, requiert l'ordre du maître.",786,636,2,True,False,False
17,Lame de vent,"Effectue une attaque magique de vent sur la cible.
**Puissance :** 100",786,792,5,True,False,False
18,Onde de choc,"Effectue une attaque magique de vent sur la cible.
**Puissance :** 90
**Effet additionnel :** projette la cible 15 yalms en arrière.
En mode **Obéir**, requiert l'ordre du maître.",786,793,5,True,False,False
19,Taillade aérienne,"Effectue une attaque magique de vent sur la cible et les ennemis autour.
**Puissance :** 90
En mode **Obéir**, requiert l'ordre du maître.",786,794,5,True,False,False
20,Contagion,"Augmente de 10% les dégâts magiques subis par la cible.
**Durée :** 15s
En mode **Obéir**, requiert l'ordre du maître.",786,795,5,True,False,False
21,Rafale aérienne,"Effectue une attaque magique de vent sur la cible et les ennemis autour.
**Puissance :** 250
Requiert l'utilisation de **Galvanisation** par le maître.",786,796,5,True,False,False
22,Casse-roc,"Effectue une attaque magique de terre sur la cible.
**Puissance :** 85
**Effet additionnel :** augmente l'inimitié envers le familier.",786,787,4,True,False,False
