#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
0.0,0,0,0,0,0
1.0,1,1,0,1,0
2.0,2,1,0,2,0
3.0,1,0,0,2,0
4.0,1,1,0,1,0
5.0,0,0,0,0,0
6.0,0,0,0,0,0
7.0,0,0,0,0,0
8.0,0,0,0,0,0
9.0,0,0,0,0,0
10.0,0,0,0,0,0
11.0,0,0,0,0,0
12.0,0,0,0,0,0
13.0,0,0,0,0,0
14.0,0,0,0,0,0
15.0,0,0,0,0,0
16.0,0,0,0,0,0
17.0,0,0,0,0,0
17.1,0,0,0,0,0
18.0,0,0,0,0,0
19.0,7,8,0,1,0
20.0,8,0,0,1,0
21.0,9,0,0,1,0
22.0,5,7,0,1,0
23.0,4,9,0,1,0
24.0,4,14,0,1,0
25.0,10,10,0,1,0
26.0,10,9,0,1,0
27.0,10,0,0,1,0
28.0,6,11,0,1,0
29.0,11,12,0,1,0
30.0,12,13,0,2,0
31.0,14,0,0,1,0
32.0,16,15,0,1,0
33.0,16,16,0,1,0
34.0,6,0,0,1,0
35.0,17,17,0,1,0
35.1,18,1,0,3,0
36.0,17,1,0,1,0
36.1,18,1,0,2,0
37.0,4,0,0,1,0
38.0,19,0,0,1,0
38.1,20,0,0,2,0
39.0,21,0,0,3,0
40.0,22,0,0,1,0
41.0,20,0,0,2,0
42.0,16,25,24,1,2
43.0,16,26,25,1,2
44.0,60,32,26,1,2
45.0,16,25,27,1,2
46.0,4,0,10,4,255
47.0,28,31,28,1,2
48.0,10,29,11,4,255
49.0,10,23,12,4,255
50.0,10,30,29,4,255
51.0,25,24,21,1,2
52.0,25,24,22,1,2
53.0,25,24,23,1,2
54.0,10,23,13,4,255
55.0,10,0,0,1,0
56.0,10,0,0,2,0
57.0,10,0,0,4,0
58.0,10,0,0,4,255
59.0,10,19,16,1,2
60.0,10,20,17,2,2
61.0,10,20,18,2,2
62.0,10,18,14,4,255
63.0,23,21,15,4,2
64.0,3,0,0,1,0
65.0,10,22,19,1,2
66.0,24,0,0,1,0
67.0,23,21,20,4,2
68.0,10,18,30,1,255
69.0,23,21,31,4,2
70.0,10,19,32,1,2
71.0,26,28,33,1,2
72.0,23,21,34,4,2
73.0,27,27,35,4,255
74.0,10,18,36,4,255
75.0,23,21,37,4,2
76.0,10,0,0,1,0
77.0,31,0,0,1,0
78.0,34,0,0,4,0
79.0,0,0,0,0,0
80.0,29,0,0,1,0
81.0,30,0,0,4,0
82.0,1,24,0,1,0
83.0,1,30,3,4,1
84.0,1,30,0,1,0
84.1,10,30,3,2,1
85.0,1,24,0,1,0
86.0,32,0,0,1,255
87.0,33,0,0,4,255
88.0,35,0,0,1,0
89.0,49,52,0,1,0
90.0,36,35,44,1,2
91.0,37,36,39,2,2
92.0,38,37,40,1,4
93.0,39,38,41,1,4
94.0,40,39,42,1,4
95.0,41,40,43,4,2
96.0,42,41,0,1,0
97.0,42,42,45,2,2
98.0,43,43,45,2,2
99.0,44,44,45,2,2
100.0,45,0,55,1,1
101.0,46,47,46,1,2
102.0,47,48,47,1,2
103.0,48,49,48,1,2
104.0,0,0,0,0,0
105.0,57,0,0,1,0
106.0,45,0,53,4,1
107.0,45,0,52,4,1
108.0,45,0,51,4,1
109.0,10,9,1,1,1
110.0,52,46,54,4,1
111.0,3,0,0,1,0
112.0,50,51,0,1,0
113.0,51,0,0,1,0
114.0,53,54,56,1,2
115.0,54,55,57,1,2
116.0,55,56,58,1,2
117.0,10,57,59,4,2
118.0,56,58,60,4,2
119.0,58,0,0,1,0
119.1,61,59,61,4,2
120.0,59,0,0,1,255
121.0,59,0,52,4,1
122.0,62,60,62,4,2
123.0,63,61,63,4,2
124.0,64,62,0,1,0
125.0,65,63,64,1,2
126.0,66,64,65,1,2
127.0,67,65,66,1,2
128.0,68,66,67,1,2
129.0,69,67,68,1,2
130.0,70,68,69,1,2
131.0,71,70,77,1,1
132.0,72,0,78,4,1
133.0,73,0,79,4,1
134.0,74,72,80,1,2
135.0,0,0,0,0,0
136.0,0,0,0,0,0
137.0,0,0,0,0,0
138.0,79,25,70,1,2
139.0,80,71,71,1,2
140.0,81,25,72,1,2
141.0,10,69,73,4,255
142.0,75,73,74,1,2
143.0,76,74,75,1,2
144.0,77,75,76,1,2
145.0,82,24,81,1,2
146.0,83,24,82,1,2
147.0,84,24,83,1,2
148.0,85,76,84,4,2
149.0,86,77,85,4,2
150.0,87,79,86,1,2
151.0,88,24,80,4,2
152.0,89,80,87,4,2
153.0,90,81,88,4,2
