#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
5,71041,0,2,0,255
6,71041,1,2,0,255
7,71041,2,2,0,255
8,71041,3,2,0,255
9,71041,4,2,0,255
10,71041,5,2,0,255
11,71041,6,2,0,255
12,71041,7,2,0,255
13,71041,8,2,0,255
14,71041,9,2,0,255
15,71041,10,2,0,255
16,71041,11,2,0,255
17,71041,12,2,0,255
18,71041,13,2,0,255
19,71041,14,2,0,255
20,71041,15,2,0,255
21,71041,0,2,1,255
22,71041,1,2,1,255
23,71041,2,2,1,255
24,71041,3,2,1,255
25,71041,4,2,1,255
26,71041,5,2,1,255
27,71041,6,2,1,255
28,71041,7,2,1,255
29,71041,8,2,1,255
30,71041,9,2,1,255
31,71041,10,2,1,255
32,71041,11,2,1,255
33,71041,12,2,1,255
34,71041,13,2,1,255
35,71041,14,2,1,255
36,71041,15,2,1,255
37,71041,0,2,2,255
38,71041,1,2,2,255
39,71041,2,2,2,255
40,71041,3,2,2,255
41,71041,4,2,2,255
42,71041,5,2,2,255
43,71041,6,2,2,255
44,71041,7,2,2,255
45,71041,8,2,2,255
46,71041,9,2,2,255
47,71041,10,2,2,255
48,71041,11,2,2,255
49,71041,12,2,2,255
50,71041,13,2,2,255
51,71041,14,2,2,255
52,71041,15,2,2,255
53,71041,0,2,3,255
54,71041,1,2,3,255
55,71041,2,2,3,255
56,71041,3,2,3,255
57,71041,4,2,3,255
58,71041,5,2,3,255
59,71041,6,2,3,255
60,71041,7,2,3,255
61,71041,8,2,3,255
62,71041,9,2,3,255
63,71041,10,2,3,255
64,71041,5,6,4,255
65,71041,5,5,4,255
66,71041,5,6,5,255
67,71041,5,5,5,255
68,71041,5,6,6,255
69,71041,5,5,6,255
