#,Name,Description,NameJP,Quest,Unknown0,Icon,Image,Number,Unknown1,Link,Rarity
0,,,,0,0,0,0,0,0,0,0
1,Bajsaljen Ulgasch,"Race : Hrothgar
Âge : 54 ans
Lieu de naissance : citadelle de Bozja

Bajsaljen, aujourd'hui meneur de la résistance, a grandi en pays conquis.

Une fois ses études de médecine terminées, il est mobilisé par Garlemald pour servir sur le terrain. Ses nombreux faits d'armes lui valent de gagner son titre de citoyenneté, grâce auquel il se marie et fonde une famille. Peu avant la destruction de la citadelle de Bozja, il est envoyé mater une rébellion dans les provinces, ce qui lui permet d'échapper à la catastrophe. Cette tragédie le prive toutefois de son foyer, de sa femme et de ses enfants. Peu après, il tourne le dos à l'Empire et déserte pour de bon la légion, accompagné d'une poignée de fidèles compagnons d'armes. Son groupe organise par la suite quelques actes séditieux, avant d'être contacté par des résistants qui leur proposent de les rejoindre.

Lorsqu'il était encore soldat de l'Empire, Bajsaljen n'était pas mécontent de sa situation, mais cela changea du tout au tout après la perte de sa famille. Dès lors, il voua une haine sans borne à Garlemald, plus féroce encore que celle de ses camarades résistants. Seul son attachement à la raison et à la sagesse lui a permis de réfréner sa rancœur pendant toutes ces années. Mieux que quiconque, il sait que la haine n'engendre que la haine.

Aujourd'hui, il se bat pour bouter la 4e légion hors des terres bozjiennes avec comme principal atout les nouvelles lames de Gunnhildr, des soldats équipés de reproductions d'armes légendaires à l'immense pouvoir.",バイシャーエン・ウルガッシュ,69478,0,72556,72501,1,0,0,1
2,Marsak Apella,"Race : Hrothgar
Âge : 42 ans
Lieu de naissance : citadelle de Bozja (province impériale)

Marsak a perdu ses parents et ses frères lors de la catastrophe de la citadelle de Bozja. Il a peu après rejoint la résistance et sert aujourd'hui de bras droit à Bajsaljen, le chef qu'il admire.
En tant que numéro deux, Marsak s'occupe à la fois du recrutement, de la trésorerie et du ra­vi­tail­le­ment. Ses talents de négociateur et sa personnalité avenante lui ont valu d'endosser aussi le rôle d'intermédiaire entre la résistance et ses alliés étrangers, comme ce fut le cas récemment avec Doma et la Firme du commerce de l'Aldenard oriental.

Bien qu'il éprouve un sentiment de rancœur pour l'Empire, Marsak met un point d'honneur à ne pas blâmer tous les Garlemaldais pour un crime commis par leur gouvernement. Une bienveillance que certains pourraient qualifier d'excessive, mais qui a au moins le mérite de mettre de l'huile dans les rouages.
Malgré son rôle de gestion au sein de la résistance, c'est aussi un combattant hors pair qui a été formé par le légendaire pistosabreur Rostik.

Un homme fait de tendresse et sur qui l'on peut compter en toute circonstance, voilà ce qui définit Marsak Apella.",マルシャーク・アペッラ,69478,0,72557,72502,2,0,0,1
3,Xeven Svanasch,"Race : Hrothgar
Âge : 47 ans
Lieu de naissance : inconnu

Si le lieu de naissance exact de Xeven Svanasch demeure un mystère, on suppose que ce membre des nouvelles lames de Gunnhildr est originaire de la citadelle de Bozja. D'après les rares détails de son passé qu'il a partagés, son périple vers la maîtrise de la magie l'aurait mené à travers de nombreuses régions : Thavnair au sud, Hingashi à l'est, et même la capitale impériale de Garlemald au nord.

Sa passion pour les disciplines arcaniques lui naît pendant un voyage en Éorzéa, lorsqu'il se rend avec son père à Gridania dans l'espoir de trouver un remède au mal mystérieux qui affecte sa mère. Mal­heu­reu­se­ment, leurs efforts sont vains et ils ne parviennent pas à empêcher l'inéluctable. Une seule chose est sûre pour le jeune Xeven : c'est l'occupation de Bozja qui est à l'origine de la maladie de sa mère, et il n'en faut pas plus pour que son chagrin se mue en une haine irrépressible pour l'Empire.
Fasciné par les divers types de magie qu'il découvre au fil de ses voyages, il s'applique à ramener ce savoir avec lui à la citadelle. Il étudie mi­nu­tieu­se­ment chaque sort dans le but de les utiliser un jour contre l'envahisseur impérial.

Même lorsque ses recherches aboutissent à la création de sa propre discipline de magie, Xeven s'interdit de partager son savoir avec qui que ce soit. Il craint en effet que les sorts destructeurs qu'il a mis au point provoquent un désastre s'ils sont mis entre de mauvaises mains.
Alors au sommet de son art, il est un mage sans pareil sur le champ de bataille, inspirant un sentiment mêlé d'admiration et de terreur chez les soldats qui le considèrent comme un héros de guerre.
Xeven n'a pas peur de la mort au combat, au contraire. Il semble l'inviter, l'attendre, même. Ce fatalisme lui vient d'une prophétie le concernant, entendue de la bouche d'un mystérieux mage au détour du grand labyrinthe de Dalmasca. Même si le langage de l'homme lui est inconnu, Xeven devine le sens de ses mots : son heure viendra lorsque les flammes de la révolution consumeront Bozja.

Alors que la bataille fait rage sur le front sud, le Hrothgar est convaincu que c'est là que sa tombe sera creusée. Il ne cherchera pas à esquiver son destin, mais plutôt à jeter toutes ses forces dans l'af­fron­te­ment pour mener les nouvelles lames de Gunnhildr à la victoire. Non, même si chaque seconde qui passe, la prophétie est plus proche de se réaliser, Xeven Svanasch ne craint pas la mort.",ゼヴェン・スヴァナシュ,69478,0,72558,72503,3,0,0,1
4,Isolde Covey,"Race : Hyure
Âge : 26 ans
Lieu de naissance : Lea Monde, Dalmasca

Les parents d'Isolde Covey fuient Bozja sous la menace de la guerre pour aller s'installer à Dalmasca, mais leur répit n'est que de courte durée puisque leur nouveau foyer ne tarde pas à rejoindre le nombre grandissant des provinces annexées. Lorsque l'Empire leur propose de regagner la citadelle en compagnie des autres réfugiés bozjiens, les Covey préfèrent élire domicile à Lea Monde.
C'est là qu'Isolde voit le jour et reçoit une éducation conforme à la doctrine garlemaldaise, même si elle n'a d'yeux que pour la musique et la danse de tradition bozjienne. Son cœur chavire pour le rythme frénétique et l'amplitude de ces mélodies ca­rac­té­ris­ti­ques, et elle se passionne pour les paroles racontant la vie de gens simples et leur lien avec la nature, avec un penchant tout particulier pour les histoires d'amour. Quant aux danseurs, c'est l'émotion qui transpire de leur voix et l'intensité qu'ils mettent dans leurs pas exubérants qui l'impressionnent.

C'est donc tout na­tu­rel­le­ment que la jeune Isolde se destine à une carrière dans la discipline, et on voit bien vite en elle un talent très prometteur. Pour devenir une danseuse à part entière, elle doit cependant apprendre à utiliser l'arc, qui sert d'instrument dans la tradition bozjienne. On frotte par exemple les cordes de deux arcs pour créer des notes de musique, ou l'on y tape ses doigts afin d'imprimer le rythme d'une chanson. Par respect pour leurs ancêtres, qui étaient des chasseurs nomades, il est de coutume pour les danseurs de Bozja de maîtriser l'arme par­fai­te­ment.

Ainsi, lorsqu'Isolde rejoint la résistance, elle est déjà une archère accomplie, et sa main ferme ainsi que son œil vif lui valent très vite une place parmi les nouvelles lames de Gunnhildr. Cependant, dans le quotidien de violence incessante qui est le sien, elle n'oublie pas son amour pour la vie des gens simples et leur lien avec la nature, et elle prie chaque jour pour que revienne l'harmonie du passé. Comme Isolde aime à le dire : “Puisse la paix être bientôt retrouvée, pour les Bozjiens comme pour les Garlemaldais.”",イソルデ・コヴィー,69478,0,72559,72504,4,0,0,2
5,Stanik Alubov,"Race : Hrothgar
Âge : 36 ans
Lieu de naissance : citadelle de Bozja (province impériale)

Bien avant de rejoindre les nouvelles lames de Gunnhildr, Stanik Alubov a toujours rêvé de devenir un héros.

Pour la grande majorité des Bozjiens, la vie sous l'occupation impériale est une lutte quotidienne contre la pauvreté, et les parents du jeune Stanik ne font pas exception. Si les affaires sont mauvaises à la petite droguerie qu'ils tiennent, il n'y a rien à manger le soir venu. Leurs finances sont insuffisantes pour inscrire leur fils à l'école, une situation tout sauf ex­cep­tion­nelle dans la citadelle. Stanik, lui, fait de son mieux pour gagner un peu d'argent, en gardant les enfants du voisinage ou en cirant les souliers des passants. Mais, aussi difficile la situation soit-elle, jamais il ne se laisse aller à quelque vol ou autre acte malhonnête. Comme ses parents lui ont toujours dit : “La pauvreté n'est pas une excuse pour ignorer la moralité.”

C'est à l'âge de quinze ans que Stanik se présente au bureau de conscription de l'armée impériale, qu'il rejoint en qualité de soldat. S'il fait ce choix, c'est moins pour ses rêves de gloire que pour alléger le fardeau de ses parents, qui auront ainsi une bouche de moins à nourrir.

Stanik ne manque pas d'envoyer la majeure partie de sa maigre solde à la maison familiale, et même si ce n'est qu'une bouchée de pain, cela lui permet parfois de se sentir comme le héros qu'il a toujours souhaité devenir. Les lettres qu'il reçoit en retour sont sa seule source de réconfort, car elles lui prouvent que ses parents sont toujours en vie.

C'est lorsqu'il est en mission dans une région reculée que Stanik apprend pour la catastrophe de Bozja. Quand un message de ses parents lui parvient cinq jours plus tard, il pousse un grand soupir de soulagement... jusqu'à ce qu'il réalise quand il a été écrit. La veille de la disparition de la citadelle...",スタニック・アルボフ,69478,0,72560,72505,5,0,0,1
6,Blaz Azetina,"Race : Hrothgar
Âge : 25 ans
Lieu de naissance : Doma

Samouraï de son état, Blaz Azetina est un descendant direct des fondateurs de la Voie verdoyante, une illustre école d'arts martiaux reconnue pour son efficacité dans le combat à mains nues, le maniement de l'épée et les techniques de lance.

Traditionnellement, la Voie verdoyante a toujours interdit à ses disciples de prendre part à tout soulèvement, fidèle à son principe selon lequel la pratique des arts martiaux constitue un chemin vers l'illumination de l'âme et non un moyen de se battre. Cependant, lorsque la rébellion éclate à Bozja, la haine de certains élèves pour l'Empire est trop forte pour leur respect de ce précepte. Ceux qui choisissent de rejoindre la Résistance sont ainsi exclus, et la Voie verdoyante évite un conflit avec les forces impériales.

Le père de Blaz, cadet de la famille fondatrice de l'école, choisit lui aussi d'aller à l'encontre de la philosophie de cette dernière pour prêter sa lame à la cause bozjienne. Lorsque la rébellion est matée, il part trouver refuge à Doma, où il finit par se marier et avoir un fils. Blaz hérite de la passion de son père pour les arts martiaux et rejoint une prestigieuse école de samouraïs, où il apprend la maîtrise du katana. Quelques années plus tard, lorsque Hien revient d'exil pour mener la révolution de sa province, le fougueux Hrothgar saisit l'occasion de rembourser la dette de sa famille à Doma. Une fois la libération arrachée, et alors qu'il s'apprête à suivre sa propre route, Blaz a vent de rumeurs d'une coalition orientale et d'un nouveau soulèvement à Bozja. Il comprend alors que son destin doit le mener jusqu'à la terre natale de son père.

À cette époque, la Voie verdoyante traverse sa propre période de renouveau, et son maître fraîchement nommé est un ardent défenseur de la restauration des traditions bozjiennes. Blaz est accueilli à bras ouverts, et on lui propose même un poste pour enseigner la voie du samouraï. Il refuse cependant cet honneur pour reprendre le flambeau de son défunt père et rejoindre les rangs de la résistance ainsi que des nouvelles lames de Gunnhildr, prêtant serment pour la recon­struc­tion de la nation bozjienne.",ブラズ・アゼティナ,69478,0,72561,72506,6,0,0,3
7,Velibor Azetina,"Race : Hrothgar
Âge : 24 ans
Lieu de naissance : Grâce de Zetina, Bozja

Velibor Azetina est un chevalier, et le cousin au deuxième degré de Blaz Azetina. Comme ce dernier, il descend directement des fondateurs de la Voie verdoyante, une illustre école d'arts martiaux reconnue pour son efficacité dans le combat à mains nues, le maniement de l'épée et les techniques de lance.

Cette prestigieuse institution existe depuis plus de deux siècles lorsque nombre de ses élèves se dressent en opposition à l'envahisseur garlemaldais. Alors que l'invasion progresse, Basch van Gabranth, le commandant de la 4e légion, se montre réticent à massacrer de tels talents prometteurs. Il assure à la Voie verdoyante amnistie et protection, à condition qu'elle jure allégeance à l'Empire. Cette offre est acceptée par le maître de l'école, qui évite ainsi un plus grand bain de sang en se rendant à l'envahisseur.

Quand la grand-mère de Velibor succède à son mari à la tête de l'école, elle met un point d'honneur à respecter la promesse qu'il avait faite à Basch. Les élèves qui prennent part à toute forme de soulèvement contre l'Empire sont renvoyés sans autre forme de procès, ce qui permet à la Voie verdoyante de garder de bonnes relations avec l'occupant. Sur son lit de mort, cependant, la maîtresse se confie à son successeur, le père de Velibor. “J'ai tenu coûte que coûte la promesse que ton père avait faite à l'Empire. Une décision difficile qu'il a prise par amour pour sa famille, pour *nous* protéger... Mais toi, mon fils, tu n'es point tenu par ce serment. Une nouvelle ère s'annonce...”

Lorsque Blaz fait son retour à Bozja et découvre que la philosophie de la Voie verdoyante est en accord avec ses desseins, Velibor se découvre un cousin avec qui il s'entend par­fai­te­ment. Il se rappelle encore que, lors de leur première rencontre, il a l'impression de retrouver une partie de son âme qu'on lui aurait enlevée. Pendant une courte période, il développe une rivalité amicale avec celui qu'il considère comme son frère, et leurs en­traî­ne­ments réguliers leur permettent à tous les deux d'acquérir de nouvelles techniques de combat.

C'est à ce moment que le vent du soulèvement commence à souffler de nouveau sur la citadelle, un mouvement que ne manque pas de rallier la Voie verdoyante. Velibor rejoint alors les nouvelles lames de Gunnhildr, déterminé à pourfendre de sa grande épée l'envahisseur qui opprime son peuple depuis bien trop longtemps.",ヴェリボル・アゼティナ,69478,0,72562,72507,7,0,0,3
8,Aggie Glover,"Race : Hyure
Âge : 17 ans
Lieu de naissance : Martrvje, Bozja

La cité côtière bozjienne de Martrvje, une vieille colonie bigarrée abritant quelque deux cent mille habitants, est une destination de choix pour les ouvriers des régions alentour à la recherche de travail. Pourtant, malgré sa prospérité apparente, Martrvje compte aussi une foule de vagabonds et d'orphelins. Que ce soit à cause de la guerre, de la maladie ou d'un emprisonnement par les autorités impériales, nombreux sont les enfants qui perdent leurs parents dans de tristes cir­cons­tan­ces et se retrouvent abandonnés à leur sort, élisant le plus souvent domicile dans les canalisations souterraines sous les rues de la ville. Aggie est une de ces laissés-pour-compte.

Elle n'a jamais eu la chance de connaître ses parents, ni le nom qu'ils lui ont donné à la naissance. “Aggie” est le sobriquet que lui ont trouvé les employés du bureau impérial d'aide sociale qui l'ont ramassée une journée glaciale d'hiver, alors qu'elle était seule et sur le point de mourir de froid.

Aggie n'a que peu de souvenirs de ses cinq premières années, jusqu'à ce qu'elle soit recueillie, si ce n'est le goût du zefir, une sorte de guimauve qui reste aujourd'hui encore son aliment favori. Elle ne se souvient pas d'où, ni d'avec qui elle a vécu. Il semble même qu'à l'époque, elle est tout bonnement incapable de parler.

Une fois sortie de la rue, Aggie est placée à la Voie verdoyante, une illustre école d'arts martiaux. Là, sa transformation est miraculeuse. En compagnie des autres disciples, l'enfant apathique au regard vide qu'on a sauvée du froid retrouve le sourire et la joie de vivre. Elle fait preuve d'im­pres­sion­nantes aptitudes à la lecture et à l'écriture, dévorant absolument tous les livres que ses éducateurs lui proposent. En peu de temps, elle devient une jeune fille joyeuse et épanouie, jamais la dernière pour mettre un peu d'ambiance dans la chambrée.

C'est avec Blaz et Velibor Azetina qu'Aggie s'entend le mieux. Déterminée à ne pas se laisser surpasser par leur habileté au combat, elle décide de se consacrer à l'en­traî­ne­ment pugilistique. Grâce à son assiduité et à un talent inné, elle passe maître en sa discipline alors qu'elle n'a encore que seize ans.

Lorsqu'Aggie rejoint la résistance, sa venue est un véritable rayon de soleil pour les soldats en proie à la colère ou au désespoir, tant sa bonne humeur permanente a un effet bénéfique sur le moral des troupes. Elle intègre ensuite les nouvelles lames de Gunnhildr, où elle est accueillie à bras ouverts par Blaz et Velibor, même si elle soupçonne que la décision de Bajsaljen est plus motivée par des raisons politiques que par ses capacités martiales. Mais elle en fait peu de cas et reste fidèle à elle-même, toujours prête à mettre du baume au cœur de ses camarades et à se battre pour la bonne cause.",アギー・グローヴァー,69478,0,72563,72508,8,0,0,1
9,Hernais pyr Longus,"Race : Hyur
Âge : 24 ans
Lieu de naissance : Mons Falconis, ancienne république de Landis

Hernais est le messager en chef de la cohorte bestiale, une division de la 4e légion impériale à laquelle il a présenté sa candidature en raison de sa grande admiration pour Lyon rem Helsos. Les méthodes de commandement de ce dernier ont toujours été pour le moins iconoclastes et peuvent changer du tout au tout au gré de la situation sur le champ de bataille, une façon de faire qu'il n'a cer­tai­ne­ment pas apprise dans une école militaire officielle. Estimant que les ordres de l'intrépide guerrier évoluent plutôt au gré du vent qu'autre chose, nombreux sont ses pairs qui le tiennent en piètre estime et ne le considèrent comme guère plus qu'un barbare qui préfère la compagnie des animaux à celle des hommes, et dont le vocabulaire est aussi fleuri que la fange d'un marais.

À son arrivée dans la légion, le jeune et influençable Hernais commence par prendre en compte l'avis de la majorité, pour ensuite changer drastiquement de point de vue il y a quatre ans, lorsqu'il observe son idole en action durant l'insurrection de Dalmasca. Lyon jure cer­tai­ne­ment comme une poissonnière, mais il connaît le nom complet de chacun de ses subordonnés, ainsi que leurs moindres forces et faiblesses. Au front, il ne peut envisager d'autre manière de se battre qu'en première ligne, en compagnie de ses soldats les plus hardis. “La mort, c'est pour les baltringues !” est une devise qu'il aime par­ti­cu­liè­rement répéter à très haute voix dès qu'il en a l'occasion, et qui se passe de commentaires. En outre, Hernais comprend alors pourquoi Lyon aime autant les bêtes : les liens de confiance qu'il a tissés avec elles lui permettent de les envoyer au combat à sa guise, afin qu'elles servent de bouclier vivant à ses hommes. Elles consentent à leur sacrifice par respect pour leur maître, qui leur donne l'amour d'un père en retour. Convaincu par cette attitude violente et émouvante à la fois, Hernais demande son affectation au service de la cohorte bestiale en tant que messager de son nouveau mentor.

L'extrait suivant du Curieux, célèbre gazette de Mons Falconis, prouve amplement la dévotion du jeune homme.

Journaliste : Nous avons entendu dire que vos camarades de la 4e légion vous surnommaient “le chien fidèle”. Qu'est-ce que cela vous inspire ?
Hernais : Absolument rien. Tous ces enfantillages ne sont dus qu'à la jalousie.
Journaliste : Pourquoi dites-vous cela ?
Hernais : La plupart de ceux qui se moquent de moi ainsi ne sont que des hypocrites dévorés d'ambition. Ils font mine de suivre les ordres du commandant au mot près, tout en y cherchant dis­crè­te­ment la faille pour le faire tomber.
Journaliste : Un bon soldat sait cer­tai­ne­ment obéir quand il le faut, mais doit-il pour autant abandonner tout esprit critique ?
Hernais : Lyon rem Helsos est au-delà de toute critique. Je lui suis dévoué corps et âme, et je le suivrai jusque dans la mort s'il le faut. Et si ça fait ricaner certains, ainsi soit-il ! Je continuerai de porter mon surnom de “chien fidèle” comme une distinction d'honneur, et rira bien qui rira le dernier !
---
Journaliste : Un commentaire sur les paroles pleines de ferveur du messager Longus, Commandant ?
Lyon : Qui ça ? Ah ouais, le p'tit jeunot qui me suit partout ! J'avais déjà oublié son existence alors qu'il est fourré dans mes pattes du matin au soir. C'est un bon toutou, j'peux pas dire, mais va falloir qu'il montre les crocs davantage... ll est de la race à poil court au menton, celle qui survit pas bien longtemps...
Journaliste : Euh... Merci...",エルネイス・ピル・ロングス,69478,0,72565,72510,10,0,0,3
