#,Unknown3,Unknown4,Unknown0,Unknown1,Unknown2,Unknown5
0,0,0,0,0,0,0
1,2,0,1,21,2,0
2,2,0,1,22,2,0
3,2,0,1,23,2,0
4,2,0,1,24,2,0
5,2,0,1,25,3,0
6,2,0,1,26,3,0
7,2,0,1,31,3,0
8,2,0,1,32,3,0
9,2,0,1,33,4,0
10,2,0,1,34,5,0
11,2,0,1,41,5,0
12,2,0,1,42,5,0
13,2,0,1,43,22,0
14,2,0,1,44,9,0
15,2,0,1,51,6,0
16,2,0,1,52,8,0
17,2,0,2,1,0,0
18,2,0,3,1,28,0
19,2,0,4,1,0,0
20,2,0,5,1,26,0
21,2,0,6,1,21,0
22,2,0,7,1,0,0
23,2,0,8,1,0,0
24,2,0,9,1,29,0
25,2,0,10,1,0,0
26,2,0,10,2,0,0
27,2,0,10,3,0,0
28,2,0,11,1,0,0
29,2,0,12,1,0,0
30,2,0,13,21,0,0
31,2,0,13,31,0,0
32,2,0,13,41,0,0
33,2,0,14,21,0,0
34,2,0,14,31,0,0
35,2,0,14,41,0,0
36,2,0,15,21,0,0
37,2,0,15,31,0,0
38,2,0,15,41,0,0
39,2,0,16,21,0,0
40,2,0,16,31,0,0
41,2,0,16,41,0,0
42,2,0,17,21,0,0
43,2,0,17,31,0,0
44,2,0,17,41,0,0
45,2,0,18,21,0,0
46,2,0,18,31,0,0
47,2,0,18,41,0,0
48,2,0,19,21,0,0
49,2,0,19,31,0,0
50,2,0,19,41,0,0
51,2,0,20,21,0,0
52,2,0,20,31,0,0
53,2,0,20,41,0,0
54,2,0,21,21,0,0
55,2,0,21,31,0,0
56,2,0,21,41,0,0
57,2,0,22,21,0,0
58,2,0,22,31,0,0
59,2,0,22,41,0,0
60,2,0,23,21,0,0
61,2,0,23,31,0,0
62,2,0,23,41,0,0
63,2,0,24,1,11,0
64,2,0,25,1,12,0
65,2,0,26,1,13,0
66,2,0,27,1,14,0
67,2,0,28,1,15,0
68,2,0,29,1,16,0
69,2,0,30,1,17,0
70,2,0,31,1,18,0
71,2,0,32,1,19,0
72,2,0,33,1,0,0
73,2,0,33,10,0,0
74,2,0,33,20,0,0
75,2,0,33,30,0,0
76,2,0,34,1,0,0
77,2,0,34,10,0,0
78,2,0,34,20,0,0
79,2,0,34,30,0,0
80,2,0,35,1,0,0
81,2,0,35,10,0,0
82,2,0,35,20,0,0
83,2,0,35,30,0,0
84,2,0,36,1,0,0
85,2,0,36,10,0,0
86,2,0,37,1,0,0
87,2,0,37,10,0,0
88,2,0,37,20,0,0
89,2,0,37,30,0,0
90,2,0,38,1,0,0
91,2,0,38,10,0,0
92,2,0,38,20,0,0
93,2,0,38,30,0,0
94,2,0,39,1,0,0
95,2,0,39,10,0,0
96,2,0,39,20,0,0
97,2,0,39,30,0,0
98,2,0,40,1,0,0
99,2,0,40,10,0,0
100,2,0,40,20,0,0
101,2,0,40,30,0,0
102,2,0,41,1,0,0
