#,Name,Category,Objects[0],Objects[1],Objects[2],Objects[3],Objects[4],Objects[5],Objects[6],Objects[7],Unknown10,Unknown11,Unknown12,Unknown13
0,,0,0,0,0,0,0,0,0,0,0,0,0,False
1,Cercle quadrillé,1,21,0,0,0,0,0,0,0,0,0,0,True
2,Carré quadrillé,1,25,0,0,0,0,0,0,0,0,0,0,True
3,未使用,1,0,0,0,0,0,0,0,0,0,0,0,False
4,Grand,2,24,0,0,0,0,0,0,0,0,0,10,True
5,Moyen,2,23,0,0,0,0,0,0,0,0,0,11,True
6,Petit,2,22,0,0,0,0,0,0,0,0,0,12,True
7,Petite équipe,3,1,2,3,0,4,0,0,0,0,0,10,True
8,Équipe complète : déploiement 1,3,5,6,7,8,9,10,11,12,0,0,11,True
9,Équipe complète : déploiement 2,3,13,14,15,16,17,18,19,20,0,0,12,True
10,Équipe complète : déploiement 3,3,38,39,40,41,42,43,44,45,0,0,13,True
11,Équipe complète : déploiement 4,3,46,47,48,49,50,51,52,53,0,0,14,True
12,Quatre points cardinaux,4,26,27,28,29,0,0,0,0,0,0,10,True
13,Huit points cardinaux 1,4,26,27,28,29,30,31,32,33,0,0,11,True
14,Huit points cardinaux 2,4,26,27,28,29,34,35,36,37,0,0,12,True
15,Aucun,2,0,0,0,0,0,0,0,0,0,0,0,True
16,Aucune,3,0,0,0,0,0,0,0,0,0,0,0,True
17,Aucune,4,0,0,0,0,0,0,0,0,0,0,0,True
18,Équipe complète : déploiement 5,3,54,55,56,57,58,59,60,61,0,0,15,True
19,Proches 1,4,62,63,64,65,0,0,0,0,0,0,20,True
20,Proches 2,4,66,67,68,69,0,0,0,0,0,0,21,True
21,Proches 3,4,70,71,72,73,74,75,76,77,0,0,22,True
22,Proches 4,4,78,79,80,81,82,83,84,85,0,0,23,True
