#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ExteriorRoof,ExteriorWall,ExteriorWindow,ExteriorDoor,InteriorWall,InteriorFlooring,InteriorLighting,OtherFloorWall,OtherFloorFlooring,OtherFloorLighting,BasementWall,BasementFlooring,BasementLighting,MansionLighting,PlaceName,HousingSize
262144,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262145,maisonnette en bois noscéenne,maisonnettes en bois noscéennes,0,0,0,1,1,0,6347,6374,6401,6410,6455,6458,6461,0,0,0,6455,6458,6461,0,22,0
262146,maisonnette composite noscéenne,maisonnettes composites noscéennes,0,0,0,1,1,0,6348,6375,6402,6411,6455,6458,6461,0,0,0,6455,6458,6461,0,22,0
262147,maisonnette en pierre noscéenne,maisonnettes en pierre noscéennes,0,0,0,1,1,0,6349,6376,6403,6412,6455,6458,6461,0,0,0,6455,6458,6461,0,22,0
262148,pavillon en bois noscéen,pavillons en bois noscéens,0,0,0,1,0,0,6350,6377,6401,6410,6455,6458,6462,6455,6458,6462,6455,6458,6462,0,22,1
262149,pavillon composite noscéen,pavillons composites noscéens,0,0,0,1,0,0,6351,6378,6402,6411,6455,6458,6462,6455,6458,6462,6455,6458,6462,0,22,1
262150,pavillon en pierre noscéen,pavillons en pierre noscéens,0,0,0,1,0,0,6352,6379,6403,6412,6455,6458,6462,6455,6458,6462,6455,6458,6462,0,22,1
262151,villa en bois noscéenne,villas en bois noscéennes,0,0,0,1,1,0,6353,6380,6401,6410,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463,22,2
262152,villa composite noscéenne,villas composites noscéennes,0,0,0,1,1,0,6354,6381,6402,6411,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463,22,2
262153,villa en pierre noscéenne,villas en pierre noscéennes,0,0,0,1,1,0,6355,6382,6403,6412,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463,22,2
262154,maisonnette en bois sombrelinçoise,maisonnettes en bois sombrelinçoises,0,0,0,1,1,0,6356,6383,6404,6413,6456,6459,6464,0,0,0,6456,6459,6464,0,23,0
262155,maisonnette composite sombrelinçoise,maisonnettes composites sombrelinçoises,0,0,0,1,1,0,6357,6384,6405,6414,6456,6459,6464,0,0,0,6456,6459,6464,0,23,0
262156,maisonnette en pierre sombrelinçoise,maisonnettes en pierre sombrelinçoises,0,0,0,1,1,0,6358,6385,6406,6415,6456,6459,6464,0,0,0,6456,6459,6464,0,23,0
262157,pavillon en bois sombrelinçois,pavillons en bois sombrelinçois,0,0,0,1,0,0,6359,6386,6404,6413,6456,6459,6465,6456,6459,6465,6456,6459,6465,0,23,1
262158,pavillon composite sombrelinçois,pavillons composites sombrelinçois,0,0,0,1,0,0,6360,6387,6405,6414,6456,6459,6465,6456,6459,6465,6456,6459,6465,0,23,1
262159,pavillon en pierre sombrelinçois,pavillons en pierre sombrelinçois,0,0,0,1,0,0,6361,6388,6406,6415,6456,6459,6465,6456,6459,6465,6456,6459,6465,0,23,1
262160,villa en bois sombrelinçoise,villas en bois sombrelinçoises,0,0,0,1,1,0,6362,6389,6404,6413,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466,23,2
262161,villa composite sombrelinçoise,villas composites sombrelinçoises,0,0,0,1,1,0,6363,6390,6405,6414,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466,23,2
262162,villa en pierre sombrelinçoise,villas en pierre sombrelinçoises,0,0,0,1,1,0,6364,6391,6406,6415,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466,23,2
262163,maisonnette en bois thanalanaise,maisonnettes en bois thanalanaises,0,0,0,1,1,0,6365,6392,6407,6416,6457,6460,6467,0,0,0,6457,6460,6467,0,24,0
262164,maisonnette composite thanalanaise,maisonnettes composites thanalanaises,0,0,0,1,1,0,6366,6393,6408,6417,6457,6460,6467,0,0,0,6457,6460,6467,0,24,0
262165,maisonnette en pierre thanalanaise,maisonnettes en pierre thanalanaises,0,0,0,1,1,0,6367,6394,6409,6418,6457,6460,6467,0,0,0,6457,6460,6467,0,24,0
262166,pavillon en bois thanalanais,pavillons en bois thanalanais,0,0,0,1,0,0,6368,6395,6407,6416,6457,6460,6468,6457,6460,6468,6457,6460,6468,0,24,1
262167,pavillon composite thanalanais,pavillons composites thanalanais,0,0,0,1,0,0,6369,6396,6408,6417,6457,6460,6468,6457,6460,6468,6457,6460,6468,0,24,1
262168,pavillon en pierre thanalanais,pavillons en pierre thanalanais,0,0,0,1,0,0,6370,6397,6409,6418,6457,6460,6468,6457,6460,6468,6457,6460,6468,0,24,1
262169,villa en bois thanalanaise,villas en bois thanalanaises,0,0,0,1,1,0,6371,6398,6407,6416,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469,24,2
262170,villa composite thanalanaise,villas composites thanalanaises,0,0,0,1,1,0,6372,6399,6408,6417,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469,24,2
262171,villa en pierre thanalanaise,villas en pierre thanalanaises,0,0,0,1,1,0,6373,6400,6409,6418,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469,24,2
262172,,,0,0,0,1,0,0,0,0,0,0,6455,6458,6461,0,0,0,0,0,0,0,0,0
262173,,,0,0,0,1,0,0,0,0,0,0,6456,6459,6464,0,0,0,0,0,0,0,0,0
262174,,,0,0,0,1,0,0,0,0,0,0,6457,6460,6467,0,0,0,0,0,0,0,0,0
262175,maisonnette hingashienne de style mokuzo,maisonnettes hingashiennes de style mokuzo,0,0,0,1,1,0,20680,20689,20698,20701,20716,20718,20720,0,0,0,20716,20718,20720,0,2402,0
262176,maisonnette hingashienne de style nanpu,maisonnettes hingashiennes de style nanpu,0,0,0,1,1,0,20681,20690,20699,20702,20716,20718,20720,0,0,0,20716,20718,20720,0,2402,0
262177,maisonnette hingashienne de style kura-zukuri,maisonnettes hingashiennes de style kura-zukuri,0,0,0,1,1,0,20682,20691,20700,20703,20716,20718,20720,0,0,0,20716,20718,20720,0,2402,0
262178,pavillon hingashien de style mokuzo,pavillons hingashiens de style mokuzo,0,0,0,1,0,0,20683,20692,20698,20701,20716,20718,20721,20716,20718,20721,20716,20718,20721,0,2402,1
262179,pavillon hingashien de style nanpu,pavillons hingashiens de style nanpu,0,0,0,1,0,0,20684,20693,20699,20702,20716,20718,20721,20716,20718,20721,20716,20718,20721,0,2402,1
262180,pavillon hingashien de style kura-zukuri,pavillons hingashiens de style kura-zukuri,0,0,0,1,0,0,20685,20694,20700,20703,20716,20718,20721,20716,20718,20721,20716,20718,20721,0,2402,1
262181,villa hingashienne de style mokuzo,villas hingashiennes de style mokuzo,0,0,0,1,1,0,20686,20695,20698,20701,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722,2402,2
262182,villa hingashienne de style nanpu,villas hingashiennes de style nanpu,0,0,0,1,1,0,20687,20696,20699,20702,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722,2402,2
262183,villa hingashienne de style kura-zukuri,villas hingashiennes de style kura-zukuri,0,0,0,1,1,0,20688,20697,20700,20703,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722,2402,2
262184,,,0,0,0,1,0,0,0,0,0,0,20716,20718,20720,0,0,0,0,0,0,0,0,0
262185,maisonnette en bois coerthienne,,0,0,0,1,1,0,36863,36872,36881,36884,36887,36888,36889,0,0,0,36887,36888,36889,0,25,0
262186,maisonnette en pierre coerthienne,,0,0,0,1,1,0,36864,36873,36882,36885,36887,36888,36889,0,0,0,36887,36888,36889,0,25,0
262187,maisonnette composite coerthienne,,0,0,0,1,1,0,36865,36874,36883,36886,36887,36888,36889,0,0,0,36887,36888,36889,0,25,0
262188,pavillon en bois coerthien,,0,0,0,1,0,0,36866,36875,36881,36884,36887,36888,36890,36887,36888,36890,36887,36888,36890,0,25,1
262189,pavillon en pierre coerthien,,0,0,0,1,0,0,36867,36876,36882,36885,36887,36888,36890,36887,36888,36890,36887,36888,36890,0,25,1
262190,pavillon composite coerthien,,0,0,0,1,0,0,36868,36877,36883,36886,36887,36888,36890,36887,36888,36890,36887,36888,36890,0,25,1
262191,villa en bois coerthienne,,0,0,0,1,1,0,36869,36878,36881,36884,36887,36888,36891,36887,36888,36891,36887,36888,36891,36891,25,2
262192,villa en pierre coerthienne,,0,0,0,1,1,0,36870,36879,36882,36885,36887,36888,36891,36887,36888,36891,36887,36888,36891,36891,25,2
262193,villa composite coerthienne,,0,0,0,1,1,0,36871,36880,36883,36886,36887,36888,36891,36887,36888,36891,36887,36888,36891,36891,25,2
262194,,,0,0,0,1,0,0,0,0,0,0,36887,36888,36891,0,0,0,0,0,0,0,0,0
262195,,,0,0,0,1,0,0,0,0,0,0,44870,44871,44872,0,0,0,44870,44871,44872,0,0,0
262196,,,0,0,0,1,0,0,0,0,0,0,44870,44871,44872,44870,44871,44872,44870,44871,44872,0,0,0
262197,,,0,0,0,1,0,0,0,0,0,0,44870,44871,44872,44870,44871,44872,44870,44871,44872,44872,0,0
