#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown_70,Unknown4
0,13991,535,0,50,False,False
1,13992,534,50,50,False,False
2,13994,534,50,50,False,False
3,13993,534,50,50,False,False
4,13995,534,50,50,False,False
5,13997,534,50,50,False,False
6,13998,534,50,50,False,False
7,13999,534,50,50,False,False
8,14000,534,50,50,False,False
9,14001,534,50,50,False,False
10,13996,534,50,50,False,False
11,20289,541,0,60,False,False
12,20290,534,60,60,True,False
13,20291,534,60,60,True,False
14,20292,534,60,60,True,False
15,20293,534,60,60,True,False
16,20295,534,60,60,True,False
17,20296,534,60,60,True,False
18,20297,534,60,60,True,False
19,20298,534,60,60,True,False
20,20299,534,60,60,True,False
21,20294,534,60,60,True,False
22,20300,534,60,60,True,False
23,20301,534,60,60,True,False
24,20302,534,60,60,True,False
25,26537,726,0,70,False,False
26,26538,534,70,70,True,False
27,26539,534,70,70,True,False
28,26540,534,70,70,True,False
29,26541,534,70,70,True,False
30,26543,534,70,70,True,False
31,26544,534,70,70,True,False
32,26545,534,70,70,True,False
33,26546,534,70,70,True,False
34,26547,534,70,70,True,False
35,26542,534,70,70,True,False
36,26548,534,70,70,True,False
37,26549,534,70,70,True,False
38,26550,534,70,70,True,False
39,26551,534,70,70,True,False
40,26552,534,70,70,True,False
41,34062,995,0,80,False,False
42,34063,534,80,80,True,False
43,34064,534,80,80,True,False
44,34065,534,80,80,True,False
45,34066,534,80,80,True,False
46,34068,534,80,80,True,False
47,34069,534,80,80,True,False
48,34070,534,80,80,True,False
49,34071,534,80,80,True,False
50,34072,534,80,80,True,False
51,34067,534,80,80,True,False
52,34073,534,80,80,True,False
53,34074,534,80,80,True,False
54,34075,534,80,80,True,False
55,34076,534,80,80,True,False
56,34077,534,80,80,True,False
57,34078,534,80,80,False,False
58,34079,534,80,80,False,False
59,41716,1296,0,90,False,False
60,41717,1295,0,90,False,False
61,41718,534,90,90,True,False
62,41719,534,90,90,True,False
63,41720,534,90,90,True,False
64,41721,534,90,90,True,False
65,41722,534,90,90,True,False
66,41723,534,90,90,True,False
67,41724,534,90,90,True,False
68,41725,534,90,90,True,False
69,41726,534,90,90,True,False
70,41727,534,90,90,True,False
71,41728,534,90,90,True,False
72,41729,534,90,90,True,False
73,41730,534,90,90,True,False
74,41731,534,90,90,True,False
75,41732,534,90,90,True,False
76,41733,534,90,90,False,False
77,41734,534,90,90,False,False
78,41735,534,90,90,False,False
79,41736,534,90,90,False,False
80,52661,1686,0,100,False,True
81,52662,1686,0,100,False,False
82,52663,534,100,100,True,True
83,52664,534,100,100,True,True
84,52665,534,100,100,True,True
85,52666,534,100,100,True,True
86,52667,534,100,100,True,True
87,52668,534,100,100,True,True
88,52669,534,100,100,True,True
89,52670,534,100,100,True,True
90,52671,534,100,100,True,True
91,52672,534,100,100,True,True
92,52673,534,100,100,True,True
93,52674,534,100,100,True,True
94,52675,534,100,100,True,True
95,52676,534,100,100,True,True
96,52677,534,100,100,True,True
97,52678,534,100,100,False,True
98,52679,534,100,100,False,True
99,52680,534,100,100,False,True
100,52681,534,100,100,False,True
101,52682,534,100,100,False,True
102,52683,534,100,100,False,True
