#,Location,Fare,Unknown0,TimeRequired,Unknown1
0,0,80,0,0,False
1,1179649,80,0,0,False
2,1179657,5,0,1,False
3,1179650,5,0,1,False
4,1179651,15,0,2,False
5,0,80,0,0,False
6,1179650,15,0,2,False
7,0,80,0,0,False
8,1179653,50,0,3,False
9,0,80,0,0,False
10,1179650,50,0,3,False
11,0,80,0,0,False
12,1179654,50,0,3,False
13,0,80,0,0,False
14,1179650,50,0,3,False
15,0,80,0,0,False
16,1179655,15,0,1,False
17,1179650,15,0,1,False
18,1179656,30,0,1,False
19,1179650,30,0,1,False
20,1179652,15,0,1,False
21,1179654,15,0,1,False
22,1179653,15,0,1,False
23,1179654,15,0,1,False
24,1179653,15,0,1,False
25,1179652,15,0,1,False
26,1179655,15,0,1,False
27,1179656,15,0,1,False
28,1179661,15,0,1,False
29,1179658,15,0,1,False
30,1179660,30,0,2,False
31,1179658,30,0,2,False
32,1179659,5,0,1,False
33,1179658,5,0,1,False
34,1179661,15,0,2,False
35,1179659,15,0,2,False
36,1179660,15,0,1,False
37,1179659,15,0,1,False
38,1179666,50,0,2,False
39,0,80,0,0,False
40,1179658,50,0,2,False
41,0,80,0,0,False
42,1179662,15,0,1,False
43,1179658,15,0,1,False
44,1179663,30,0,3,False
45,0,80,0,0,False
46,1179658,30,0,3,False
47,0,80,0,0,False
48,1179664,30,0,2,False
49,0,80,0,0,False
50,1179658,30,0,2,False
51,0,80,0,0,False
52,1179665,50,0,3,False
53,0,80,0,0,False
54,1179658,50,0,3,False
55,0,80,0,0,False
56,1179667,15,0,1,False
57,1179663,15,0,1,False
58,1179665,30,0,3,False
59,1179664,30,0,3,False
60,1179668,50,0,1,False
61,1179666,50,0,1,False
62,1179670,15,0,1,False
63,1179669,15,0,1,False
64,1179671,15,0,2,False
65,0,80,0,0,False
66,1179669,15,0,2,False
67,0,80,0,0,False
68,1179672,30,0,3,False
69,0,80,0,0,False
70,1179669,30,0,3,False
71,0,80,0,0,False
72,1179673,50,0,3,False
73,0,80,0,0,False
74,1179669,50,0,3,False
75,0,80,0,0,False
76,1179674,60,0,4,False
77,0,80,0,0,False
78,0,80,0,0,False
79,1179669,60,0,4,False
80,0,80,0,0,False
81,0,80,0,0,False
82,1179677,30,0,2,False
83,0,80,0,0,False
84,1179669,30,0,2,False
85,0,80,0,0,False
86,1179675,5,0,2,False
87,1179669,5,0,2,False
88,1179676,15,0,2,False
89,1179669,15,0,2,False
90,1179676,15,0,2,False
91,1179675,15,0,2,False
92,1179671,15,0,1,False
93,1179672,15,0,1,False
94,1179680,80,0,2,False
95,0,80,0,0,False
96,1179656,80,0,2,False
97,0,80,0,0,False
98,1179680,60,0,1,False
99,1179679,60,0,1,False
100,1179680,80,0,2,False
101,1179681,80,0,2,False
102,1179682,100,0,3,False
103,0,80,0,0,False
104,1179680,100,0,3,False
105,0,80,0,0,False
106,1179683,80,0,1,False
107,1179682,80,0,1,False
108,1179663,60,0,3,False
109,0,80,0,0,False
110,1179654,60,0,3,False
111,0,80,0,0,False
