#,Description,DescriptionEnhanced,Tooltip,SpecialActionName,SpecialActionDescription,Attack,Defense,Speed,MinionSkillType,HasAreaAttack,StrengthGate,StrengthEye,StrengthShield,StrengthArcana
0,,,,,,100,100,3,0,False,False,False,False,False
1,"Vous appelez votre mascotte bombino, un bombo miniature créé par la fusion occulte d'énergies éthérées et ombrales. Garanti sans explosion ou remboursé.","Un bébé bombo mis au monde ar­ti­fi­ciellement par une technique d'alchimie de pointe. Cette entité de gaz venue du néant engloutit avec délectation charbon, céruleum et cristaux de feu. Garanti sans explosion ou remboursé.",Tchik tchik tchik...,Auto-destruction,Inflige des dégâts d'attaque 300 aux ennemis dans l'aire d'effet. Les mascottes qui ont utilisé des PdT sont au­to­ma­ti­que­ment renvoyées.,30,40,2,1,False,False,True,True,False
2,"Vous appelez votre mascotte pantin P001, une marionnette mécanique fabriquée con­join­te­ment par les guildes des alchimistes et des orfèvres.",La guilde des orfèvres a sollicité l'aide de celle des alchimistes pour développer cet automate magique destiné au grand public. Le modèle P001 propose des fonctions de base et a été décliné en divers sous-modèles spécialisés.,"Dzi-zz... Dz-zz-zi ! Tout neuf, tout beau !",Démontage,Enlève un piège mis en place par l'ennemi.,25,45,1,6,False,True,True,False,True
3,"Vous appelez votre mascotte bébé chocobo, un jeune chocobo qui vous prend pour sa mère.","Ce minuscule chocobo trottine à bonne allure. Encore tout jeune, il vous prend pour sa mère et vous suit partout. S'il conserve sa coquille sur lui après éclosion, c'est parce qu'il a voulu imiter votre armure.",Kwéééé !,Chocodanse,"Ajoute le type “Créature” aux points faibles des ennemis dans l'aire d'effet.
**Durée :** 15s",60,30,3,4,False,True,True,False,False
4,"Vous appelez votre mascotte poupée Cait Sith, un pantin créé sur le modèle du célèbre félin. Sa queue lui permet de rester toujours en équilibre sur ses pattes arrières.","Le chat du folklore hyurois est représenté ici sous la forme d'un automate. Serendipity, maître de la guilde des orfèvres, a conçu cette poupée mécanique à l'intention des orphelins du Fléau, lui donnant un toucher de peluche.",Miaou...,Petit soldat,Augmente de 10 les PdT des mascottes dans l'aire d'effet. Les mascottes dont la technique a le même effet ne sont pas concernées.,55,65,2,3,False,True,False,True,False
5,"Vous appelez votre mascotte bébéhémoth. Étonnamment adorable, ce petit béhémoth grogne comme un marcassin. Il faut espérer que sa mère ne viendra pas le chercher...","Vendu par un marchand uldien comme progéniture de la célèbre créature, ce petit animal violet grogne comme un marcassin et possède une crinière noire et des cornes saillantes. Vous aimeriez voir à quoi ressemblent ses parents...",Gruic gruiiic !,Corne sauvage,Inflige des dégâts d'attaque 230 aux ennemis dans l'aire d'effet.,45,30,3,1,True,False,False,False,False
6,"Vous appelez votre mascotte pantin P003L, un automate conçu spé­cia­le­ment pour amuser les unités du Maelstrom lors de leurs moments perdus.","Un pantin officiel du Maelstrom. Programmé pour servir de porte-drapeau lors des parades officielles, il arbore la bannière de la compagnie avec zèle. Mais sa petite taille affecte fortement sa visibilité.",Longue vie à l'Amirale ! Dzz !,Étendard du Maelstrom,"Réduit de 50% la défense des ennemis dans l'aire d'effet.
**Durée :** 15s",30,45,1,4,False,True,False,True,True
7,"Vous appelez votre mascotte pantin P003G, un automate conçu spé­cia­le­ment pour amuser les unités de l'ordre des Deux Vipères lors de leurs moments perdus.","Un pantin officiel de l'ordre des Deux Vipères. Programmé pour servir de porte-drapeau lors des parades officielles, il arbore la bannière de la compagnie avec zèle. Mais sa petite taille affecte fortement sa visibilité.",Longue vie à notre Oracle ! Dzz !,Étendard des Deux Vipères,Augmente de 10 les PdT des mascottes dans l'aire d'effet. Les mascottes dont la technique a le même effet ne sont pas concernées.,35,55,1,3,True,True,False,False,True
8,"Vous appelez votre mascotte pantin P003U, un automate conçu spé­cia­le­ment pour amuser les unités des Immortels lors de leurs moments perdus.","Un pantin officiel des Immortels. Programmé pour servir de porte-drapeau lors des parades officielles, il arbore la bannière de la compagnie avec zèle. Mais sa petite taille affecte fortement sa visibilité.",Longue vie au Général ! Dzz !,Étendard des Immortels,"Réduit de 40% l'attaque des ennemis dans l'aire d'effet.
**Durée :** 6s",30,35,1,4,False,True,True,False,True
9,"Vous appelez votre mascotte bébé chocobo du Maelstrom, un jeune chocobo qui trotte à bonne allure et semble dévoué à sa grande compagnie.","Ce poussin a juré fidélité au Maelstrom. C'est une unité de nettoyage de la compagnie qui l'a un beau jour trouvé près de l'écurie. Il est depuis devenu une sorte de mascotte, mais a demandé à rejoindre la légion des aventuriers.",Kwé kwé !,Chococri du Maelstrom,"Immobilise les ennemis dans l'aire d'effet.
**Durée :** 5s",50,35,3,4,False,False,True,False,False
10,"Vous appelez votre mascotte bébé chocobo des Deux Vipères, un jeune chocobo qui trotte à bonne allure et semble dévoué à sa grande compagnie.","Ce poussin a juré fidélité aux Deux Vipères. C'est une unité de nettoyage de la compagnie qui l'a un beau jour trouvé près de l'écurie. Il est depuis devenu une sorte de mascotte, mais a demandé à rejoindre la légion des aventuriers.",Kwé kwé !,Chococri des Deux Vipères,Dissipe les effets de tous les alliés et ennemis dans l'aire d'effet.,55,35,3,6,False,False,False,True,False
11,"Vous appelez votre mascotte bébé chocobo des Immortels, un jeune chocobo qui trotte à bonne allure et semble dévoué à sa grande compagnie.","Ce poussin a juré fidélité aux Immortels. C'est une unité de nettoyage de la compagnie qui l'a un beau jour trouvé près de l'écurie. Il est depuis devenu une sorte de mascotte, mais a demandé à rejoindre la légion des aventuriers.",Kwé kwé !,Chococri des Immortels,Réduit les PdT des ennemis dans l'aire d'effet de 50% de leur valeur maximale.,45,45,3,4,False,False,False,True,False
12,Vous appelez votre mascotte bulbe de morbol. Un bulbe du monstre végétal dont l'odeur rappelle celle de vieilles bottes d'aventuriers aguerris.,"Ce jeune morbol a été capturé dans le Val d'Aurum. Son haleine rappelle l'odeur de vieilles bottes d'aventurier. Cette puanteur ayant pour effet de couper l'appétit, certains Uldiens aisés s'en servent pour combattre l'obésité.",Mwoam mwoam !,Mauvaise haleine,"Inflige 10 points de dégâts périodiques par seconde aux ennemis dans l'aire d'effet.
**Durée :** 20s",40,75,1,1,True,True,True,True,False
13,"Vous appelez votre mascotte écureuil nain. Si vous aviez toujours rêvé de vivre des aventures accompagné d'un petit écureuil, votre souhait sera comblé.","Ce jeune mammifère a été vendu comme un écureuil par un marchand uldien, mais sa queue longue dénuée de fourrure semble trahir une tromperie sur la marchandise. Rat ou écureuil, le mystère demeure.",Squik squik !,Épidémie,"Réduit de 25% la défense des ennemis dans l'aire d'effet.
**Durée :** 6s",25,45,3,4,False,False,False,False,False
14,Vous appelez votre mascotte fungus miniature. Ce champignon vous suivra partout.,"Ce tendre fungus est populaire chez les gourmets. Selon la Grande Histoire naturelle éorzéenne, le fungus peut prendre le contrôle du cerveau d'un être par le biais de ses spores, et faire de lui un véritable pot de fleur ambulant.",Bwih bwih !,Spores empoisonnées,"Inflige des dégâts d'attaque 80 aux ennemis dans l'aire d'effet et réduit leur défense de 13%.
**Durée :** 6s",50,25,2,1,False,True,False,True,False
15,Vous appelez votre mascotte chigoe apprivoisé. Ce chigoe sera comme un frère de sang pour vous. Dans tous les sens du terme. ,"Dans l'ancienne Cité de Gelmorra, les chigoes étaient employés pour saigner les malades, afin, pensait-on, de les débarrasser na­tu­rel­le­ment des esprits nocifs. Ce bébé est apprivoisé et veut conclure un pacte de sang avec son hôte.",Tchit tchit !,Suceur de sang,"Augmente de 60 l'attaque des mascottes qui ont utilisé des PdT.
**Durée :** 10s",35,30,3,3,False,True,False,False,False
16,"Vous appelez votre mascotte oiseau bleu. Cet oiseau bleu, que vous avez enfin trouvé, vous portera peut-être chance.","Cet oisillon bleu serait un porte-bonheur. Il niche d'ordinaire dans les arbres, mais peut à de rares occasions s'établir dans des coffres de fabrication humaine. C'est une chance ex­cep­tion­nelle que de trouver un de ces coffres.",Cui cui !,Aile bleue,Inflige des dégâts d'attaque 90 aux ennemis dans l'aire d'effet.,45,35,4,1,False,False,False,False,False
17,Vous appelez votre mascotte faon aux yeux de biche. Ce faon a dû provoquer l'émotion générale de l'assistance lorsqu'il s'est mis debout pour la première fois.,"Ce jeune faon s'est dressé sur ses pattes dès la naissance pour se protéger des prédateurs, mais un chasseur l'a alors capturé et vendu à l'armurière Rowena. Arraché ainsi à sa mère dès la naissance, il a un grand besoin affectif.",Kii kii !,Œil de biche,"Rend les mascottes dans l'aire d'effet invulnérables aux attaques venant des ennemis de type “Monstre”.
**Durée :** 5s",55,40,4,3,False,True,False,False,False
18,"Vous appelez votre mascotte bébé imp. Ce petit démon rêve de devenir roi des sept enfers quand il sera grand. En attendant, il joue les âmes damnées.","Ce jeune diablotin se serait introduit dans notre monde par une fissure du néant. Il élabore des farces et espiègleries avec beaucoup de zèle, rêvant de devenir roi des sept enfers quand il sera grand.",Gni hi hi hi !,Farce diabolique,Inflige des dégâts d'attaque 90 aux ennemis dans l'aire d'effet.,75,45,3,1,False,False,True,False,False
19,Vous appelez votre mascotte joli coeurl. Ce coeurl est si jeune qu'il n'a pas encore la moustache.,Un fier félin que vous avez sauvé d'un chien qui le poursuivait. Il vous prend depuis pour sa mère et attaque ceux qui sont agressifs envers vous. Il n'a pas encore les longues moustaches ca­rac­té­ris­ti­ques de son espèce.,Ron ron...,Mini-électrochoc,Inflige des dégâts d'attaque 230 aux ennemis dans l'aire d'effet.,50,25,4,1,False,False,True,False,False
20,Vous appelez votre mascotte coeurl noir. Sa fourrure sombre est très douce au toucher.,"À la différence de ses cousins plus ordinaires, ce coeurl est entièrement recouvert de fourrure noire. La beauté et l'élégance de ce pelage si rare ne doivent pas faire oublier qu'il est également recouvert d'une aura magique im­pres­sion­nante.",Grrr...,Mini-coup de griffe,Inflige des dégâts équivalents à 5% de sa solidité à la pierre arcanique ennemie la plus proche.,60,40,4,8,False,False,True,False,False
21,"Vous appelez votre mascotte Hildibrand miniature. Attention, Nashu va être jalouse !","En vadrouille dans une lointaine contrée interstellaire, l'orfèvre le plus balèze d'Éorzéa voulut rendre hommage à son fils qui lui manquait tant. Il a donc fabriqué ces poupées de Hildibrand et de Nashu.",Hildibraaaand !!,Déduction du gentilhomme,"Augmente de 40 l'attaque et la défense des alliés dans l'aire d'effet. À la fin de l'effet, les mascottes qui ont utilisé des PdT sont au­to­ma­ti­que­ment renvoyées.
**Durée :** 20s",90,75,4,3,False,True,True,False,False
22,Vous appelez votre mascotte golem graveleux. Ce golem miniature est moins rugueux qu'il n'en a l'air.,"Ce pantin a été créé sur le modèle des golems de la fin de la 5e ère astrale. Il n'a cependant rien de magique et est identique aux autres pantins. Malgré son apparence rigide, son corps est plutôt doux au toucher.",Grwoooh...,Cuirasse de gravier,"Augmente de 40 la défense des mascottes qui ont utilisé des PdT.
**Durée :** 10s",60,40,2,3,False,True,True,False,False
23,"Vous appelez votre mascotte tomberry mécanique. Pensez à vous retourner de temps à autre quand il marche derrière vous, au cas où...","Ce Tomberry semble plutôt mignon à première vue, mais est empli d'une immense rancœur. On le dit capable de poignarder son maître pendant son sommeil. Heu­reu­se­ment pour vous, ledit couteau est en tissu...",Tchac tchac...,Rancune collective,"Augmente de 40 l'attaque et la défense des alliés dans l'aire d'effet. À la fin de l'effet, les mascottes qui ont utilisé des PdT sont au­to­ma­ti­que­ment renvoyées.
**Durée :** 20s",45,35,4,3,True,True,False,False,False
