#,Category,Unknown0,Unknown1
0,Tables,13,1
1,Étagères/Coffres,13,2
2,Divers,13,4
3,Murs/Cloisons,13,3
4,Chaises/Fauteuils,12,1
5,Lits,12,3
6,Plantes,12,5
7,Meubles fonctionnels,12,8
8,Murs/Colonnes/Cloisons,12,7
9,Salle de bain,12,6
10,Divers,12,9
11,Étagères/Coffres,12,2
12,Éclairage,12,4
13,Meubles fonctionnels,14,7
14,Éclairage,14,1
15,Divers,14,8
16,Plantes,14,4
17,Horloges,14,3
18,Peluches/Mascottes,14,5
19,Nourriture,14,2
20,Bannières/Cadres/Affiches,15,5
21,Divers,15,8
22,Éclairage,15,1
23,Horloges,15,2
24,Meubles fonctionnels,15,7
25,Étagères,15,4
26,Plantes,15,3
27,Tapis,16,0
28,Fenêtres,15,6
29,Décorations,14,6
