#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15
0,Standard,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False
1,Vision du passé,0,-0.2,-0.2,0,0,0.6,0,0,0,0,0,0,1,60,False
2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,Sépia 1,0,0,-0.3,0,0,1,-0.2,0,0,0,0,0.1,0.9,5,False
4,Monochrome 1,0,0,0,0,1,0,0,0,0,0,0,0,1,10,False
5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,Clair 1,0,0,0,0,-0.2,0,-0.2,0.1,0,0.1,0,0,1,15,False
7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
10,Postérisation 1,0,0,0,0,0.5,0.2,0,0,0,0,0,0.5,0.5,20,False
11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
12,Postérisation 2,0,0,0,0,1,0,0,0,0,0,0,0.9,0,21,False
13,Crayon de couleur,0,0,0.1,-0.3,-0.1,0.2,0,0,0,0,-0.2,0.4,0.6,30,False
14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
15,Pastel 1,0,0,0.1,-0.3,0,0.2,-0.1,0.6,0.6,0.6,-0.2,0.1,0.4,50,False
16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
21,Éthérimètre,0,0,0,0,-1,-0.8,1,1,0.7,0.3,1,0.3,1,61,False
22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
23,Clair 3,0,0.2,-0.1,0,0.2,0,0.4,0.8,0.8,1,0,0.2,0.8,17,False
24,Sépia 2,0,-1,0,0.1,-0.2,0,0.2,0.9,0.3,0,0,0.2,0.8,6,False
25,Monochrome 2,0,0,0,0,1,0,0,0,0,0,0,0.5,1,11,False
26,Pastel 2,0,-0.4,0,-0.2,0,0,0,0,0,0,0,0.1,0.3,51,True
27,Clair 2,0,0.6,0,0,0.2,-0.6,0.4,0.8,0.6,0.4,0.1,0.2,0.6,16,True
28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
29,Feutre 1,0,0,-0.2,0.6,0.2,-0.3,0,0,0,0,0,0,0.4,40,True
30,Crayon de papier,0,0,0,0,1,-0.2,0,0,0,0,0,0.4,0.7,35,False
31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
34,Effets renforcés,0,0,-0.2,-0.2,0,0,0,0,0,0,0,0.25,0.5,70,True
35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
36,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
37,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
38,Monotone 1,0,-1,0,0.2,0,0,0.2,0.9,0.1,0.5,0,0.1,0.9,55,True
39,Monotone 2,0,-1,0,0.1,0,-0.2,0.2,0.1,0.4,0.1,0,0.1,0.9,56,False
40,Monotone 3,0,-1,0,0.1,-0.2,0,0.3,0.1,0.4,1,0,0.1,0.9,57,False
41,Clair 4,0,0.6,0,0,0.2,-0.6,0.4,0.7,0.6,0.5,0,0,0.8,18,True
42,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
44,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
45,Pastel 3,0,0,0.1,-0.3,-0.2,0.2,-0.2,0.7,0.7,0.7,-0.2,0.1,0.4,52,False
46,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
47,Feutre 2,0,-0.2,-0.2,0.4,0.4,-0.3,0,0,0,0,0,0,0.35,42,True
48,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
51,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
52,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
54,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
56,Bande-annonce,0,-0.3,0,0.1,0.4,0.2,-0.1,1,0,0.8,-0.1,0,1,59,False
57,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
58,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
59,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
60,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
