#,Unknown0,Unknown1,Unknown2,Unknown3
0,,,,
1,La capture d'un platax ombré vous fait penser qu'il y a un courant poissonneux à proximité.,La capture d'un platax ombré a renforcé votre sentiment qu'il y a un courant poissonneux à proximité !,La capture d'un platax ombré vous donne la certitude qu'il y a un courant poissonneux à proximité !,Un courant poissonneux s'est formé à proximité !!
2,La capture d'un ichtyosaure vous fait penser qu'il y a un courant poissonneux à proximité.,La capture d'un ichtyosaure a renforcé votre sentiment qu'il y a un courant poissonneux à proximité !,La capture d'un ichtyosaure vous donne la certitude qu'il y a un courant poissonneux à proximité !,Un courant poissonneux s'est formé à proximité !!
3,La capture d'une perche flamboyante vous fait penser qu'il y a un courant poissonneux à proximité.,La capture d'une perche flamboyante a renforcé votre sentiment qu'il y a un courant poissonneux à proximité !,La capture d'une perche flamboyante vous donne la certitude qu'il y a un courant poissonneux à proximité !,Un courant poissonneux s'est formé à proximité !!
4,La capture d'un crabe mercenaire vous fait penser qu'il y a un courant poissonneux à proximité.,La capture d'un crabe mercenaire a renforcé votre sentiment qu'il y a un courant poissonneux à proximité !,La capture d'un crabe mercenaire vous donne la certitude qu'il y a un courant poissonneux à proximité !,Un courant poissonneux s'est formé à proximité !!
5,La capture d'un ichimonji vous fait penser qu'il y a un courant poissonneux à proximité.,La capture d'un ichimonji a renforcé votre sentiment qu'il y a un courant poissonneux à proximité !,La capture d'un ichimonji vous donne la certitude qu'il y a un courant poissonneux à proximité !,Un courant poissonneux s'est formé à proximité !!
6,La capture d'un sang-bleu vous fait penser qu'il y a un courant poissonneux à proximité.,La capture d'un sang-bleu a renforcé votre sentiment qu'il y a un courant poissonneux à proximité !,La capture d'un sang-bleu vous donne la certitude qu'il y a un courant poissonneux à proximité !,Un courant poissonneux s'est formé à proximité !!
7,La capture d'un rubis de Sauldia vous fait penser qu'il y a un courant poissonneux à proximité. ,La capture d'un rubis de Sauldia a renforcé votre sentiment qu'il y a un courant poissonneux à proximité !,La capture d'un rubis de Sauldia vous donne la certitude qu'il y a un courant poissonneux à proximité !,Un courant poissonneux s'est formé à proximité !!
8,La capture d'une écaille de bois vous fait penser qu'il y a un courant poissonneux à proximité.,La capture d'une écaille de bois a renforcé votre sentiment qu'il y a un courant poissonneux à proximité !,La capture d'une écaille de bois vous donne la certitude qu'il y a un courant poissonneux à proximité !,Un courant poissonneux s'est formé à proximité !!
9,La capture d'une roussette tigrée vous fait penser qu'il y a un courant poissonneux à proximité.,La capture d'une roussette tigrée a renforcé votre sentiment qu'il y a un courant poissonneux à proximité !,La capture d'une roussette tigrée vous donne la certitude qu'il y a un courant poissonneux à proximité !,Un courant poissonneux s'est formé à proximité !!
10,La capture d'un mérou insulaire vous fait penser qu'il y a un courant poissonneux à proximité.,La capture d'un mérou insulaire a renforcé votre sentiment qu'il y a un courant poissonneux à proximité !,La capture d'un mérou insulaire vous donne la certitude qu'il y a un courant poissonneux à proximité !,Un courant poissonneux s'est formé à proximité !!
11,La capture d'un poisson de Ligaka vous fait penser qu'il y a un courant poissonneux à proximité.,La capture d'un poisson de Ligaka a renforcé votre sentiment qu'il y a un courant poissonneux à proximité !,La capture d'un poisson de Ligaka vous donne la certitude qu'il y a un courant poissonneux à proximité !,Un courant poissonneux s'est formé à proximité !!
12,La capture d'un discus étincelant vous fait penser qu'il y a un courant poissonneux à proximité.,La capture d'un discus étincelant a renforcé votre sentiment qu'il y a un courant poissonneux à proximité !,La capture d'un discus étincelant vous donne la certitude qu'il y a un courant poissonneux à proximité !,Un courant poissonneux s'est formé à proximité !!
