#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Type
0,,,,,,0,0,0,1,0,0,0,0,0
1,ceinture de force,ceintures de force,Ceinture de force,PV maximums +20%,Bonus de PV,0,0,0,1,1,0,243001,98,1
2,anneau de substitution,anneaux de substitution,Anneau de substitution,"Effet spécial : la bête est sacrifiée pour réanimer le joueur en cas de K.O.
Sans effet si aucune bête n'est appelée.",Résurrection par sacrifice en cas de K.O.,0,0,1,1,0,0,243002,35,1
3,bague revigorante,bagues revigorantes,Bague revigorante,Effet spécial : restaure 25% des PV du joueur à la fin des combats.,PV restaurés en fin de combat,0,0,0,1,1,0,243003,175,1
4,sac d'alchimiste,sacs d'alchimiste,Sac d'alchimiste,Effet spécial : octroie une Potion de bête au hasard en sortant de la tente.,Potion de bête obtenue en sortant de la tente,0,0,0,1,0,0,243004,35,1
5,chapeau de rituel,chapeaux de rituel,Chapeau de rituel,Dégâts magiques subis -10%,Vulnérabilité magique diminuée,0,0,0,1,0,0,243005,56,1
6,armure en acier,armures en acier,Armure en acier,Dégâts physiques subis -15%,Vulnérabilité physique diminuée,0,0,1,1,1,0,243006,63,1
7,couronne sauvage,couronnes sauvages,Couronne sauvage,"Dégâts physiques infligés +10%
Chances de critiques +3%
Effet spécial : les propriétés de cette pièce d'équipement de dressage s'appliquent également à la bête appelée.","Bonus de dégâts physiques, chances de critiques améliorées (bête incluse)",0,0,0,1,1,0,243007,190,1
8,bâton de sagesse,bâtons de sagesse,Bâton de sagesse,"Dégâts magiques infligés +20%
Effet spécial : les propriétés de cette pièce d'équipement de dressage s'appliquent également à la bête appelée.",Bonus de dégâts magiques (bête incluse),0,0,0,1,0,0,243008,190,1
9,poignet de force,poignets de force,Poignet de force,"Dégâts physiques infligés +12%
Esquive +3%","Bonus de dégâts physiques, esquive augmentée",0,0,0,1,0,0,243009,174,1
10,hachimaki noué,hachimaki noués,Hachimaki noué,"Dégâts physiques infligés +5%
Dégâts physiques subis -5%","Bonus de dégâts physiques, vulnérabilité physique diminuée",0,0,0,1,0,0,243010,84,1
11,béret vert,bérets verts,Béret vert,"Puissance des attaques critiques +35
Dégâts infligés +3%
PV maximums +7%","Bonus de critiques, bonus de dégâts, bonus de PV",0,0,0,1,0,0,243011,174,1
12,paire de bottes mystiques,paires de bottes mystiques,Bottes mystiques,"Esquive +8%
Vitesse de déplacement +50%
Effet spécial : augmente de 15% les effets curatifs des actions et des objets du Dédale que vous utilisez.","Esquive augmentée, vitesse de déplacement augmentée, effets curatifs améliorés",0,0,0,1,1,0,243012,91,1
13,bague de préservation,bagues de préservation,Bague de préservation,"Dégâts subis -10%
PV maximums +7%","Réduction des dégâts subis, bonus de PV",0,0,0,1,1,0,243013,104,1
