#,Text,SelfKind,TargetKind,NumParam,FCActivityCategory,IconType
0,,0,0,0,0,-1
1,La compagnie libre a été fondée.,0,0,0,1,0
2,La compagnie monte au rang UNKNOWN !,0,0,1,1,0
3,L'affinité avec  passe à  !,1,0,1,1,5
4,L'affinité avec  passe à  !,1,0,1,1,6
5,L'affinité avec  passe à  !,1,0,1,1,7
6,Obtention du privilège “”.,0,0,1,1,0
7,Vous avez rejoint la compagnie.,4,0,0,2,1
8,Vous avez rejoint la compagnie.,4,0,0,2,1
9,Vous avez quitté la compagnie.,4,0,0,2,2
10,Vous avez été exclu de la compagnie.,4,0,0,2,2
11,Vous avez été nommé “”.,4,5,0,2,3
12,Vous avez été promu “”.,4,5,0,2,3
13,Vous êtes devenu “”.,4,5,0,2,3
14,La compagnie prête désormais allégeance .,0,1,0,1,5
15,La compagnie prête désormais allégeance .,0,1,0,1,6
16,La compagnie prête désormais allégeance .,0,1,0,1,7
17,Vous avez modifié les paramètres du rang “”.,4,5,0,3,3
18,Vous avez ajouté le rang “”.,4,5,0,3,3
19,Vous avez supprimé le rang “”.,4,5,0,3,3
20,Vous avez modifié la hiérarchie des rangs.,4,0,0,3,3
21,Vous avez modifié les paramètres “[UNKNOWN] ” du coffre de compagnie.,4,6,1,0,-1
22,Vous avez modifié l'onglet “Gils” du coffre de compagnie.,4,0,0,0,-1
23,Vous avez modifié l'onglet “Cristaux” du coffre de compagnie.,4,0,0,0,-1
24,Vous avez changé l'annonce de la compagnie.,4,0,0,3,4
25,Vous avez mis à jour le profil de la compagnie.,4,0,0,3,4
26,Vous avez modifié le blason de la compagnie.,4,0,0,3,8
27,Vous avez acheté le bienfait “”.,4,0,1,4,9
28,Vous avez activé le bienfait “”.,4,0,1,4,9
29,Cette activité a été effacée.,0,0,0,0,4
30,Vous avez changé le nom du rang en “”.,4,5,0,3,3
31,Vous avez annulé le bienfait “”.,4,0,1,4,9
32,Vous avez enlevé le bienfait “”.,4,0,1,4,9
33,Le sigle de la compagnie a été changé en “”.,0,3,0,3,4
34,Le nom de la compagnie a été changé en “”.,0,2,0,3,4
35,Vous avez changé le nom de la maison située à  (UNKNOWN-UNKNOWN) en “”.,4,9,0,5,11
36,Vous avez changé le message d'accueil de “”.,4,8,0,5,11
37,Vous avez acheté le terrain UNKNOWN-UNKNOWN de .,4,7,0,5,11
38,Vous avez cédé le terrain UNKNOWN-UNKNOWN de .,4,7,0,5,11
39,Le terrain UNKNOWN-UNKNOWN de  a été cédé au­to­ma­ti­que­ment.,0,7,0,5,11
40,Vous avez construit  sur le terrain UNKNOWN-UNKNOWN de .,4,7,1,5,11
41,Vous avez démoli “”.,4,8,0,5,11
42,Vous avez modifié l'extérieur de “”.,4,8,0,5,11
43,Vous avez modifié l'intérieur de “”.,4,8,0,5,11
44,Vous avez changé la disposition des meubles de “”.,4,8,0,5,11
45,Vous avez changé la disposition du mobilier de jardin de “”.,4,8,0,5,11
46,Vous avez effacé un ou plusieurs messages du livre de cor­res­pon­dance de “”.,4,8,0,5,11
47,Vous a déposé sa candidature.,4,0,0,2,12
48,Vous a annulé sa candidature.,4,0,0,2,12
49,Vous a supprimé son personnage.,4,0,0,2,12
50,La candidature de vous a été refusée.,4,0,0,2,12
51,Le nombre limite de candidatures est atteint.,0,0,0,2,12
52,Vous avez planté  ().,4,10,1,6,13
53,Vous avez utilisé  ().,4,10,1,6,13
54,Vous avez entretenu un semis ().,4,10,0,6,13
55,Vous avez récolté UNKNOWN  ().,4,11,1,6,13
56,"En outre, l'hybridation ayant été couronnée de succès, 1  a été obtenu.",0,11,1,6,13
57,Vous avez perdu le titre de  de la compagnie en raison d'une absence prolongée.,4,5,0,2,3
58,Vous avez arraché un semis ().,4,10,0,6,13
59,Vous avez aménagé une chambre individuelle.,4,0,1,5,11
60,Vous avez détruit une chambre individuelle.,4,0,1,5,11
61,Vous avez nettoyé l'écurie à chocobos.,4,0,0,7,11
62,Vous avez entraîné .,4,12,0,7,11
63,Vous avez installé  dans l'emplacement UNKNOWN.,16,14,1,5,11
64,Vous avez retiré  de l'emplacement UNKNOWN.,16,14,1,5,11
65,Vous avez récupéré  de l'emplacement UNKNOWN.,16,14,1,5,11
66,Vous avez converti  et obtenu le bienfait inactif “”.,16,14,1,4,9
67,Vous avez aménagé un atelier de compagnie.,16,0,0,8,15
68,Vous avez détruit l'atelier de compagnie.,16,0,0,8,15
69,La con­struc­tion d' a commencé à l'atelier de compagnie.,16,14,0,8,15
70,Tous les matériaux nécessaires à la progression de la con­struc­tion  ont été fournis.,0,14,0,8,15
71,La progression de la con­struc­tion  est normale.,0,14,1,8,15
72,La con­struc­tion  est terminée !,0,14,1,8,15
73,Vous avez retiré  de l'installation de con­struc­tion de l'atelier.,16,14,0,8,15
74,Vous avez interrompu le projet de con­struc­tion.,16,0,0,8,15
75,Vous avez créé un .,16,0,1,8,15
76,Vous avez enregistré l'aéronef de compagnie n°UNKNOWN **.,16,15,1,9,14
77,Vous avez renommé l'aéronef de compagnie n°UNKNOWN “**”.,16,15,1,9,14
78,Vous avez démonté l'aéronef de compagnie n°UNKNOWN (**).,16,15,1,9,14
79,Vous avez expédié l'aéronef de compagnie **.,16,15,0,9,14
80,Vous avez rappelé l'aéronef de compagnie **.,16,15,0,9,14
81,Vous avez finalisé l'expédition d'exploration de l'aéronef **.,16,15,0,9,14
82,L'aéronef ** a atteint le rang UNKNOWN.,16,15,1,9,14
83,"Grâce aux résultats de **, la compagnie libre a le droit d'enregistrer un UNKNOWNème aéronef !",16,15,1,9,14
84,Vous avez échangé 0 crédit de compagnie contre .,16,22,1,1,0
85,Vous avez fourni en UNKNOWN fois plus de 60%  nécessaires pour .,16,22,1,8,15
86,Vous avez ouvert la voie aérienne vers “Le Diadème (brutal)”.,16,0,0,9,14
87,"Aucune activité n'y ayant eu lieu pendant une longue période, le terrain situé sur la parcelle UNKNOWN du secteur UNKNOWN de  a été cédé.",0,7,0,5,11
88,La cession automatique du terrain a été annulée par votre entrée dans la maison.,16,0,0,5,11
89,"Le délai de récupération étant passé, les objets provenant du terrain sur la parcelle UNKNOWN du secteur UNKNOWN de  ont été détruits.",0,7,0,5,11
90,Vous avez planté  (pot de fleurs).,16,14,0,6,13
91,Vous avez entretenu un semis (pot de fleurs).,16,0,0,6,13
92,Vous avez récolté UNKNOWN  (pot de fleurs).,16,14,1,6,13
93,Vous avez arraché un semis (pot de fleurs).,16,0,0,6,13
94,Vous avez transféré la maison vers le terrain UNKNOWN-UNKNOWN de .,4,7,0,5,11
95,Vous avez enregistré le sous-marin de compagnie n°UNKNOWN **.,16,15,1,9,14
96,Vous avez renommé le sous-marin de compagnie n°UNKNOWN “**”.,16,15,1,9,14
97,Vous avez démonté le sous-marin de compagnie n°UNKNOWN (**).,16,15,1,9,14
98,Vous avez expédié le sous-marin de compagnie **.,16,15,0,9,14
99,Vous avez rappelé le sous-marin de compagnie **.,16,15,0,9,14
100,Vous avez finalisé l'expédition d'exploration du sous-marin **.,16,15,0,9,14
101,Le sous-marin ** a atteint le rang UNKNOWN.,16,15,1,9,14
102,"Grâce aux résultats de **, la compagnie libre a le droit d'enregistrer un UNKNOWNème sous-marin !",16,15,1,9,14
103,Vous avez supprimé le message de .,16,23,0,5,11
104,Vous avez modifié les paramètres du livre de cor­res­pon­dance.,16,0,0,5,11
105,Vous avez indiqué des attraits pour votre logement.,16,0,0,5,11
106,Vous avez modifié l'agencement des éléments d'intérieur de .,16,15,0,5,11
107,,0,0,0,0,0
