#,Singular,Plural,Name,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,ModelTop,ModelBody,ModelLegs,IconHead,IconBody,IconLegs,GrandCompany,Order
0,harnachement en cuir,harnachements en cuir,Harnachement en cuir,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,harnachement du Maelstrom,harnachements du Maelstrom,Harnachement du Maelstrom,0,0,0,1,0,0,65538,65541,65538,58549,58553,58551,1,1
2,demi-barde du Maelstrom,demi-bardes du Maelstrom,Demi-barde du Maelstrom,0,0,0,1,1,0,65542,65542,65542,58501,58502,58503,1,2
3,barde du Maelstrom,bardes du Maelstrom,Barde du Maelstrom,0,0,0,1,1,0,131078,131078,131078,58504,58505,58506,1,3
4,barde lourde du Maelstrom,bardes lourde du Maelstrom,Barde lourde du Maelstrom,0,0,0,1,1,0,196614,196614,196614,58507,58508,58509,1,4
5,harnachement des Deux Vipères,harnachements des Deux Vipères,Harnachement des Deux Vipères,0,0,0,1,0,0,65538,131077,65538,58549,58556,58551,2,5
6,demi-barde des Deux Vipères,demi-bardes des Deux Vipères,Demi-barde des Deux Vipères,0,0,0,1,1,0,65543,65543,65543,58510,58511,58512,2,6
7,barde des Deux Vipères,bardes des Deux Vipères,Barde des Deux Vipères,0,0,0,1,1,0,131079,131079,131079,58513,58514,58515,2,7
8,barde lourde des Deux Vipères,bardes lourdes des Deux Vipères,Barde lourde des Deux Vipères,0,0,0,1,1,0,196615,196615,196615,58516,58517,58518,2,8
9,harnachement des Immortels,harnachements des Immortels,Harnachement des Immortels,0,0,0,1,0,0,65538,196613,65538,58549,58559,58551,3,9
10,demi-barde des Immortels,demi-bardes des Immortels,Demi-barde des Immortels,0,0,0,1,1,0,65544,65544,65544,58519,58520,58521,3,10
11,barde des Immortels,bardes des Immortels,Barde des Immortels,0,0,0,1,1,0,131080,131080,131080,58522,58523,58524,3,11
12,barde lourde des Immortels,bardes lourde des Immortels,Barde lourde des Immortels,0,0,0,1,1,0,196616,196616,196616,58525,58526,58527,3,12
13,barde de paladin,bardes de paladin,Barde de paladin,0,0,0,1,1,0,65546,65546,65546,58528,58529,58530,0,13
14,barde de chevalier dragon,bardes de chevalier dragon,Barde de chevalier dragon,0,0,0,1,1,0,65547,65547,65547,58531,58532,58533,0,14
15,barde de mage blanc,bardes de mage blanc,Barde de mage blanc,0,0,0,1,1,0,65549,65549,65549,58534,58535,58536,0,15
16,barde de Sleipnir,bardes de Sleipnir,Barde de Sleipnir,0,0,0,1,1,0,65550,65550,65550,58537,58538,58539,0,171
17,barde de béhémoth,bardes de béhémoth,Barde de béhémoth,0,0,0,1,1,0,65551,65551,65551,58540,58541,58542,0,172
18,chanfrein d'aviateur,chanfreins d'aviateur,Chanfrein d'aviateur,0,0,0,1,0,0,65555,0,0,58543,0,0,0,51
19,barde de mage noir,bardes de mage noir,Barde de mage noir,0,0,0,1,1,0,65548,65548,65548,58546,58547,58548,0,21
20,chanfrein du roi chocobo,chanfreins du roi chocobo,Chanfrein du roi chocobo,0,0,0,1,0,0,65553,0,0,58561,0,0,0,52
21,barde de la fête des étoiles,bardes de la fête des étoiles,Barde de la fête des étoiles,0,0,0,1,1,0,65540,65540,65540,58564,58565,58566,0,101
22,barde de Léviathan,bardes de Léviathan,Barde de Léviathan,0,0,0,1,1,0,65556,65556,65556,58567,58568,58569,0,125
23,barde de la Lumière,bardes de la Lumière,Barde de la Lumière,0,0,0,1,1,0,65557,65557,65557,58570,58571,58572,0,41
24,chanfrein ovoïde,chanfreins ovoïde,Chanfrein ovoïde,0,0,0,1,0,0,65558,0,0,58573,0,0,0,102
25,barde de Ramuh,bardes de Ramuh,Barde de Ramuh,0,0,0,1,1,0,65560,65560,65560,58576,58577,58578,0,126
26,chanfrein à panache,chanfreins à panache,Chanfrein à panache,0,0,0,1,0,0,65559,0,0,58579,0,0,0,53
27,barde d'effroi,bardes d'effroi,Barde d'effroi,0,0,0,1,1,0,65561,65561,65561,58582,58583,58584,0,103
28,barde de Shiva,bardes de Shiva,Barde de Shiva,0,0,0,1,1,0,65562,65562,65562,58585,58586,58587,0,127
29,barde de flambeur,bardes de flambeur,Barde de flambeur,0,0,0,1,1,0,65565,65565,65565,58591,58592,58593,0,42
30,barde de soupirant,bardes de soupirant,Barde de soupirant,0,0,0,1,1,0,65566,65566,65566,58588,58589,58590,0,104
31,demi-barde ishgardaise,demi-bardes ishgardaises,Demi-barde ishgardaise,0,0,0,1,1,0,65567,65567,65567,58594,58595,58596,0,54
32,barde ishgardaise,bardes ishgardaises,Barde ishgardaise,0,0,0,1,1,0,131103,131103,131103,58597,58598,58599,0,55
33,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,barde de Bismarck,bardes de Bismarck,Barde de Bismarck,0,0,0,1,1,0,65568,65568,65568,58603,58604,58605,0,128
35,barde de Ravana,bardes de Ravana,Barde de Ravana,0,0,0,1,1,0,65569,65569,65569,58606,58607,58608,0,129
36,barde noble,bardes nobles,Barde noble,0,0,0,1,1,0,65570,65570,65570,58609,58610,58611,0,57
37,barde orthodoxe,bardes orthodoxes,Barde orthodoxe,0,0,0,1,1,0,131106,131106,131106,58612,58613,58614,0,58
38,barde des Hautes terres,bardes des Hautes terres,Barde des Hautes terres,0,0,0,1,1,0,65571,65571,65571,58615,58616,58617,0,59
39,barde de la rose sauvage,bardes de la rose sauvage,Barde de la rose sauvage,0,0,0,1,1,0,65573,65573,65573,58618,58619,58620,0,43
40,barde de la Table ronde,bardes de la Table ronde,Barde de la Table ronde,0,0,0,1,1,0,65574,65574,65574,58621,58622,58623,0,130
41,barde de Sephirot,bardes de Sephirot,Barde de Sephirot,0,0,0,1,1,0,65572,65572,65572,58624,58626,58625,0,131
42,barde de chasseur de Prœufs,bardes de chasseur de Prœufs,Barde de chasseur de Prœufs,0,0,0,1,1,0,65575,65575,65575,58627,58629,58628,0,105
