#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,gâteau cœur à la rolanbaie,4,10,16,22,0,0,0,0,4,4,4,4,0,0,0,0
2,gâteau cœur à la rolanbaie,4,7,8,13,14,22,0,0,4,2,2,2,2,4,0,0
3,gâteau Mog à la rolanbaie,4,8,11,14,15,19,0,0,4,2,2,2,2,4,0,0
4,gâteau Mog à la rolanbaie,4,11,10,17,16,19,0,0,4,2,2,2,2,4,0,0
5,gâteau œufs choco à la rolanbaie,4,9,7,15,17,20,0,0,4,2,2,2,2,4,0,0
6,gâteau œufs choco à la rolanbaie,4,10,11,16,13,20,0,0,4,2,2,2,2,4,0,0
7,gâteau chocobo à la rolanbaie,4,7,11,13,15,23,0,0,4,2,2,2,2,4,0,0
8,gâteau chocobo à la rolanbaie,4,8,9,14,16,23,0,0,4,2,2,2,2,4,0,0
9,gâteau pampa à la rolanbaie,4,11,9,17,14,21,0,0,4,2,2,2,2,4,0,0
10,gâteau pampa à la rolanbaie,4,9,10,15,16,21,0,0,4,2,2,2,2,4,0,0
11,gâteau cœur à la crème fouettée,1,7,8,16,14,22,0,0,4,2,2,2,2,4,0,0
12,gâteau cœur à la crème fouettée,1,8,11,13,14,22,0,0,4,2,2,2,2,4,0,0
13,gâteau Mog à la crème fouettée,1,7,13,19,0,0,0,0,4,4,4,4,0,0,0,0
14,gâteau Mog à la crème fouettée,1,11,10,14,17,19,0,0,4,2,2,2,2,4,0,0
15,gâteau œufs choco à la crème fouettée,1,9,7,17,13,20,0,0,4,2,2,2,2,4,0,0
16,gâteau œufs choco à la crème fouettée,1,10,11,15,16,20,0,0,4,2,2,2,2,4,0,0
17,gâteau chocobo à la crème fouettée,1,7,11,13,16,23,0,0,4,2,2,2,2,4,0,0
18,gâteau chocobo à la crème fouettée,1,8,9,14,17,23,0,0,4,2,2,2,2,4,0,0
19,gâteau pampa à la crème fouettée,1,11,9,17,15,21,0,0,4,2,2,2,2,4,0,0
20,gâteau pampa à la crème fouettée,1,9,10,15,13,21,0,0,4,2,2,2,2,4,0,0
21,gâteau cœur au chocolat,2,9,10,13,17,22,0,0,4,2,2,2,2,4,0,0
22,gâteau cœur au chocolat,2,11,9,14,15,22,0,0,4,2,2,2,2,4,0,0
23,gâteau Mog au chocolat,2,8,9,17,16,19,0,0,4,2,2,2,2,4,0,0
24,gâteau Mog au chocolat,2,7,11,15,17,19,0,0,4,2,2,2,2,4,0,0
25,gâteau œufs choco au chocolat,2,8,14,20,0,0,0,0,4,4,4,4,0,0,0,0
26,gâteau œufs choco au chocolat,2,10,11,13,15,20,0,0,4,2,2,2,2,4,0,0
27,gâteau chocobo au chocolat,2,9,7,14,17,23,0,0,4,2,2,2,2,4,0,0
28,gâteau chocobo au chocolat,2,11,10,17,15,23,0,0,4,2,2,2,2,4,0,0
29,gâteau pampa au chocolat,2,8,11,15,17,21,0,0,4,2,2,2,2,4,0,0
30,gâteau pampa au chocolat,2,7,8,16,13,21,0,0,4,2,2,2,2,4,0,0
31,gâteau cœur au citron,5,11,10,13,17,22,0,0,4,2,2,2,2,4,0,0
32,gâteau cœur au citron,5,8,11,14,17,22,0,0,4,2,2,2,2,4,0,0
33,gâteau Mog au citron,5,7,8,15,13,19,0,0,4,2,2,2,2,4,0,0
34,gâteau Mog au citron,5,8,11,14,17,19,0,0,4,2,2,2,2,4,0,0
35,gâteau œufs choco au citron,5,10,11,15,17,20,0,0,4,2,2,2,2,4,0,0
36,gâteau œufs choco au citron,5,9,7,13,14,20,0,0,4,2,2,2,2,4,0,0
37,gâteau chocobo au citron,5,11,17,23,0,0,0,0,4,4,4,4,0,0,0,0
38,gâteau chocobo au citron,5,11,9,14,15,23,0,0,4,2,2,2,2,4,0,0
39,gâteau pampa au citron,5,8,9,17,13,21,0,0,4,2,2,2,2,4,0,0
40,gâteau pampa au citron,5,7,11,15,13,21,0,0,4,2,2,2,2,4,0,0
41,gâteau cœur à la pistache,3,7,8,16,15,22,0,0,4,2,2,2,2,4,0,0
42,gâteau cœur à la pistache,3,8,10,14,13,22,0,0,4,2,2,2,2,4,0,0
43,gâteau Mog à la pistache,3,10,11,15,13,19,0,0,4,2,2,2,2,4,0,0
44,gâteau Mog à la pistache,3,9,7,17,16,19,0,0,4,2,2,2,2,4,0,0
45,gâteau œufs choco à la pistache,3,11,9,15,14,20,0,0,4,2,2,2,2,4,0,0
46,gâteau œufs choco à la pistache,3,8,9,13,16,20,0,0,4,2,2,2,2,4,0,0
47,gâteau chocobo à la pistache,3,7,11,16,15,23,0,0,4,2,2,2,2,4,0,0
48,gâteau chocobo à la pistache,3,11,10,14,13,23,0,0,4,2,2,2,2,4,0,0
49,gâteau pampa à la pistache,3,9,15,21,0,0,0,0,4,4,4,4,0,0,0,0
50,gâteau pampa à la pistache,3,8,11,16,14,21,0,0,4,2,2,2,2,4,0,0
51,délice de l'aventurier,6,12,18,24,0,0,0,0,4,4,4,4,0,0,0,0
