#,Name,Description,Icon,ParamModifier,VFX,Log,Unknown0,MaxStacks,ClassJobCategory,StatusCategory,HitEffect,PartyListPriority,CanIncreaseRewards,ParamEffect,TargetType,Flags,Flag2,Unknown_70_1,Unknown2,LockMovement,Unknown3,LockActions,LockControl,Transfiguration,IsGaze,CanDispel,InflictedByActor,IsPermanent,NoLogVfx,Unknown5,CanStatusOff,IsFcBuff,Invisibility,Unknown6,Unknown_70_2,Unknown7
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,Pétrification,Une rigidité semblable à celle de la pierre empêche toute action.,215001,0,1,0,85,0,1,2,6,100,0,0,0,32,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,Étourdissement,Toute action est impossible.,215004,0,2,0,0,0,1,2,3,100,0,0,0,0,0,0,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3,Sommeil,Le sommeil empêche toute action.,215013,0,3,0,1,0,1,2,2,100,0,0,0,3,0,0,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
4,Évanouissement,Une perte momentanée de conscience empêche toute action.,215003,0,0,0,1,0,1,2,8,100,0,0,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Amnésie,L'utilisation d'aptitudes est impossible.,215015,0,0,0,0,0,1,2,15,100,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
6,Pacification,L'utilisation de techniques d'arme est impossible.,215017,0,0,0,0,0,1,2,14,100,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7,Silence,Le lancement de sorts est impossible.,215005,0,0,0,2,0,1,2,7,100,0,0,0,22,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
8,Hâte,"La vitesse des attaques automatiques est augmentée, et les temps de lancement et de recharge des sorts et des techniques d'arme sont réduits.",215008,-15,0,0,5,0,1,1,16,1,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,Lenteur,"La vitesse des attaques automatiques est réduite, et les temps de lancement et de recharge des sorts et des techniques d'arme sont allongés.",215009,15,0,0,5,0,1,2,13,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
10,Lenteur,"Les mouvements sont gênés par une constriction. La vitesse des attaques automatiques est réduite, et les temps de lancement et de recharge des sorts et des techniques d'arme sont allongés.",215545,20,0,0,5,0,1,2,13,50,0,0,0,0,0,0,0,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False
