#,Name,Icon,SortKey
0,Non défini,61762,0
1,Donjons,61801,20
2,Défis,61804,21
3,Raids,61802,22
4,Raids fatals,61832,23
5,Donjons sans fond,61824,30
6,Missions d'exploration,61837,31
7,JcJ,61806,40
8,Mage bleu,61836,51
9,Chasse aux trésors,61808,52
10,Contrat de chasse,61819,53
11,Artisanat,61816,100
12,Récolte,61755,101
13,Pêche,61756,102
14,Épopée,61757,10
15,Gold Saucer,61820,54
16,Missions aléatoires,61807,50
17,Gain de niveau,61752,150
18,Jeu de rôle,61751,151
19,Jeu intense,61754,153
20,Jeu relax,61753,152
21,Débutant,61823,154
22,Mentor,61760,155
23,Gain de gils,61758,200
24,Pose de groupe,61764,205
25,Mirage,61759,204
26,Interprétation musicale,61763,203
27,Bavardage,61765,206
28,Logement,61761,202
29,Organisation d'événements,61766,207
30,Hauts faits,61767,201
31,Donjons spéciaux,61846,32
32,Mahjong domien,61768,55
33,Félicité insulaire,61847,56
