#,Name,Description,ExpeditionParams[0].RewardItem,ExpeditionParams[0].RequiredPhysical,ExpeditionParams[0].RequiredMental,ExpeditionParams[0].RequiredTactical,ExpeditionParams[0].RewardQuantity,ExpeditionParams[0].PercentPhysicalMet,ExpeditionParams[0].PercentMentalMet,ExpeditionParams[0].PercentTacticalMet,ExpeditionParams[0].PercentAllMet,ExpeditionParams[1].RewardItem,ExpeditionParams[1].RequiredPhysical,ExpeditionParams[1].RequiredMental,ExpeditionParams[1].RequiredTactical,ExpeditionParams[1].RewardQuantity,ExpeditionParams[1].PercentPhysicalMet,ExpeditionParams[1].PercentMentalMet,ExpeditionParams[1].PercentTacticalMet,ExpeditionParams[1].PercentAllMet,ExpeditionParams[2].RewardItem,ExpeditionParams[2].RequiredPhysical,ExpeditionParams[2].RequiredMental,ExpeditionParams[2].RequiredTactical,ExpeditionParams[2].RewardQuantity,ExpeditionParams[2].PercentPhysicalMet,ExpeditionParams[2].PercentMentalMet,ExpeditionParams[2].PercentTacticalMet,ExpeditionParams[2].PercentAllMet,ExpeditionParams[3].RewardItem,ExpeditionParams[3].RequiredPhysical,ExpeditionParams[3].RequiredMental,ExpeditionParams[3].RequiredTactical,ExpeditionParams[3].RewardQuantity,ExpeditionParams[3].PercentPhysicalMet,ExpeditionParams[3].PercentMentalMet,ExpeditionParams[3].PercentTacticalMet,ExpeditionParams[3].PercentAllMet,ExpeditionParams[4].RewardItem,ExpeditionParams[4].RequiredPhysical,ExpeditionParams[4].RequiredMental,ExpeditionParams[4].RequiredTactical,ExpeditionParams[4].RewardQuantity,ExpeditionParams[4].PercentPhysicalMet,ExpeditionParams[4].PercentMentalMet,ExpeditionParams[4].PercentTacticalMet,ExpeditionParams[4].PercentAllMet,ExpeditionParams[5].RewardItem,ExpeditionParams[5].RequiredPhysical,ExpeditionParams[5].RequiredMental,ExpeditionParams[5].RequiredTactical,ExpeditionParams[5].RewardQuantity,ExpeditionParams[5].PercentPhysicalMet,ExpeditionParams[5].PercentMentalMet,ExpeditionParams[5].PercentTacticalMet,ExpeditionParams[5].PercentAllMet,RewardExperience,RequiredSeals,RequiredFlag,UnlockFlag,RequiredLevel,PercentBase,Unknown0,GcArmyExpeditionType
0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Patrouille urbaine,Simple patrouille à l'intérieur de Limsa Lominsa pour assurer la sécurité des citoyens.,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,0,145,140,140,0,20,20,20,20,7500,0,5,8,1,100,0,1
2,Liaison vers poste avancé,Ordre de transmettre un message important aux hommes du poste de Nevelle.,0,165,160,160,0,20,20,20,20,0,165,160,160,0,20,20,20,20,0,165,170,150,0,20,20,20,20,0,150,170,165,0,20,20,20,20,0,160,150,175,0,20,20,20,20,0,150,160,175,0,20,20,20,20,7500,500,8,0,1,20,0,1
3,Patrouille périphérique,Ordre de patrouiller sur les routes de la Noscea centrale et d'éliminer les créatures pouvant attaquer les voyageurs et marchands.,0,245,155,200,0,20,20,20,20,0,245,200,155,0,20,20,20,20,0,150,255,195,0,20,20,20,20,0,195,255,150,0,20,20,20,20,0,155,195,250,0,20,20,20,20,0,195,155,250,0,20,20,20,20,9000,500,8,0,1,20,0,1
4,Repérage de positions hommes-bêtes,Des Kobolds auraient été aperçus dans la Basse-Noscea. Ordre d'aller sur place et d'observer les mouvements de l'ennemi.,0,150,255,195,0,20,20,20,20,0,195,155,250,0,20,20,20,20,0,155,195,250,0,20,20,20,20,0,245,200,155,0,20,20,20,20,0,245,155,200,0,20,20,20,20,0,195,255,150,0,20,20,20,20,10500,500,8,0,5,20,0,1
5,Escorte d'une unité de ravitaillement,Ordre d'escorter une unité de ra­vi­tail­le­ment jusqu'au camp de la vallée du Crâne et d'en assurer la sécurité à tout prix.,0,210,125,310,0,20,20,20,20,0,125,210,310,0,20,20,20,20,0,305,210,130,0,20,20,20,20,0,305,130,210,0,20,20,20,20,0,210,320,115,0,20,20,20,20,0,115,320,210,0,20,20,20,20,12000,500,8,0,10,20,0,1
6,Extermination de créatures gênantes,Des habitants de la Noscea centrale ont réclamé l'extermination de goobbues qui gênent leurs activités.,14945,140,225,325,1,20,20,20,20,14945,225,140,325,1,20,20,20,20,14945,320,145,225,1,20,20,20,20,14945,320,225,145,1,20,20,20,20,14945,130,335,225,1,20,20,20,20,14945,225,335,130,1,20,20,20,20,13500,500,8,0,15,20,0,1
7,Élimination d'être du néant (important),Un démon mineur a été aperçu près du canyon des Chuchotements. Ordre de l'éliminer avant qu'il n'occasionne des pertes civiles.,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,15772,225,205,230,1,0,0,0,100,21000,2000,10,12,20,0,0,1
8,Soutien aux unités avancées,L'unité en poste au camp de la vallée du Crâne a demandé du soutien pour faire face à un assaut des Kobolds.,0,265,140,420,0,20,20,20,20,0,410,145,270,0,20,20,20,20,0,265,435,125,0,20,20,20,20,0,140,265,420,0,20,20,20,20,0,410,270,145,0,20,20,20,20,0,125,435,265,0,20,20,20,20,15000,1000,12,0,20,20,0,2
9,Escorte d'officier de l'Alliance,Ordre d'assurer la sécurité d'un officier de l'ordre des Deux Vipères qui doit venir dans notre cité pour une importante réunion d'état-major de l'Alliance éorzéenne.,0,270,440,130,0,20,20,20,20,0,130,440,270,0,20,20,20,20,0,270,145,425,0,20,20,20,20,0,145,270,425,0,20,20,20,20,0,415,275,150,0,20,20,20,20,0,415,150,275,0,20,20,20,20,16500,1000,12,0,20,20,0,2
10,Patrouille des routes éloignées,Ordre de patrouiller sur les routes de la Noscea orientale afin d'assurer les principaux axes de circulation et de commerce.,0,425,285,160,0,20,20,20,20,0,140,450,280,0,20,20,20,20,0,280,155,435,0,20,20,20,20,0,425,160,285,0,20,20,20,20,0,280,450,140,0,20,20,20,20,0,155,280,435,0,20,20,20,20,19500,1000,12,0,25,20,0,2
11,Espionnage de base homme-bête,Ordre de pénétrer dans l'excavation kobolde et d'obtenir des in­for­ma­tions sur les activités ennemies. Le recours à la force est autorisé.,0,170,295,450,0,20,20,20,20,0,440,300,175,0,20,20,20,20,0,440,175,300,0,20,20,20,20,0,295,465,155,0,20,20,20,20,0,155,465,295,0,20,20,20,20,0,295,170,450,0,20,20,20,20,22500,1000,12,0,30,20,0,2
12,Recherche de portés disparus,Une unité alliée en poste en terrain ennemi dans la Noscea extérieure ne donne plus de signes de vie. Ordre de retrouver ses hommes et de les évacuer.,0,310,480,170,0,20,20,20,20,0,185,310,465,0,20,20,20,20,0,455,315,190,0,20,20,20,20,0,170,480,310,0,20,20,20,20,0,310,185,465,0,20,20,20,20,0,455,190,315,0,20,20,20,20,25500,1000,12,0,35,20,0,2
