#,Text,Unknown0,Unknown1,Name,Unknown2,Unknown3
0,,,,0,0,0
1,,,,0,0,0
2,,,,0,0,0
3,,,,0,0,0
4,,,,0,0,0
5,,,,0,0,0
6,,,,0,0,0
7,,,,0,0,0
8,,,,0,0,0
9,,,,0,0,0
10,"Non, je ne suis pas à vendre ! Pas à vendre, non ! Même contre une pièce d'or voeburtoise, non non !",,,10,61,1
11,"Alors, qu'est-ce qu'il y a dans ce bazar...",,,11,61,1
12,Il fait tellement sombre qu'on n'y voit pas plus loin que le bout de son nez...,,,12,61,1
13,"Me regarder avec ces yeux de merlan frit ne me fera pas progresser plus vite, tu sais ? Concentre-toi sur ces fresques, plutôt !",,,13,61,1
14,"Aïeuh ! Tu l'as fait exprès, avoue !",,,14,61,1
15,"Stoïque dans la douleur, le bec-en-sabot ne bouge pas d'un ilm.",,,0,57,7
16,Tu m'as eu ! Bravo pour ton sang-froid et tes réflexes !,,,15,61,1
17,"Perdu, je porte un authentique casque des Tholl ! Dommage, dommage !",,,16,61,1
18,"Mouahahahaha ! Tu m'as touché alors qu'il fallait pas ! C'est bête, hein ?",,,17,61,1
19,C'est le garçon que vous cherchez !,,,0,57,7
20,"Cet “individu” n'a pas l'air de se cacher... D'ailleurs, ce n'est pas un Mystel.",,,0,57,7
21,"Cette fresque semble très vieille. Le personnage au centre brandit une arme. Devant lui, une bête de couleur noire est au sol, entourée par plusieurs personnes qui semblent se réjouir.",,,0,57,7
22,Cette fresque semble assez vieille. Le personnage assis sur le trône semble avoir accordé une audience à une très grande foule.,,,0,57,7
23,Cette fresque semble dater un peu. Plusieurs personnages font face à ce qui semble être un tourbillon de Ténèbres. Le centre de l'image a été fortement détérioré.,,,0,57,7
24,"C'est mon célèbre “pain baveux” ! Il est fourré de fruits de cactus aigre-doux, donc sa mie reste moelleuse même s'il sèche. Parfait pour traverser le désert, oui oui !",,,10,61,1
25,"Voici mon “jambon de la passion”, fait des meilleurs morceaux de chair de lézard et relevé d'épices mystère ! Certains trouvent l'odeur un peu... *spéciale*, mais il n'y a rien de mieux pour se réchauffer la nuit, non non !",,,10,61,1
26,"Oh, tu vas adorer mes “brochettes batraciennes” ! J'attrape de petites grenouilles cachées sous les rochers et je les fais griller. Craquantes à l'extérieur, gluantes à l'intérieur, parfaites pour l'apéritif, oui oui !",,,10,61,1
27,"Mon plus grand succès ! Des vers blancs badigeonnés de miel onctueux. Une fois que tu auras goûté à mes “larves laiteuses”, tu ne pourras plus t'en passer, non non !",,,10,61,1
28,Vous avez trouvé la tablette !,,,0,57,7
29,"Hmm... À mon avis, voici l'autel que nous cherchons, mais aucune trace du miroir aquatique, l'objet de culte emblématique du peuple de la Nuit. Je suppose qu'ils l'auront emporté avec eux après leur dernière visite...",,,18,61,1
30,Vous avez repéré l'individu suspect ! Mais il s'est enfui en direction du village...,,,0,57,7
31,Le bec-en-sabot regarde droit devant lui. Ce n'est pas l'individu suspect.,,,0,57,7
32,Magnifique ! J'espère que vous ferez aussi bien lors de la véritable épreuve !,,,15,61,1
33,Ce bâtiment haut et étroit est doté de larges fenêtres de forme atypique.,,,0,57,7
34,"Un bec-en-sabot. Impossible de dire ce qu'il fait ici, mais sa présence irradie.",,,0,57,7
35,"Une jeune clionide flotte innocemment au pied du bâtiment. Elle est pro­ba­ble­ment inoffensive, en plus d'être très mignonne.",,,0,57,7
36,Je te vois essayer de m'ôter ma capuche ! Sache que ça ne marchera pas !,,,14,61,1
37,"Stoïque dans la douleur, le bec-en-sabot ne bouge pas d'un ilm.",,,0,57,7
38,,,,0,0,0
39,Hé ! Merci de ne pas déranger ceux qui travaillent !,,,22,61,1
