#,Unknown0,Unknown1,Unknown2
0,Barre de raccourcis 1,racc1,hot1
1,Barre de raccourcis 2,racc2,hot2
2,Barre de raccourcis 3,racc3,hot3
3,Barre de raccourcis 4,racc4,hot4
4,Barre de raccourcis 5,racc5,hot5
5,Barre de raccourcis 6,racc6,hot6
6,Barre de raccourcis 7,racc7,hot7
7,Barre de raccourcis 8,racc8,hot8
8,Barre de raccourcis 9,racc9,hot9
9,Barre de raccourcis 10,racc10,hot10
10,Barre de raccourcis spéciale,raccsp,hotex
11,Croix de raccourcis,cxracc,cross
12,Barre de progression,bprog,cast
13,Cible,cible,target
14,Cible focalisée,focal,focus
15,Équipe,équipe,plist
16,Liste d'inimitié,inim,elist
17,Attributs,attrib,param
18,Messages,mess,notice
19,Boussole,bouss,mmap
20,Menu principal,mprinc,mmenu
21,Infos du serveur,infoserv,server
22,Gils,gils,gil
23,Inventaire,invent,bag
24,Liste des objectifs,listeobj,todo
25,Détails de l'objet,détobjet,item
26,Détails de l'action,détaction,action
27,Jauge de Transcendance,jgtrans,limit
28,Expérience,exp,ebar
29,État : effets bénéfiques/néfastes,état,buff
30,Liste d'alliance 1,alliance1,alist1
31,Liste d'alliance 2,alliance2,alist2
32,Liste des objectifs,listeobj,todo
33,Calendrier,cal,timers
34,,,
35,,,
36,,,
37,,,
38,Double croix de raccourcis gauche,dblcxraccg,lwchot
39,Double croix de raccourcis droite,dblcxraccd,rchot
40,Jauge du serment,JaugeSerment,jgser
41,Jauge de l'éclair,JaugeÉclair,jgecl
42,Jauge de la bête,JaugeBête,jgbet
43,Jauge du dragon,JaugeDragon,jgdra
44,Jauge de chant,JaugeChant,jgchn
45,Canne des soins,CanneSoins,cnsoi
46,Jauge des éléments,JaugeÉléments,jgele
47,Jauge de flux d'éther,JaugeFlux d'éther,jgflu
48,Jauge de flux d'éther,JaugeFlux d'éther,jgflu
49,Jauge de transe,JaugeTranse,jgtra
50,Jauge d'éther féerique,JaugeFée,jgfee
51,Jauge de Ninki,JaugeNinki,jgnin
52,Thermovoltmètre,Thermovolt,thermo
53,,,
54,Jauge de sang,JaugeSang,jgsan
55,Table des arcanes,TableArcanes,tbarc
56,Jauge de Kenki,JaugeKenki,jgken
57,Marque Setsugekka,MarqueSetsugekka,mqset
58,Jauge d'équilibre,JaugeÉquilibre,jgequ
59,Jauge de mission,Jaugemission,jgmis
60,Action de mission,Actionmission,acmis
61,Jauge des chakras,JaugeChakras,jgchk
62,Ceinture Kazematoi,CeintureKazematoi,ctkaze
63,Guide de l'épopée,Guideépopée,gdepp
64,Ailes rivales : jauges des tours/cœurs,ARjauges,arjau
65,Ailes rivales : liste d'alliance,ARalliance,arall
66,Ailes rivales : informations d'équipe,ARéquipe,aréqu
67,État : effets bénéfiques,ÉtatEffB,effben
68,État : effets néfastes,ÉtatEffN,effneg
69,État : effets divers,ÉtatEffD,effdiv
70,Cible : effets bénéfiques/néfastes,CibleEff,cibeff
71,Cible : barre de progression,CibleProg,cibpro
72,Cible : barre de PV,CiblePV,cibpv
73,The Feast : score,FeastScore,feasco
74,The Feast : alliés,FeastEqu,feaequ
75,The Feast : adversaires,FeastAdv,feaadv
76,Ailes rivales : gare,ARgare,argar
77,Ailes rivales : mercenaire,ARmercenaire,armer
78,Jauge de ténèbres intérieures,TénInter,teninter
79,Barillet éthéréen,BarÉther,bareth
80,Indicateur de pas,IndicPas,indpas
81,Éventail onirique,ÉventailOnirique,eventoni
82,Jauge de combat,JaugeCombat,jgcomb
83,Guide Nouvelle partie +,GuideNp+,gnp+
84,Éther compressé,Éthcomp,caether
85,Pêche en mer : objectifs personnels,PêchObj,Pobj
86,État : effets déclenchés,ÉtatEffDéc,effdec
87,Jauge des âmes,JaugeÂmes,jgame
88,Phylactère du lémure,PhylactèreLémure,phylem
89,Diagramme eucrasique,DiagEucra,diageuc
90,Bile de vipère,BileVipère,bilvip
91,Chakras bestiaux et Nadis,ChakNad,chnad
92,Crystalline Conflict : jauge de progression,CConflictProgress,ccprog
93,Crystalline Conflict : alliés,CConflictEqu,ccequ
94,,,
95,Crystalline Conflict : adversaires,CConflictAdv,ccadv
96,JcJ : log de combat,JcJLog,jcjlog
97,Crystalline Conflict : carte,CConflictCarte,cccarte
98,Front : score,FrontScore,frosco
99,Blunderville : objectif,BlundervilleObjectif,bvobj
100,Blunderville : progression,BlundervilleProgression,bvprog
101,Blunderville : qualifications,BlundervilleQualifications,bvqualif
102,Blunderville : log d'émission,BlundervilleLog,bvlog
103,Hexagramme astral,HexAstal,hexast
104,Esprit vipérin,EspritVipérin,espvip
105,Jauge ophidienne,JaugeOphidienne,jgoph
106,Toiles,Toiles,toiles
107,Jauge de palette,JaugePalette,jgpal
108,Front : situation de combat,FrontSituation,frosit
109,Exploration cosmique : planètes,ECplanètes,ecplan
110,,,
