#,Masculine,Feminine,IsPrefix,Order
0,,,False,0
1,L'Insatiable,L'Insatiable,False,1
2,Chevalier intrépide,Chevalière intrépide,False,2
3,Maître des chakras,Maîtresse des chakras,False,3
4,Exécuteur bestial,Exécutrice bestiale,False,4
5,Empaleur céleste,Empaleuse céleste,False,5
6,Virtuose des flèches,Virtuose des flèches,False,6
7,Prêtre de la nature,Prêtresse de la nature,False,7
8,Chasseur d'étoiles,Chasseuse d'étoiles,False,8
9,Le Sanguinaire,La Sanguinaire,False,50
10,Chasseur célèbre,Chasseuse célèbre,False,60
11,Journalier nanti,Journalière nantie,False,80
12,Le Détrousseur,La Détrousseuse,False,80
13,Le Va-t-en-guerre,La Va-t-en-guerre,False,100
14,L'Archimage,L'Archimage,False,101
15,Maître ouvrier,Maîtresse ouvrière,False,102
16,As des ressources,As des ressources,False,103
17,L'Ébéniste,L'Ébéniste,False,150
18,Le Forgeur,La Forgeuse,False,151
19,Le Marteleur,La Marteleuse,False,152
20,Le Joaillier,La Joaillière,False,153
21,Le Mégissier,La Mégissière,False,154
22,Le Tailleur,La Tailleuse,False,155
23,L'Apothicaire,L'Apothicaire,False,156
24,Le Cordon-bleu,Le Cordon-bleu,False,157
25,Mineur de la prairie,Mineuse de la prairie,False,200
26,Mineur de la forêt,Mineuse de la forêt,False,201
27,Mineur du désert,Mineuse du désert,False,202
28,Extracteur de la prairie,Extractrice de la prairie,False,203
29,Extracteur de la forêt,Extractrice de la forêt,False,204
30,Extracteur du désert,Extractrice du désert,False,205
31,Bûcheron de la prairie,Bûcheronne de la prairie,False,206
32,Bûcheron de la forêt,Bûcheronne de la forêt,False,207
33,Bûcheron du désert,Bûcheronne du désert,False,208
34,Faucheur de la prairie,Faucheuse de la prairie,False,209
35,Faucheur de la forêt,Faucheuse de la forêt,False,210
36,Faucheur du désert,Faucheuse du désert,False,211
37,Pêcheur de la prairie,Pêcheuse de la prairie,False,212
38,Pêcheur de la forêt,Pêcheuse de la forêt,False,213
39,Pêcheur du désert,Pêcheuse du désert,False,214
40,Harponneur de la prairie,Harponneuse de la prairie,False,215
41,Harponneur de la forêt,Harponneuse de la forêt,False,216
42,Harponneur du désert,Harponneuse du désert,False,217
43,Sertisseur certifié,Sertisseuse certifiée,False,250
44,Maestro ès matérias,Maestro ès matérias,False,251
45,Combattant zélé,Combattante zélée,False,300
46,Mage zélé,Mage zélé,False,301
47,Artisan zélé,Artisane zélée,False,302
48,Récolteur zélé,Récolteuse zélée,False,303
49,La Main tendue,La Main tendue,False,350
50,Mandataire régional,Mandataire régionale,False,351
51,Le Sous-traitant,La Sous-traitante,False,352
52,Gardien de la paix,Gardienne de la paix,False,353
53,Commando,Commando,False,354
54,Lame de la prairie,Lame de la prairie,False,355
55,Lame de la forêt,Lame de la forêt,False,356
56,Lame du désert,Lame du désert,False,357
57,Lame d'Éorzéa,Lame d'Éorzéa,False,358
58,Bouclier de la prairie,Bouclier de la prairie,False,359
59,Bouclier de la forêt,Bouclier de la forêt,False,360
60,Bouclier du désert,Bouclier du désert,False,361
61,Bouclier d'éorzéa,Bouclier d'Éorzéa,False,362
62,Frère des lames cassées,Sœur des lames cassées,False,363
63,Bouclier d'azeyma,Bouclier d'Azeyma,False,364
64,Associé de la corne et la main,Associée de la corne et la main,False,365
65,Agent triple,Agent triple,False,366
66,Le Professionnel,La Professionnelle,False,400
67,Inquisiteur du 11e ordre,Inquisitrice du 11e ordre,False,450
68,Iconoclaste du divin,Iconoclaste du divin,False,451
69,Briseur de roche,Briseuse de roche,False,452
70,Cauchemar des Kobolds,Cauchemar des Kobolds,False,453
71,Cauchemar des Ixali,Cauchemar des Ixali,False,454
72,Cauchemar des Amalj'aa,Cauchemar des Amalj'aa,False,455
73,Défenseur de Port-aux-Ales,Défenseur de Port-aux-Ales,False,456
74,Défenseur du Moulin des Bois,Défenseur du Moulin des Bois,False,457
75,Défenseur du Bazar doré,Défenseur du Bazar doré,False,458
76,Pourvoyeur de Port-aux-Ales,Pourvoyeuse de Port-aux-Ales,False,459
77,Pourvoyeur du Moulin des Bois,Pourvoyeuse du Moulin des Bois,False,460
78,Pourvoyeur du Bazar doré,Pourvoyeuse du Bazar doré,False,461
79,Sertisseur de Port-aux-Ales,Sertisseuse de Port-aux-Ales,False,462
80,Sertisseur du Moulin des Bois,Sertisseuse du Moulin des Bois,False,463
81,Sertisseur du Bazar doré,Sertisseuse du Bazar doré,False,464
82,Renne de beauté,Renne de beauté,False,500
83,Dragon de vertu,Dragonne de vertu,False,501
84,Cupidon en herbe,Cupidon en herbe,False,502
85,Sénéchal royal,Princesse du jour,False,503
86,Chasseur d'œufs,Chasseuse d'œufs,False,504
87,Recrue de la B.A.B.,Recrue de la B.A.B.,False,505
88,Porteur du cristal,Porteuse du cristal,False,506
89,Lige du Maelstrom,Lige du Maelstrom,False,550
90,Lige des Deux Vipères,Lige des Deux Vipères,False,551
91,Lige des Immortels,Lige des Immortels,False,552
