#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Model,Priority,Enemy,Icon,Order,HP,SkillAngle,Unknown1,Scale,InactiveIdle0,InactiveIdle1,InactiveBattle,InactiveWandering,Behavior,Special,Unknown10,Unknown11,WanderingWait,Unknown2,Cost,Unknown3,SkillCost,Unknown4,MinionRace,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Battle,Roulette,IdleAnimation
0,,,0,0,0,1,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,8,0,10,0,20,0,0,False,False,False,False,False,False,True,False
1,bombino,bombini,0,0,0,1,0,0,427,1,0,4403,1001,390,360,600,100,30,0,0,0,2,0,0,0,8,0,10,5,30,1,2,True,False,True,False,False,False,True,True
2,pantin P001,pantins P001,0,0,0,1,0,0,419,200,0,4401,10001,410,0,620,100,30,0,0,0,1,0,0,0,8,0,10,37,20,1,3,False,True,False,False,False,False,True,True
3,bébé chocobo,bébés chocobos,0,0,0,1,0,0,423,3,0,4402,1,410,30,601,100,30,0,30,0,2,0,0,0,8,0,15,23,20,1,1,True,False,True,False,True,False,True,True
4,poupée Cait Sith,poupées Cait Sith,0,0,0,1,1,0,430,201,0,4404,10006,400,360,625,100,30,0,0,0,1,0,0,0,8,0,20,25,20,1,3,False,True,False,False,False,False,True,True
5,bébéhémoth,bébéhémoths,0,0,0,1,0,0,428,5,0,4405,1002,430,30,601,100,30,0,0,0,2,0,0,0,8,90,15,1,20,1,2,True,False,True,False,True,False,True,True
6,pantin P003L,pantins P003L,0,0,0,1,0,0,420,200,0,4406,10002,365,30,607,100,30,0,0,0,1,0,0,0,8,0,10,14,20,1,3,False,True,False,False,False,False,True,True
7,pantin P003G,pantins P003G,0,0,0,1,0,0,421,200,0,4407,10003,280,360,625,100,30,0,0,0,1,0,0,0,8,0,10,25,20,1,3,False,True,False,False,False,False,True,True
8,pantin P003U,pantins P003U,0,0,0,1,0,0,422,200,0,4408,10004,420,120,631,100,30,0,0,0,1,0,0,0,8,0,10,13,20,1,3,False,True,False,False,False,False,True,True
9,bébé chocobo du Maelstrom,bébés chocobos du Maelstrom,0,0,0,1,0,0,424,3,0,4409,2,315,30,601,100,30,0,30,0,2,0,0,0,8,0,10,19,30,1,1,True,False,True,False,True,False,True,True
10,bébé chocobo des Deux Vipères,bébés chocobos des Deux Vipères,0,0,0,1,0,0,425,3,0,4410,3,350,360,623,100,30,0,30,0,2,0,0,0,8,0,10,30,20,1,1,True,False,True,False,True,False,True,True
11,bébé chocobo des Immortels,bébés chocobos des Immortels,0,0,0,1,0,0,426,3,0,4411,4,320,120,622,100,30,0,30,0,2,0,0,0,8,0,10,26,20,1,1,True,False,True,False,True,False,True,True
12,bulbe de morbol,bulbes de morbol,0,0,0,1,0,0,429,6,0,4412,1003,560,120,602,100,30,0,0,0,2,0,0,0,8,0,30,20,20,1,2,True,False,True,False,False,False,True,True
13,écureuil nain,écureuils nains,0,0,1,1,0,0,431,7,0,4413,1004,400,120,622,100,30,0,0,0,2,0,0,0,8,0,10,14,20,1,1,True,False,False,False,True,False,True,True
14,fungus miniature,fungi miniatures,0,0,0,1,0,0,432,8,0,4414,1005,395,120,602,100,30,0,0,0,2,0,0,0,8,0,10,4,20,1,2,True,False,False,True,False,False,True,True
15,chigoe apprivoisé,chigoes apprivoisés,0,0,0,1,0,0,433,9,0,4415,1006,420,0,620,100,30,0,0,0,2,0,0,0,8,130,10,9,20,1,1,True,False,True,True,False,False,True,True
16,oiseau bleu,oiseaux bleus,0,0,1,1,0,0,434,10,0,4416,5001,460,120,605,80,30,0,0,0,2,3,0,0,8,100,15,1,20,1,1,True,False,True,False,True,False,True,True
17,faon aux yeux de biche,faons aux yeux de biche,0,0,0,1,0,0,435,11,0,4417,1007,400,360,632,100,20,10,0,30,2,0,0,0,8,0,15,22,20,2,1,True,False,False,False,True,False,True,True
18,bébé imp,bébés imp,0,0,0,1,0,0,436,12,0,4418,1008,380,120,608,100,20,10,0,0,2,0,0,0,8,0,20,1,20,2,2,True,False,False,False,True,False,True,True
19,joli coeurl,jolis coeurls,0,0,0,1,0,0,437,13,35,4452,1009,365,30,603,85,10,10,0,0,2,0,0,0,8,0,10,1,30,3,1,True,False,True,False,True,True,True,True
20,coeurl noir,coeurls noirs,0,0,0,1,0,0,438,13,35,4514,1010,380,0,620,75,10,10,0,0,2,0,0,0,8,0,15,31,30,3,1,True,False,True,False,True,True,True,True
21,Hildibrand miniature,Hildibrand miniatures,0,0,0,1,0,0,882,268,0,4515,9014,400,360,630,100,10,0,0,0,1,0,0,0,8,0,30,16,60,2,3,False,True,False,False,False,False,True,True
22,golem graveleux,golem graveleux,0,0,0,1,0,0,440,202,0,4419,1011,480,0,620,100,20,10,0,0,1,0,0,0,8,0,20,10,20,2,2,False,True,False,True,False,False,True,True
23,tomberry mécanique,tomberry mécaniques,0,0,0,1,0,0,441,203,0,4453,1012,470,360,630,100,30,0,0,0,1,0,0,0,8,0,20,16,60,1,2,False,True,False,True,False,True,True,True
24,tortue naine,tortues naines,0,0,0,1,1,0,442,18,0,4420,1013,480,120,622,100,10,10,0,0,2,0,0,0,8,0,20,14,20,2,2,True,False,False,False,True,False,True,True
25,bébé raptor,bébés raptors,0,0,0,1,0,0,443,19,0,4421,1014,400,0,620,100,20,20,0,0,2,0,0,0,8,0,10,21,20,2,2,True,False,False,False,True,False,True,True
26,bébé chauve-souris,bébés chauve-souris,0,0,0,1,0,0,444,20,0,4422,1015,420,120,631,100,30,0,0,0,2,0,0,0,8,0,10,20,20,1,2,True,False,False,False,False,False,True,True
27,bulbe miniature,bulbe miniature,0,0,0,1,0,0,445,21,0,4423,1016,480,360,634,100,30,0,0,0,2,0,0,0,8,0,25,35,25,1,2,True,False,False,False,False,False,True,True
28,lapin mutin,lapins mutins,0,0,0,1,0,0,446,22,0,4424,1017,340,120,609,100,10,10,0,30,2,0,0,0,8,0,10,1,20,2,1,True,False,False,True,False,False,True,True
29,dullahan nain,dullahan nains,0,0,0,1,0,0,447,204,0,4425,1018,445,360,634,100,30,0,0,0,1,0,0,0,8,0,20,35,30,1,2,False,True,True,False,False,False,True,True
30,têtard géant,têtards géants,0,0,0,1,0,0,448,24,0,4426,1019,495,30,607,100,30,0,0,0,2,0,0,0,8,0,20,13,20,1,2,True,False,False,False,False,False,True,True
31,puk potelé,puks potelés,0,0,0,1,0,0,449,25,0,4427,1020,460,30,606,100,20,10,0,0,2,0,0,0,8,0,15,23,20,2,2,True,False,False,False,True,False,True,True
32,bufflon,bufflons,0,0,0,1,0,0,450,26,0,4428,1021,440,0,620,100,30,0,0,0,2,0,0,0,8,0,10,9,20,1,2,True,False,True,False,True,False,True,True
33,mini-pampa,mini-pampas,0,0,0,1,0,0,451,27,0,4429,1022,380,0,620,100,20,0,0,20,2,0,0,0,3,0,10,17,30,1,2,True,False,True,False,False,False,True,True
34,coquépique,coquépiques,0,0,0,1,1,0,452,28,0,4430,1023,420,120,605,100,30,0,0,0,2,0,0,0,8,0,10,28,20,1,2,True,False,True,False,False,False,True,True
35,bébé chacal,bébés chacals,0,0,0,1,0,0,453,29,19,4450,1024,385,360,617,100,10,10,0,0,2,0,0,0,8,0,15,11,20,3,1,True,False,True,True,True,True,True,True
36,œil apprivoisé,yeux apprivoisés,0,0,1,1,0,0,454,30,0,4431,1024,440,30,613,100,30,0,0,0,2,0,0,0,8,0,10,1,20,1,2,True,False,False,True,True,False,True,True
37,dodu dodo,dodu dodo,0,0,0,1,0,0,455,31,0,4432,1025,500,0,620,100,20,10,0,30,2,0,0,0,8,0,25,39,20,2,2,True,False,False,False,True,False,True,True
38,larve de coblyn,larves de coblyn,0,0,0,1,1,0,456,32,0,4433,1026,400,360,626,100,20,10,0,0,2,0,0,0,8,0,15,12,20,2,2,True,False,False,False,False,False,True,True
39,mini-bouquetin,mini-bouquetins,0,0,0,1,0,0,457,205,0,4434,1027,340,360,623,85,30,0,0,0,1,0,0,0,8,0,10,29,20,1,1,False,True,True,False,False,False,True,True
40,apkallu nain,apkallus nains,0,0,1,1,0,0,458,34,0,4435,1028,510,0,620,100,20,10,0,0,2,0,0,0,8,0,30,41,20,2,1,True,False,True,False,True,False,True,True
41,goobbue goulu,goobbues goulu,0,0,0,1,0,0,459,35,0,4436,1029,410,0,620,100,10,0,0,0,2,0,0,0,8,0,20,37,20,1,2,True,False,False,False,False,False,True,True
42,mini-pudding,mini-puddings,0,0,0,1,0,0,460,36,0,4437,1030,400,0,620,100,30,0,0,0,2,0,0,0,8,0,10,21,20,1,2,True,False,False,True,False,False,True,True
43,maquette magitek,maquettes magitek,0,0,0,1,1,0,461,221,0,4438,11003,340,360,625,100,30,0,0,0,1,0,0,0,8,0,10,25,20,1,2,False,True,False,True,False,False,True,True
44,bloc démonique,blocs démoniques,0,0,0,1,0,0,462,38,0,4439,1031,390,120,609,100,10,5,0,30,2,0,0,0,8,0,15,38,20,2,2,True,False,False,True,False,False,True,True
45,taupe trapue,taupes trapues,0,0,0,1,1,0,463,39,0,4440,1032,430,0,620,100,20,10,0,0,2,0,0,0,8,0,25,9,20,2,1,True,False,False,False,True,False,True,True
