#,Unknown0,Unknown1,Unknown2,Unknown3
0,,0,0,0
1,CP1 - Toujours à la corde !,44,0,41
2,CP2 - Gare aux attaques à aires d'effet !,45,0,61
3,CP3 - En avant même sans aptitudes !,46,0,81
4,CP4 - Une course très très pesante !,47,310,101
5,CP5 - Attention aux départs rapides !,48,0,121
6,CP6 - Pas de pitié pour les rivaux !,49,311,141
7,CP7 - Prendre du champ avec les champs !,50,0,161
8,CP8 - Laissons les rivaux s'éliminer !,51,312,181
9,CP9 - Une bataille d'endurance !,52,0,201
10,CP10 - Course poursuite !,53,313,221
11,CP11 - À bride abattue !,54,0,231
12,CP12 - Une épreuve d'aptitude !,55,314,241
13,CP13 - Un travail d'équipe !,56,0,251
14,CP14 - Une course encore plus pesante !,57,0,261
15,CP15 - La course des extrêmes !,58,0,271
