#,Singular,Plural,UnlockLink,Pages[0],Pages[1],Pages[2],Pages[3],Pages[4],Pages[5],Pages[6],Pages[7]
0,,,0,0,0,0,0,0,0,0,0
1,,,0,0,0,0,0,0,0,0,0
2,,,0,0,0,0,0,0,0,0,0
3,Transporter,Transporter,558,11,12,0,0,0,0,0,0
4,Être invisible,Être invisible,559,13,14,0,0,0,0,0,0
5,Accompagner,Accompagner,560,15,16,17,18,0,0,0,0
6,Suivre,Suivre,561,19,0,0,0,0,0,0,0
7,Prendre en filature,Prendre en filature,562,20,21,22,0,0,0,0,0
8,Se transformer,Se transformer,563,23,24,0,0,0,0,0,0
9,Se déguiser,Se déguiser,564,25,26,0,0,0,0,0,0
10,Escorter,Escorter,565,27,28,0,0,0,0,0,0
