#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
0.0,0,0,0,0,0,0,0,0,0,0,0
1.0,14531,242501,1,2,247,2,1,2,2,3,7
1.1,14532,242502,3,4,248,1,2,2,2,2,7
2.0,14533,242503,5,0,71,3,1,3,2,4,4
3.0,14535,242504,6,7,210,1,3,2,3,4,9
4.0,14536,242505,8,0,234,3,3,3,2,3,5
4.1,14537,242506,9,0,249,1,1,2,1,1,5
5.0,14538,242507,10,11,16,4,3,4,2,4,2
5.1,14539,242508,40,0,225,1,1,1,1,1,6
5.2,14748,242508,40,0,225,1,3,1,1,2,6
6.0,14541,242509,12,13,1,2,5,3,5,4,8
6.1,14542,242510,14,15,250,1,2,1,1,2,1
6.2,14543,242511,16,0,251,2,1,1,1,2,1
7.0,14545,242512,22,23,2,3,1,3,2,3,2
8.0,14546,242513,38,33,1,4,3,3,4,4,8
8.1,14548,242514,39,0,252,1,1,1,1,1,5
9.0,14549,242515,27,28,16,3,3,3,3,3,4
10.0,14552,242516,118,32,1,1,3,3,3,4,3
10.1,14553,242517,0,0,253,2,1,1,1,1,5
11.0,14555,242518,24,25,1,4,1,4,4,3,1
11.1,14556,242519,26,0,171,4,1,3,3,3,1
12.0,14557,242520,17,18,254,1,1,1,1,2,9
12.1,14558,242521,19,20,254,3,1,2,2,2,5
12.2,14559,242522,21,0,255,1,3,1,1,1,3
13.0,14561,242523,35,36,16,5,3,3,4,4,7
13.1,14562,242524,37,0,1,3,5,4,3,4,6
14.0,14564,242525,79,0,2,3,2,3,2,2,1
14.1,14567,242502,119,80,36,1,1,1,2,1,7
15.0,14569,242526,46,47,246,3,3,2,2,4,5
15.1,14571,242527,48,49,243,1,3,1,3,2,7
16.0,14572,242528,54,55,16,4,2,4,3,2,3
16.1,14573,242529,0,0,166,2,1,1,1,1,7
16.2,14574,242530,56,0,74,1,2,1,1,1,7
17.0,14577,242531,50,51,2,2,3,3,3,2,2
18.0,14580,242532,30,31,1,1,3,2,3,3,6
18.1,14581,242533,29,0,44,2,2,2,1,1,6
19.0,14583,242534,52,53,2,2,4,3,4,3,8
19.1,14585,242535,0,0,43,2,1,2,1,1,1
19.2,14586,242536,131,0,1,1,1,2,1,1,1
20.0,14587,242537,41,42,248,3,1,3,3,2,4
20.1,14588,242538,0,0,42,1,1,1,1,1,4
20.2,14589,242539,45,0,42,1,1,1,1,1,4
20.3,14590,242540,44,0,42,2,1,2,2,2,4
20.4,14591,242541,43,0,1,3,1,3,3,2,5
21.0,14592,242542,57,58,1,5,5,5,5,4,0
21.1,14595,242543,59,0,230,2,2,3,2,1,4
22.0,14596,242544,81,82,210,1,3,3,3,2,8
23.0,14599,242545,108,109,1,2,3,3,3,3,9
23.1,14600,242545,113,0,41,1,1,1,1,1,9
23.2,14601,242546,110,0,244,2,2,1,1,2,9
23.3,14602,242547,114,111,248,2,2,5,1,1,5
24.0,14603,242548,76,77,234,2,3,3,3,3,2
24.1,14605,242549,78,0,34,2,1,1,1,2,7
25.0,14606,242550,120,121,16,3,3,3,3,3,1
25.1,14607,242551,122,0,40,1,2,5,1,1,1
26.0,14608,242552,75,74,1,4,3,4,5,3,0
27.0,14610,242553,88,87,15,1,3,3,3,4,4
27.1,14611,242554,0,0,35,1,1,1,1,1,4
27.2,14612,242555,83,0,39,2,1,2,1,2,4
27.3,14613,242556,86,0,39,2,2,3,1,3,4
27.4,14614,242557,89,0,39,1,2,1,1,2,4
27.5,14616,242559,84,85,39,1,1,1,1,1,8
28.0,14617,242560,123,124,1,3,4,4,3,3,6
29.0,14618,242561,103,0,222,1,3,3,2,4,7
29.1,14619,242562,112,0,166,1,1,1,1,1,7
29.2,14620,242563,104,0,52,1,2,1,1,2,7
29.3,14621,242564,106,0,249,2,2,2,1,2,5
29.4,14622,242565,107,0,38,1,1,2,2,2,5
30.0,14623,242566,61,62,15,3,3,3,2,3,2
30.1,14624,242567,60,0,244,1,2,1,1,2,2
30.2,14625,242568,63,64,244,1,1,1,1,1,2
30.3,14626,242569,65,66,244,1,1,1,1,1,1
30.4,14627,242570,67,0,6,1,1,1,1,1,6
31.0,14628,242571,97,98,1,4,5,4,5,3,3
31.1,14629,242572,99,0,226,1,3,5,1,1,6
32.0,14631,242573,132,133,210,2,3,2,3,2,3
32.1,14632,242574,134,0,37,1,2,5,1,1,3
33.0,14633,242575,135,136,210,2,4,3,4,3,9
33.1,14634,242576,137,160,60,2,2,1,2,2,6
34.0,14638,242577,95,96,210,3,3,3,2,3,5
34.1,14639,242578,94,0,242,1,1,1,1,1,2
34.2,14640,242579,93,92,233,1,1,1,1,1,2
34.3,14641,242580,90,91,37,1,2,5,1,1,0
35.0,14642,242581,139,140,1,1,3,3,3,5,7
35.1,14643,242582,141,0,166,1,2,1,1,1,8
35.2,14644,242583,0,0,166,2,1,1,1,1,8
35.3,14645,242584,143,0,3,1,2,5,2,1,2
35.4,14646,242585,142,0,3,1,2,5,2,1,4
35.5,14647,242586,144,0,3,1,2,5,2,1,3
35.6,14648,242587,145,0,42,1,2,1,2,1,8
35.7,14649,242588,146,147,2,3,2,3,2,2,5
36.0,14651,242589,68,69,16,3,2,3,3,3,2
36.1,14653,242590,70,71,60,2,1,2,1,1,1
36.2,14655,242591,0,0,66,2,1,3,2,2,6
36.3,14656,242592,72,73,37,1,1,1,1,1,7
37.0,14657,242593,100,101,234,3,4,4,5,4,1
37.1,14659,242594,102,0,40,1,1,1,1,2,7
38.0,14660,242595,148,149,1,4,3,3,4,3,8
38.1,14661,242596,150,161,140,1,1,2,2,2,8
38.2,14662,242603,151,162,77,4,1,3,1,2,1
39.0,14663,242597,105,138,1,4,4,4,4,3,6
