#,Text,Unknown0,Type,Unknown1,Unknown2
0,,0,0,0,False
1,,0,0,0,False
2,,0,0,0,False
3,,0,0,0,False
4,,0,0,0,False
5,,0,1,0,True
6,,0,1,0,True
7,,0,1,0,True
8,,0,1,0,True
9,,0,1,0,True
10,,0,1,0,True
11,,0,1,0,True
12,"Esplanade des démunis, phase 1",1,2,1,True
13,On recherche des artisans !,2,2,1,False
14,"Esplanade des démunis, phase 2",3,2,4,True
15,Nouveaux ouvrages collectifs !,4,2,4,False
16,"Esplanade des démunis, phase 3",5,2,7,True
17,Contribuez au projet de Lizbeth !,6,2,7,False
18,Fin des travaux à l'Esplanade des démunis,7,2,10,True
19,Les dons d'objets,2,3,1,True
20,Les ouvrages collectifs,3,3,1,True
21,Le projet de recon­struc­tion d'Ishgard,1,3,1,True
22,,0,1,0,True
23,,0,1,0,True
24,,0,1,0,True
25,,0,1,0,True
26,Le Hoyau,1,2,11,True
27,C'est reparti pour un tour !,2,2,11,False
28,Jusqu'au bout de l'allée,3,2,14,False
29,Un dernier coup de balai,4,2,16,False
30,Tous unis pour la fontaine,5,2,19,False
31,L'estrade de Sainte Roelle,6,2,21,True
32,À l'échafau... dage !,7,2,21,False
33,Un artisan qui travaille est comme un guerrier qui bataille...,8,2,24,False
34,Les pavés dans la mare,9,2,26,False
35,"Les ouvrages collectifs, y a que ça de vrai !",10,2,29,False
36,Le Nichoir,11,2,30,True
37,Début des travaux au Nichoir,12,2,30,False
38,Le grand nettoyage continue,13,2,33,False
39,Le grand nettoyage touche à sa fin,14,2,35,False
40,"Adieu, vieux débris !",15,2,37,False
41,Les nids du Nichoir,16,2,40,False
42,Brique après brique,17,2,43,False
43,C'est le der des ders au Nichoir !,18,2,46,False
44,Fin des travaux au Nichoir,19,2,48,True
45,Le Kupo de la fortune,4,3,11,True
46,Le Diadème,5,3,11,True
47,,0,1,0,True
48,,0,1,0,True
49,,0,1,0,True
50,,0,1,0,True
51,Tombeplume,1,2,49,True
52,À vos biceps !,2,2,50,False
53,Sus aux débris,3,2,52,False
54,Aplanir pour mieux construire,4,2,54,False
55,Sous les pavés le nettoyage,5,2,56,False
56,Installations et habitations,6,2,59,False
57,Des cœurs à l'ouvrage,7,2,62,False
58,Des artisans pour des logements,8,2,65,False
59,L'Abaque,9,2,67,True
60,On s'attaque à L'Abaque,10,2,68,False
61,Ouvrage à la noix,11,2,70,False
62,Embellir L'Abaque,12,2,73,False
63,Retraite de Givreglacé,13,2,74,True
64,Un nouveau symbole,14,2,75,False
65,Fin des travaux à Tombeplume,15,2,79,True
66,,0,1,0,True
67,,0,1,0,True
68,,0,1,0,True
69,,0,1,0,True
70,,0,1,0,True
71,Le Nouveau Refrain (Ouest),1,2,80,True
72,Martelez au rythme du Nouveau Refrain !,2,2,81,False
73,N'oubliez pas de faire le ménage !,3,2,83,False
74,Des maisons où vivre il fait bon !,4,2,86,False
75,C'est l'heure de l'ouvrage collectif !,5,2,89,False
76,Encore un petit effort dans la partie ouest du Nouveau Refrain !,6,2,92,False
77,La porte des Industrieux,7,2,94,True
78,Frappez à la bonne porte !,8,2,95,False
79,Le Nouveau Refrain (Est),9,2,97,False
80,"Dernier déblayage, promis !",10,2,98,False
81,L'ultime coup de balais,11,2,100,False
82,Des maisons qui poussent comme des champignons,12,2,103,True
83,Des maisons pour tout le monde !,13,2,106,False
84,Les Bains floconneux,14,2,108,True
85,Tout le monde dans le même bain !,15,2,109,False
86,Un projet monumental,16,2,111,False
87,Fin de la recon­struc­tion d'Azurée !,17,2,112,True
88,,0,1,0,True
89,La Grande Célébration d'Azurée,1,2,113,True
90,À propos des festes,6,3,112,True
