#,Name,Description,Icon,MKDSupportJob,LevelUnlock
0,,,-1,0,0
1,Défense améliorée,Augmente l'effet de **Défense** à 90%.,82201,1,4
2,Prière améliorée,Augmente la puissance de **Prière** à 5000.,82202,1,5
3,Fureur améliorée,"Permet de recevoir **Brutalité** lorsque vous utilisez **Fureur**.
**Brutalité :** plus des dégâts sont subis pendant la durée de l'effet, plus la puissance de la prochaine action **Frappes brutales** augmente.
**Durée :** 15s",82203,2,3
4,Coups de pied améliorés,Augmente l'effet de **Coups de pied** à 7%.,82204,3,4
5,Coups de pied améliorés II,Augmente l'effet de **Coups de pied** à 9%.,82205,3,6
6,Ciblage amélioré,Augmente l'effet de **Ciblage** à 30% et permet aux attaques de toucher à coup sûr.,82206,4,3
7,Ciblage amélioré II,Augmente l'effet de **Ciblage** à 50% et permet aux attaques de toucher à coup sûr.,82207,4,5
8,Iainuki amélioré,Augmente la puissance de **Iainuki** à 500 et les chances d'infliger Mort à 10%.,82208,5,5
9,Chants améliorés,Augmente l'effet de certains chants en fonction du niveau de job de soutien de barde fantôme.,82209,6,2
10,Passe-partout,Permet d'ouvrir toutes les portes verrouillées dans un donjon.,82212,12,6
11,Tir amélioré,Accorde 5% de chances d'infliger Mort à certaines cibles lors de l'utilisation de **Tir**.,82211,9,5
12,Cloches améliorées,"Augmente l'effet de chaque degré de **Cloche d'attaque** à 5%.
Augmente la puissance curative de **Cloche de détente** à 3000.",82210,7,5
13,,,-1,0,0
14,,,-1,0,0
15,,,-1,0,0
