#,Unknown0,Unknown1,Unknown2,Unknown3
0,,,0,0
1,Mahatma du bélier,sentiment d'affirmation,0,0
2,Mahatma du taureau,sentiment de possession,0,0
3,Mahatma des gémeaux,sentiment de réflexion,0,0
4,Mahatma du cancer,sentiment de compassion,0,0
5,Mahatma du lion,sentiment de résolution,0,0
6,Mahatma de la vierge,sentiment d'interprétation,0,0
7,Mahatma de la balance,sentiment de comparaison,0,0
8,Mahatma du scorpion,sentiment d'aspiration,0,0
9,Mahatma du sagittaire,sentiment de perception,0,0
10,Mahatma du capricorne,sentiment de dépendance,0,0
11,Mahatma du verseau,sentiment de reconnaissance,0,0
12,Mahatma des poissons,sentiment de conviction,0,0
