#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
17227.0,71041,47,60099,63994,255
17230.0,71041,44,60099,63994,255
17239.0,71041,45,60099,63994,255
17245.0,71041,46,60099,63994,255
17251.0,71041,50,60099,63994,255
17254.0,71041,51,60099,63994,255
17255.0,71041,48,60099,63994,255
17259.0,71041,49,60099,63994,255
17269.0,71041,52,60099,63994,255
17270.0,71041,55,60099,63994,255
17272.0,71041,53,60099,63994,255
17275.0,71041,54,60099,63994,255
17466.0,71041,41,60099,63994,255
17475.0,71041,40,60099,63994,255
17482.0,71041,42,60099,63994,255
17488.0,71041,59,60099,63994,255
17494.0,71041,57,60099,63994,255
17497.0,71041,58,60099,63994,255
17500.0,71041,56,60099,63994,255
17505.0,71041,60,60099,63994,255
17508.0,71041,63,60099,63994,255
17513.0,71041,61,60099,63994,255
17520.0,71041,62,60099,63994,255
17525.0,71041,43,60099,63994,255
