#,StartupText,RunningText,Unknown0
0,,,0
1,"Un ouvrage collectif va bientôt avoir lieu dans la station sélénienne.
Nous réquerons l'aide d'autant de volontaires que possible !",L'ouvrage collectif “Premier agrandissement de la station” est en cours dans la station sélénienne ! À vos outils !,1978
2,"Un ouvrage collectif va bientôt avoir lieu dans la station sélénienne.
Nous réquerons l'aide d'autant de volontaires que possible !",L'ouvrage collectif “Mise en place du premier réseau de cosmo-navettes” est en cours dans la station sélénienne ! À vos outils !,1979
3,Un ouvrage collectif va bientôt avoir lieu au sud-est de la station sélénienne. Nous réquerons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Installation des modules d'habitation” est en cours au sud-est de la station sélénienne ! À vos outils !,1980
4,Un ouvrage collectif va bientôt avoir lieu au nord-ouest de la station sélénienne. Nous réquerons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Premier aménagement du cosmoport” est en cours au nord-ouest de la station sélénienne ! À vos outils !,1981
5,Un ouvrage collectif va bientôt avoir lieu au nord-est de la station sélénienne. Nous réquerons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Premier agrandissement du hangar” est en cours au nord-est de la station sélénienne ! À vos outils !,1982
6,"Le chantier au nord-ouest de Sinus Ardorum est bientôt terminé.
La zone deviendra inaccessible à l'heure prévisionnelle d'achèvement.",,0
7,"Le chantier au sud-est de Sinus Ardorum est bientôt terminé.
La zone deviendra inaccessible à l'heure prévisionnelle d'achèvement.",,0
8,"Un ouvrage collectif va bientôt avoir lieu au sud de Sinus Ardorum.
Nous requérons l'aide d'autant de volontaires que possible !",L'ouvrage collectif “Première excavation du tunnel” est en cours au sud de Sinus Ardorum ! À vos outils !,1983
9,"Un ouvrage collectif va bientôt avoir lieu au sud de Sinus Ardorum.
Nous requérons l'aide d'autant de volontaires que possible !",L'ouvrage collectif “Seconde excavation du tunnel” est en cours au sud de Sinus Ardorum ! À vos outils !,1984
10,"Le chantier au sud-ouest de Sinus Ardorum est bientôt terminé.
La zone deviendra inaccessible à l'heure prévisionnelle d'achèvement.",,0
11,"Un ouvrage collectif va bientôt avoir lieu dans la station sélénienne.
Nous requérons l'aide d'autant de volontaires que possible !",L'ouvrage collectif “Second agrandissement de la station” est en cours à la station sélénienne ! À vos outils !,1985
12,Un ouvrage collectif va bientôt avoir lieu au sud-ouest de la station sélénienne. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Expansion des infrastructures énergétiques” est en cours au sud-ouest de la station sélénienne ! À vos outils !,1986
13,Un ouvrage collectif va bientôt avoir lieu à l'ouest de la station sélénienne. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Expansion des infrastructures de dis­tri­bu­tion d'eau” est en cours à l'ouest de la station sélénienne ! À vos outils !,1987
14,Un ouvrage collectif va bientôt avoir lieu au nord-est de la station sélénienne. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Second agrandissement du hangar” est en cours au nord-est de la station sélénienne ! À vos outils !,1988
15,Un ouvrage collectif va bientôt avoir lieu au nord-ouest de la station sélénienne. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Second aménagement du cosmoport” est en cours au nord-ouest de la station sélénienne ! À vos outils !,1989
16,Un ouvrage collectif va bientôt avoir lieu au nord-est de Sinus Ardorum. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Première préparation du site pour l'ascenseur” est en cours au nord-est de Sinus Ardorum ! À vos outils !,1990
17,Un ouvrage collectif va bientôt avoir lieu au nord-est de Sinus Ardorum. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Seconde préparation du site pour l'ascenseur” est en cours au nord-est de Sinus Ardorum ! À vos outils !,1991
18,Le chantier souterrain au nord-est de Sinus Ardorum est bientôt terminé. La zone deviendra inaccessible à l'heure prévisionnelle d'achèvement.,,0
19,"Un ouvrage collectif va bientôt avoir lieu dans la station sélénienne.
Nous requérons l'aide d'autant de volontaires que possible !",L'ouvrage collectif “Agrandissement général des ins­tal­la­tions” est en cours dans la station sélénienne ! À vos outils !,1992
20,Un ouvrage collectif va bientôt avoir lieu à la station Souffleverre. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Premier agrandissement de la station” est en cours ! À vos outils !,2008
21,Un ouvrage collectif va bientôt avoir lieu dans l'antre des Souffleurs de verre. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Mise en place du premier réseau de cosmo-navettes” est en cours ! À vos outils !,2009
22,Un ouvrage collectif va bientôt avoir lieu au nord-est de la station Souffleverre. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Installation des modules d'habitation” est en cours ! À vos outils !,2010
23,Un ouvrage collectif va bientôt avoir lieu au sud-est de la station Souffleverre. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Expansion des infrastructures énergétiques” est en cours ! À vos outils !,2011
24,Un ouvrage collectif va bientôt avoir lieu au sud-est de la station Souffleverre. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Expansion des infrastructures de dis­tri­bu­tion d'eau” est en cours ! À vos outils !,2012
25,Un ouvrage collectif va bientôt avoir lieu au nord-ouest de la station Souffleverre. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Premier agrandissement du hangar” est en cours ! À vos outils !,2013
26,Le réseau de cosmo-navettes des plaines est bientôt terminé. La zone deviendra inaccessible à l'heure prévisionnelle d'achèvement.,,0
27,Un ouvrage collectif va bientôt avoir lieu au sud-est de la colline Milliaflore. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Première préparation des grues” est en cours ! À vos outils !,2014
28,Un ouvrage collectif va bientôt avoir lieu au nord-est du gouffre aux Capsules. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Seconde préparation des grues” est en cours ! À vos outils !,2015
29,Le réseau de cosmo-navettes du gouffre est bientôt terminé. La zone deviendra inaccessible à l'heure prévisionnelle d'achèvement.,,0
30,Un ouvrage collectif va bientôt avoir lieu à la station Souffleverre. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Second agrandissement de la station” est en cours ! À vos outils !,2016
31,Un ouvrage collectif va bientôt avoir lieu au nord-ouest de la station Souffleverre. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Second agrandissement du hangar” est en cours ! À vos outils !,2017
32,Un ouvrage collectif va bientôt avoir lieu au sud-ouest de la station Souffleverre. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Support à l'aménagement du cosmoport” est en cours ! À vos outils !,2018
33,Un ouvrage collectif va bientôt avoir lieu au nord-ouest de la Croisée opalescente. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Première préparation du réseau” est en cours ! À vos outils !,2019
34,Un ouvrage collectif va bientôt avoir lieu au nord-ouest de la colline Milliaflore. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Seconde préparation du réseau” est en cours ! À vos outils !,2020
35,Un ouvrage collectif va bientôt avoir lieu au sud des berges de Salpêtre. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Construction de la station des drones” est en cours ! À vos outils !,2021
36,Un ouvrage collectif va bientôt avoir lieu à la Cheminée de Fusingway. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Première opération de refroidissement” est en cours ! À vos outils !,2022
37,Un ouvrage collectif va bientôt avoir lieu à la Cheminée de Fusingway. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Seconde opération de refroidissement” est en cours ! À vos outils !,2023
38,Le réseau de cosmo-navettes du volcan est bientôt terminé. La zone deviendra inaccessible à l'heure prévisionnelle d'achèvement.,,0
39,Un ouvrage collectif va bientôt avoir lieu à la station Souffleverre. Nous requérons l'aide d'autant de volontaires que possible !,L'ouvrage collectif “Agrandissement général des ins­tal­la­tions” est en cours ! À vos outils !,2024
40,Un ouvrage collectif va bientôt avoir lieu au nord de la station Terra Firma. Nous requérons l'aide d'autant de volontaires que possible !,Un ouvrage collectif est en cours au nord de la station Terra Firma ! À vos outils !,2046
41,Le réseau de cosmo-navettes du plateau central est bientôt terminé. La zone deviendra inaccessible à l'heure prévisionnelle d'achèvement.,,0
42,Un premier ouvrage collectif va bientôt avoir lieu à l'ouest de la station Terra Firma. Nous requérons l'aide d'autant de volontaires que possible !,Un premier ouvrage collectif est en cours à l'ouest de la station Terra Firma ! À vos outils !,2047
43,Un second ouvrage collectif va bientôt avoir lieu à l'ouest de la station Terra Firma. Nous requérons l'aide d'autant de volontaires que possible !,Un second ouvrage collectif est en cours à l'ouest de la station Terra Firma ! À vos outils !,2048
44,Un ouvrage collectif va bientôt avoir lieu à L'Ancre. Nous requérons l'aide d'autant de volontaires que possible !,Un ouvrage collectif est en cours à L'Ancre ! À vos outils !,2049
45,Le réseau de cosmo-navettes du Bâtiment ombré est bientôt terminé. La zone deviendra inaccessible à l'heure prévisionnelle d'achèvement.,,0
46,Un ouvrage collectif va bientôt avoir lieu à la station Terra Firma. Nous requérons l'aide d'autant de volontaires que possible !,Un ouvrage collectif est en cours à la station Terra Firma ! À vos outils !,2050
47,Un ouvrage collectif va bientôt avoir lieu à la station Terra Firma. Nous requérons l'aide d'autant de volontaires que possible !,Un ouvrage collectif est en cours à la station Terra Firma ! À vos outils !,2051
48,Un ouvrage collectif va bientôt avoir lieu au nord de la station Terra Firma. Nous requérons l'aide d'autant de volontaires que possible !,Un ouvrage collectif est en cours au nord de la station Terra Firma ! À vos outils !,2052
49,Un ouvrage collectif va bientôt avoir lieu aux Échos d'Émeraude. Nous requérons l'aide d'autant de volontaires que possible !,Un ouvrage collectif est en cours aux Échos d'Émeraude ! À vos outils !,2053
50,Un ouvrage collectif va bientôt avoir lieu aux Échos d'Émeraude. Nous requérons l'aide d'autant de volontaires que possible !,Un ouvrage collectif est en cours aux Échos d'Émeraude ! À vos outils !,2054
51,Un ouvrage collectif va bientôt avoir lieu aux Échos d'Émeraude. Nous requérons l'aide d'autant de volontaires que possible !,Un ouvrage collectif est en cours aux Échos d'Émeraude ! À vos outils !,2055
52,Un ouvrage collectif va bientôt avoir lieu aux Échos d'Émeraude. Nous requérons l'aide d'autant de volontaires que possible !,Un ouvrage collectif est en cours aux Échos d'Émeraude ! À vos outils !,2056
53,Le réseau de cosmo-navettes des Échos d'Émeraude est bientôt terminé. La zone deviendra inaccessible à l'heure prévisionnelle d'achèvement.,,0
54,Un ouvrage collectif va bientôt avoir lieu à la station Terra Firma. Nous requérons l'aide d'autant de volontaires que possible !,Un ouvrage collectif est en cours à la station Terra Firma ! À vos outils !,2057
55,Un ouvrage collectif va bientôt avoir lieu sur le toit de la station Terra Firma. Nous requérons l'aide d'autant de volontaires que possible !,Un ouvrage collectif est en cours sur le toit de la station Terra Firma ! À vos outils !,2058
